
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
601,1985,NBA,3,66,SAC,Michael Adams,22.156,G,,Boston College,1986,1996,653,14.7,2.9,6.4,1.7,0.1,.415,.462,.332,.849,46.9,.110
602,2006,NBA,1,8,HOU,Rudy Gay,20.320,F,,University of Connecticut,2007,2015,653,18.5,5.8,2.3,1.3,0.8,.451,.477,.343,.794,41.7,.085
603,1962,NBA,2,8,CHZ,Terry Dischinger,21.130,F-G,,Purdue University,1963,1973,652,13.8,5.6,1.8,,,.506,.506,,.758,56.3,.152
604,1971,NBA,1,13,LAL,Jim Cleamons,22.202,G,,Ohio State University,1972,1980,652,8.3,3.0,3.9,0.8,0.2,.460,.462,.226,.765,29.1,.082
605,1995,NBA,1,16,ATL,Alan Henderson,23.213,F,,Indiana University,1996,2007,652,7.8,5.0,0.6,0.6,0.5,.469,.471,.192,.639,28.0,.097
606,1999,NBA,1,6,MIN,Wally Szczerbiak,22.122,F,,Miami University,2000,2009,651,14.1,4.0,2.4,0.6,0.2,.485,.505,.406,.860,53.3,.127
607,1964,NBA,2,8,NYK,Willis Reed,22.319,C-F,,Grambling State University,1965,1974,650,18.7,12.9,1.8,0.0,0.0,.476,.476,,.747,74.9,.156
608,1974,NBA,1,7,ATL,Tom Henderson,22.128,G,,University of Hawaii,1975,1983,650,9.4,2.3,4.8,1.2,0.1,.433,.434,.000,.739,22.1,.060
609,1974,NBA,1,12,LAL,Brian Winters,22.093,G-F,,University of South Carolina,1975,1983,650,16.2,2.6,4.1,1.2,0.3,.475,.479,.363,.842,38.6,.093
610,1987,NBA,3,63,POR,Kevin Gamble,22.226,F-G,,University of Iowa,1988,1997,649,9.5,2.2,2.0,0.7,0.3,.502,.522,.360,.810,33.3,.110
611,1998,NBA,2,31,LAL,Ruben Patterson,23.334,F,,University of Cincinnati,1999,2008,649,10.7,4.2,1.8,1.2,0.4,.517,.530,.179,.641,35.1,.106
612,1972,NBA,3,34,PHO,Don Buse,22.249,G,,University of Evansville,1977,1985,648,6.9,2.3,4.5,1.8,0.1,.442,.457,.333,.780,34.9,.098
613,1973,NBA,2,21,PHI,Allan Bristow,22.250,F-G,,Virginia Polytechnic Institute and State University,1974,1983,648,7.9,4.0,3.2,0.8,0.1,.460,.463,.286,.798,22.7,.082
614,1982,NBA,4,74,KCK,Mike Sanders,22.058,F-G,,University of California Los Angeles,1983,1993,648,8.0,3.0,1.4,0.7,0.3,.482,.487,.221,.769,17.9,.069
615,2006,NBA,1,2,CHI,LaMarcus Aldridge,21.349,F,,University of Texas at Austin,2007,2015,648,19.4,8.4,1.9,0.8,1.0,.485,.489,.276,.796,69.4,.145
