
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2001,1964,NBA,2,16,BOS,Ron Bonham,22.344,F,,University of Cincinnati,1965,1966,76,6.3,1.5,0.4,,,.391,.391,,.832,2.0,.138
2002,1974,NBA,2,24,KCO,Len Kosmalski,23.186,C,,University of Tennessee,1975,1976,76,1.4,1.9,0.7,0.1,0.1,.398,.398,,.778,0.6,.052
2003,1981,NBA,3,54,SDC,Jim Smith,23.064,F,,Ohio State University,1982,1983,76,2.9,2.5,0.6,0.3,0.7,.514,.514,,.461,0.7,.037
2004,1996,NBA,2,51,VAN,Chris Robinson,22.091,G,,Western Kentucky University,1997,1998,76,4.6,1.5,1.4,0.6,0.2,.376,.378,.374,.571,-0.1,-0.003
2005,2004,NBA,2,47,MIA,Pape Sow,23.220,F,,California State University Fullerton,2005,2007,76,2.9,2.8,0.2,0.4,0.3,.416,.416,,.678,0.8,.044
2006,1977,NBA,4,88,LAL,Tony Robertson,21.166,G,,West Virginia University,1978,1979,75,5.5,1.1,1.4,1.1,0.1,.435,.435,,.694,0.4,.020
2007,1992,NBA,2,43,GSW,Sasha Danilovic,22.124,G,,,1996,1997,75,12.8,2.4,2.0,0.9,0.2,.439,.482,.379,.789,4.2,.087
2008,2001,NBA,2,53,DAL,Kenny Satterfield,20.083,G,,University of Cincinnati,2002,2003,75,4.3,1.3,2.3,0.7,0.0,.335,.355,.218,.746,-1.1,-0.051
2009,2002,NBA,1,2,CHI,Jay Williams,21.294,G,,Duke University,2003,2003,75,9.5,2.6,4.7,1.1,0.2,.399,.431,.322,.640,0.8,.020
2010,2006,NBA,1,15,NOK,Cedric Simmons,20.181,F,,North Carolina State University,2007,2009,75,2.2,1.9,0.2,0.1,0.4,.409,.409,,.390,0.1,.005
2011,1950,NBA,3,,FTW,Art Burris,26.024,F,,University of Tennessee,1951,1952,74,2.5,2.8,0.7,,,.260,.260,,.627,-1.0,-0.098
2012,1953,NBA,2,,PHW,Larry Hennessy,24.345,G,,Villanova University,1956,1957,74,4.5,1.3,1.0,,,.334,.334,,.766,-0.9,-0.052
2013,1964,NBA,3,25,BOS,John Thompson,23.250,F,,Providence College,1965,1966,74,3.5,3.5,0.3,,,.410,.410,,.595,2.1,.128
2014,1968,NBA,13,162,SEA,Bud Ogden,21.163,F,,Santa Clara University,1970,1971,74,3.5,1.4,0.6,,,.445,.445,,.692,0.7,.072
2015,1969,NBA,1,13,PHI,Bud Ogden,22.105,F,,Santa Clara University,1970,1971,74,3.5,1.4,0.6,,,.445,.445,,.692,0.7,.072
2016,1970,NBA,1,11,CHI,Jimmy Collins,23.125,G,,New Mexico State University,1971,1972,74,3.8,0.9,0.9,,,.414,.414,,.804,0.6,.044
2017,1975,NBA,2,22,MIL,Clyde Mayes,22.078,F,,Furman University,1976,1977,74,4.0,3.8,0.5,0.1,0.6,.446,.446,,.567,0.9,.044
2018,1977,NBA,1,18,GSW,Wesley Cox,22.140,F,,University of Louisville,1978,1979,74,4.6,2.8,0.3,0.5,0.2,.412,.412,,.510,0.1,.007
2019,1982,NBA,4,76,CHI,Chuck Aleksinas,23.129,C,,University of Connecticut,1985,1985,74,5.1,3.6,0.5,0.2,0.2,.478,.479,.000,.733,0.4,.019
2020,1996,NBA,1,28,ATL,Priest Lauderdale,23.305,C,,Central State University,1997,1998,74,3.4,1.9,0.4,0.1,0.4,.472,.474,.000,.554,-0.8,-0.074
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2021,1958,NBA,4,27,NYK,Johnny Cox,21.177,G,,University of Kentucky,1963,1963,73,7.8,3.8,1.9,,,.421,.421,,.704,0.5,.015
2022,1959,NBA,4,28,NYK,Johnny Cox,22.155,G,,University of Kentucky,1963,1963,73,7.8,3.8,1.9,,,.421,.421,,.704,0.5,.015
2023,1966,NBA,1,10,CHI,Dave Schellhase,22.214,G,,Purdue University,1967,1968,73,2.8,1.0,0.8,,,.349,.349,,.567,-0.6,-0.061
2024,1969,NBA,5,66,BOS,George Thompson,21.135,G,,Marquette University,1975,1975,73,10.7,2.5,3.1,0.9,0.1,.443,.443,,.785,2.7,.064
2025,1970,NBA,6,94,CLE,Joe Cooke,22.226,G,,Indiana University,1971,1971,73,4.3,1.6,1.3,,,.393,.393,,.814,-0.4,-0.025
2026,1972,NBA,13,180,CHI,Mike Barr,21.179,G,,Duquesne University,1977,1977,73,3.9,1.8,2.4,0.7,0.2,.437,.437,,.719,1.4,.054
2027,1979,NBA,1,10,DET,Roy Hamilton,22.345,G,,University of California Los Angeles,1980,1981,73,4.6,1.5,2.6,0.7,0.1,.400,.403,.000,.684,-0.4,-0.017
2028,1987,NBA,2,35,HOU,Doug Lee,23.246,G-F,,Purdue University,1992,1995,73,2.3,0.6,0.4,0.2,0.1,.412,.478,.310,.700,0.7,.086
2029,1998,NBA,2,45,LAL,Toby Bailey,23.223,G,,University of California Los Angeles,1999,2000,73,3.3,1.7,0.6,0.3,0.1,.407,.422,.200,.692,1.0,.072
2030,2001,NBA,2,50,PHO,Alton Ford,20.034,F,,University of Houston,2002,2004,73,2.5,1.7,0.2,0.1,0.1,.507,.507,,.697,0.8,.074
2031,2002,NBA,2,40,LAC,Mario Kasun,22.087,C,,,2005,2006,73,2.7,2.6,0.2,0.1,0.2,.467,.470,.000,.636,0.8,.069
2032,2004,NBA,1,10,CLE,Luke Jackson,23.236,F,,University of Oregon,2005,2008,73,3.5,1.2,0.8,0.3,0.0,.357,.356,.360,.732,0.2,.010
2033,2006,NBA,2,54,NJN,Hassan Adams,22.013,G,,University of Arizona,2007,2009,73,2.5,1.2,0.2,0.2,0.1,.534,.537,.000,.643,0.8,.072
2034,2008,NBA,2,38,CHA,Kyle Weaver,22.134,G,,Washington State University,2009,2011,73,5.0,2.2,1.6,0.8,0.5,.441,.497,.353,.736,1.5,.051
2035,1955,NBA,2,7,STL,Jack Stephens,22.335,G-F,,University of Notre Dame,1956,1956,72,10.3,5.2,2.9,,,.386,.386,,.692,4.8,.103
2036,1972,NBA,3,42,PHO,Claude Terry,22.094,G-F,,Stanford University,1977,1978,72,4.0,0.8,0.9,0.4,0.0,.467,.467,,.818,1.0,.065
2037,1980,NBA,2,45,DET,Brad Branson,22.265,C-F,,Southern Methodist University,1982,1983,72,5.4,2.9,0.7,0.4,0.4,.422,.423,.000,.725,0.9,.053
2038,1986,NBA,1,3,GSW,Chris Washburn,21.040,C,,North Carolina State University,1987,1988,72,3.1,2.4,0.3,0.2,0.2,.412,.413,.000,.439,-0.6,-0.046
2039,1991,NBA,1,14,SEA,Rich King,22.088,C,,University of Nebraska,1992,1995,72,1.9,1.0,0.3,0.1,0.1,.393,.400,.000,.662,0.2,.036
2040,1997,NBA,1,24,HOU,Rodrick Rhodes,24.280,G-F,,University of Southern California,1998,2000,72,5.3,1.2,1.7,1.0,0.2,.347,.354,.200,.620,-1.6,-0.064
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2041,2002,NBA,1,27,LAL,Chris Jefferies,22.139,G-F,,California State University Fresno,2003,2004,72,3.9,1.2,0.4,0.3,0.3,.383,.394,.365,.667,-0.5,-0.030
2042,2002,NBA,2,46,UTA,Jamal Sampson,19.047,F-C,,University of California,2003,2007,72,2.0,3.4,0.4,0.1,0.4,.491,.495,.000,.537,1.4,.106
2043,2010,NBA,1,30,WAS,Lazar Hayward,24.216,F,,Marquette University,2011,2013,72,2.9,1.3,0.5,0.2,0.1,.347,.395,.269,.767,0.2,.020
2044,1964,NBA,9,72,BAL,Tom Black,23.305,C,,South Dakota State University,1971,1971,71,4.2,3.6,0.6,,,.402,.402,,.648,0.1,.008
2045,1966,NBA,15,106,STL,Paul Long,22.098,G,,Wake Forest University,1968,1971,71,3.9,0.8,0.8,,,.464,.464,,.753,1.0,.111
2046,1967,NBA,5,45,DET,Paul Long,23.090,G,,Wake Forest University,1968,1971,71,3.9,0.8,0.8,,,.464,.464,,.753,1.0,.111
2047,1973,NBA,3,44,DET,Bo Lamar,22.023,G,,University of Louisiana at Lafayette,1977,1977,71,7.1,1.3,2.5,0.8,0.0,.406,.406,,.676,0.5,.021
2048,2003,NBA,1,15,ORL,Reece Gaines,22.175,G,,University of Louisville,2004,2006,71,1.7,0.7,0.7,0.2,0.0,.324,.336,.269,.606,-0.6,-0.049
2049,1967,NBA,1,11,BOS,Mal Graham,22.074,G,,New York University,1968,1969,70,4.7,1.7,1.1,,,.398,.398,,.657,0.8,.043
2050,1980,NBA,1,16,KCK,Hawkeye Whitney,23.359,G-F,,North Carolina State University,1981,1982,70,5.8,2.1,1.2,0.8,0.1,.462,.465,.286,.750,1.3,.062
2051,1984,NBA,4,90,SAS,Ozell Jones,24.217,C-F,,California State University Fullerton,1985,1986,70,3.5,3.4,0.8,0.5,0.8,.582,.586,.000,.398,1.2,.066
2052,1999,NBA,2,33,DEN,Chris Herren,24.282,G,,California State University Fresno,2000,2001,70,3.2,1.0,2.4,0.4,0.0,.336,.347,.328,.692,0.5,.025
2053,2007,NBA,2,41,MIN,Chris Richard,23.190,F,,University of Florida,2008,2010,70,1.9,2.8,0.4,0.3,0.2,.483,.483,,.605,0.7,.045
2054,2010,NBA,2,52,BOS,Luke Harangody,22.179,F,,University of Notre Dame,2011,2012,70,3.6,2.8,0.5,0.3,0.3,.376,.440,.241,.737,0.9,.048
2055,1968,NBA,2,17,CHI,Loy Petersen,23.319,G,,Oregon State University,1969,1970,69,2.9,1.0,0.7,,,.387,.387,,.682,0.2,.021
2056,1970,NBA,1,9,BAL,George Johnson,23.283,C,,Stephen F. Austin State University,1971,1974,69,2.8,3.2,0.3,0.1,0.1,.442,.442,,.431,0.6,.036
2057,1971,NBA,2,25,POR,Charlie Yelverton,22.119,G-F,,Fordham University,1972,1972,69,7.9,2.9,1.2,,,.389,.389,,.707,-0.5,-0.018
2058,1978,NBA,1,20,SAS,Frankie Sanders,21.142,F-G,,Southern University and A&amp;M College,1979,1981,69,5.1,1.9,1.0,0.5,0.1,.430,.430,,.822,0.5,.038
2059,1980,NBA,2,26,CHI,Sam Worthen,22.150,G,,Marquette University,1981,1982,69,3.5,1.7,1.7,0.8,0.1,.492,.503,.000,.750,0.7,.032
2060,1986,NBA,1,16,DEN,Maurice Martin,22.355,F-G,,Saint Joseph's University,1987,1988,69,3.0,0.9,0.7,0.3,0.1,.378,.395,.211,.598,-0.3,-0.033
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2061,1986,NBA,2,34,SAC,Johnny Rogers,22.175,F-C,,University of California Irvine,1987,1988,69,3.6,1.5,0.4,0.2,0.2,.472,.485,.000,.679,0.4,.032
2062,2000,NBA,1,26,DEN,Mamadou N'Diaye,25.019,C,,Auburn University,2001,2005,69,3.8,3.3,0.1,0.2,0.9,.427,.429,.000,.736,1.8,.101
2063,2008,NBA,2,60,BOS,Semih Erden,22.339,C,,,2011,2012,69,3.8,2.8,0.4,0.4,0.4,.546,.546,,.594,1.8,.094
2064,1961,NBA,6,51,NYK,Cleveland Buckner,23.228,F-C,,Jackson State University,1962,1963,68,6.0,3.5,0.6,,,.432,.432,,.620,1.3,.087
2065,1968,NBA,17,202,NYK,Milt Williams,23.200,G,,Lincoln University of Missouri,1971,1974,68,3.5,0.8,1.8,0.4,0.0,.424,.424,,.674,0.7,.051
2066,1985,NBA,1,14,SAS,Alfredrick Hughes,23.340,F-G,,Loyola University of Chicago,1986,1986,68,5.2,1.7,0.9,0.4,0.1,.409,.420,.176,.583,-0.5,-0.029
2067,1985,NBA,2,32,PHO,Nick Vanos,22.072,C,,Santa Clara University,1986,1987,68,3.3,3.5,0.9,0.3,0.4,.383,.386,.000,.561,-0.1,-0.007
2068,1992,NBA,2,48,PHO,Brian Davis,22.009,F-G,,Duke University,1994,1994,68,1.9,0.8,0.3,0.2,0.1,.317,.317,.333,.735,0.0,.000
2069,1993,NBA,2,52,SAC,Mike Peplowski,23.264,C,,Michigan State University,1994,1996,68,2.9,2.6,0.4,0.3,0.4,.556,.560,.000,.531,1.0,.067
2070,1995,NBA,1,27,PHO,Mario Bennett,22.336,F,,Arizona State University,1996,2000,68,4.0,2.7,0.4,0.5,0.3,.534,.537,.333,.511,1.9,.153
2071,1998,NBA,1,26,LAL,Sam Jacobson,23.343,G-F,,University of Minnesota,1999,2001,68,4.2,1.2,0.5,0.5,0.0,.511,.529,.360,.739,1.1,.071
2072,2006,NBA,2,39,MIL,David Noel,22.127,F,,University of North Carolina,2007,2007,68,2.7,1.8,1.0,0.4,0.1,.367,.387,.321,.860,0.4,.024
2073,2006,NBA,2,46,UTA,Dee Brown,22.320,G,,University of Illinois at Urbana-Champaign,2007,2009,68,2.1,1.0,1.8,0.5,0.1,.340,.389,.250,.643,0.1,.008
2074,1967,NBA,5,54,SEA,Plummer Lott,21.148,F-G,,Seattle University,1968,1969,67,2.2,1.8,0.6,,,.294,.294,,.583,-1.3,-0.101
2075,1978,NBA,6,118,NOJ,John Douglas,22.002,G,,University of Kansas,1982,1983,67,6.7,1.4,2.2,0.7,0.1,.461,.488,.311,.663,0.5,.022
2076,1984,NBA,2,31,GSW,Jay Murphy,22.364,F,,Boston College,1985,1988,67,2.4,1.7,0.2,0.1,0.1,.332,.337,.000,.607,-0.5,-0.052
2077,2003,NBA,2,56,BOS,Brandon Hunter,23.219,F,,Ohio University,2004,2005,67,3.3,2.8,0.3,0.3,0.1,.476,.484,.000,.488,0.7,.055
2078,2006,NBA,2,31,POR,James White,24.256,G-F,,University of Cincinnati,2007,2013,67,2.7,1.0,0.5,0.3,0.1,.438,.482,.340,.676,0.8,.062
2079,2008,NBA,1,8,MIL,Joe Alexander,22.188,F,,West Virginia University,2009,2010,67,4.2,1.8,0.7,0.2,0.4,.410,.426,.340,.698,0.5,.030
2080,2010,NBA,2,33,SAC,Hassan Whiteside,21.016,C,,Marshall University,2011,2015,67,8.9,7.8,0.1,0.4,2.1,.616,.616,,.494,5.4,.208
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2081,1958,NBA,10,70,CIN,Jack Parr,22.045,C,,Kansas State University,1959,1959,66,4.0,4.2,0.8,,,.355,.355,,.603,-0.3,-0.014
2082,1959,NBA,1,6,BOS,John Richter,22.024,F,,North Carolina State University,1960,1960,66,4.3,4.7,0.4,,,.340,.340,,.504,0.4,.026
2083,1961,NBA,2,10,NYK,Whitey Martin,22.356,G,,St. Bonaventure University,1962,1962,66,3.4,2.4,1.7,,,.325,.325,,.673,-0.5,-0.022
2084,1968,NBA,3,35,MIL,Sam Williams,23.139,G,,University of Iowa,1969,1970,66,3.9,1.8,1.0,,,.353,.353,,.531,-0.4,-0.029
2085,1978,NBA,2,25,ATL,Rick Wilson,22.128,G,,University of Louisville,1979,1980,66,2.9,1.2,1.3,0.5,0.1,.393,.393,,.560,0.2,.013
2086,1983,NBA,1,15,DEN,Howard Carter,22.250,G,,Louisiana State University,1984,1985,66,5.3,1.3,1.1,0.3,0.1,.440,.454,.227,.774,0.0,-0.002
2087,1992,NBA,2,31,POR,Reggie Smith,22.313,C,,Texas Christian University,1993,1994,66,1.5,1.8,0.1,0.2,0.1,.394,.398,.000,.404,0.4,.051
2088,1995,NBA,2,30,DET,Lou Roe,23.354,F,,University of Massachusetts Amherst,1996,1997,66,2.0,1.4,0.3,0.2,0.1,.333,.347,.250,.647,0.0,-0.001
2089,2002,NBA,2,53,NJN,Tamar Slay,22.090,G,,Marshall University,2003,2005,66,2.6,1.1,0.5,0.4,0.1,.361,.392,.265,.538,-0.3,-0.029
2090,1952,NBA,,,INO,Gene Rhodes,25.243,G,,Western Kentucky University,1953,1953,65,5.2,1.5,1.4,,,.319,.319,,.704,0.9,.037
2091,1954,NBA,1,8,NYK,Jack Turner,24.305,F-G,,Western Kentucky University,1955,1955,65,4.3,2.4,1.2,,,.360,.360,,.789,0.6,.032
2092,1955,NBA,3,17,PHW,Bob Schafer,,G,,Villanova University,1956,1957,65,4.2,1.3,1.0,,,.298,.298,,.777,-0.7,-0.048
2093,1958,NBA,12,81,STL,Joe Buckhalter,21.269,F,,Tennessee State University,1962,1963,65,5.8,4.1,0.7,,,.451,.451,,.627,1.2,.075
2094,1960,NBA,4,30,STL,Horace Walker,23.000,F,,Michigan State University,1962,1962,65,6.7,7.2,1.1,,,.339,.339,,.725,0.3,.010
2095,1960,NBA,7,54,STL,Bob Sims,22.190,G-F,,Pepperdine University,1962,1962,65,7.8,2.8,2.4,,,.393,.393,,.569,0.4,.015
2096,1962,NBA,1,2,NYK,Paul Hogue,22.337,C,,University of Cincinnati,1963,1964,65,6.3,7.1,0.7,,,.365,.365,,.448,-1.1,-0.036
2097,1968,NBA,15,187,LAL,Johnny Baum,22.358,F,,Temple University,1970,1971,65,4.5,2.0,0.5,,,.414,.414,,.690,0.3,.026
2098,1969,NBA,2,23,CHI,Johnny Baum,23.300,F,,Temple University,1970,1971,65,4.5,2.0,0.5,,,.414,.414,,.690,0.3,.026
2099,2009,NBA,2,32,WAS,Jermaine Taylor,23.205,G,,University of Central Florida,2010,2011,65,5.4,1.7,0.7,0.4,0.1,.441,.484,.284,.730,0.2,.014
2100,2010,NBA,2,44,MIL,Jerome Jordan,24.274,C,,University of Tulsa,2012,2015,65,2.8,2.0,0.3,0.1,0.3,.528,.528,,.852,1.7,.168
