
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
801,2001,NBA,2,52,UTA,Jarron Collins,23.213,F-C,,Stanford University,2002,2011,542,3.9,2.9,0.8,0.3,0.2,.455,.456,.000,.699,15.7,.088
802,1972,NBA,2,20,HOU,John Gianelli,22.310,C-F,,University of the Pacific,1973,1980,541,7.8,5.9,1.5,0.4,0.9,.470,.470,,.702,23.0,.081
803,1986,NBA,1,10,SAS,Johnny Dawkins,23.268,G,,Duke University,1987,1995,541,11.1,2.5,5.5,1.1,0.1,.456,.471,.330,.857,21.8,.070
804,1990,NBA,1,18,SAC,Duane Causwell,22.032,C,,Temple University,1991,2001,541,4.9,4.2,0.4,0.4,1.4,.507,.508,.286,.618,15.8,.081
805,1995,NBA,2,52,IND,Fred Hoiberg,23.261,G,,Iowa State University,1996,2005,541,5.4,2.7,1.6,0.8,0.1,.431,.456,.396,.854,27.6,.133
806,1997,NBA,1,15,DAL,Kelvin Cato,23.309,C,,Iowa State University,1998,2007,541,5.5,5.3,0.5,0.5,1.3,.507,.509,.077,.644,28.6,.129
807,2008,NBA,1,12,SAC,Jason Thompson,22.346,F,,Rider University,2009,2015,541,9.4,6.9,1.1,0.5,0.7,.497,.500,.037,.655,22.1,.074
808,1982,NBA,8,166,KCK,Ed Nealy,22.136,F,,Kansas State University,1983,1993,540,2.7,3.3,0.7,0.5,0.1,.498,.525,.292,.684,15.2,.107
809,2006,NBA,1,11,ORL,J.J. Redick,22.009,G,,Duke University,2007,2015,537,10.8,1.9,2.0,0.4,0.1,.441,.482,.400,.888,34.9,.130
810,1976,NBA,1,11,SEA,Bob Wilkerson,22.303,G-F,,Indiana University,1977,1983,536,10.1,4.2,3.4,1.3,0.3,.425,.428,.167,.751,8.2,.027
811,1992,NBA,2,41,HOU,Popeye Jones,22.013,F,,Murray State University,1994,2004,535,7.0,7.4,1.3,0.6,0.3,.447,.451,.281,.751,22.0,.084
812,1981,NBA,1,10,NJN,Albert King,21.180,F-G,,University of Maryland,1982,1992,534,12.1,4.2,2.2,0.8,0.4,.461,.468,.268,.791,16.3,.061
813,1997,NBA,1,14,LAC,Maurice Taylor,21.243,F,,University of Michigan,1998,2007,534,11.0,4.6,1.2,0.5,0.5,.466,.468,.152,.711,9.9,.036
814,2008,NBA,1,17,TOR,Roy Hibbert,22.203,C,,Georgetown University,2009,2015,533,11.1,6.8,1.4,0.4,1.9,.464,.465,.273,.748,31.9,.111
815,1985,NBA,1,15,DEN,Blair Rasmussen,23.223,C,,University of Oregon,1986,1993,532,9.6,5.7,0.9,0.4,0.9,.472,.473,.257,.767,19.0,.080
816,1978,NBA,3,55,NYK,Marc Iavaroni,22.272,F,,University of Virginia,1983,1989,531,4.4,3.2,1.0,0.3,0.4,.459,.463,.000,.710,8.0,.046
817,2007,NBA,2,56,MIL,Ramon Sessions,21.083,G,,University of Nevada Reno,2008,2015,531,11.1,2.9,4.4,0.7,0.1,.434,.448,.312,.797,23.8,.086
818,1953,NBA,,,ROC,Kenny Sears,20.255,F,,Santa Clara University,1956,1964,529,13.9,7.8,1.6,,,.455,.455,,.826,55.8,.179
819,1955,NBA,1,4,NYK,Kenny Sears,22.244,F,,Santa Clara University,1956,1964,529,13.9,7.8,1.6,,,.455,.455,,.826,55.8,.179
820,1975,NBA,1,10,KCK,Bill Robinzine,22.134,F,,DePaul University,1976,1982,529,10.5,6.1,1.1,1.1,0.2,.482,.482,.250,.749,23.3,.098
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
821,1967,NBA,1,7,SDR,Pat Riley,22.049,G-F,,University of Kentucky,1968,1976,528,7.4,1.6,1.7,0.2,0.0,.414,.414,,.705,4.5,.026
822,1973,NBA,2,22,PHI,George McGinnis,23.261,F-C,,Indiana University,1976,1982,528,17.2,9.8,3.8,1.7,0.4,.448,.449,.080,.651,36.2,.107
823,1982,NBA,1,7,CHI,Quintin Dailey,21.163,G,,University of San Francisco,1983,1992,528,14.1,2.5,2.3,0.9,0.1,.454,.461,.158,.779,12.7,.050
824,2001,NBA,1,4,CHI,Eddy Curry,19.209,C,,,2002,2013,527,12.9,5.2,0.5,0.3,0.7,.545,.544,1.000,.642,21.7,.080
825,2002,NBA,2,33,MIL,Dan Gadzuric,24.150,C,,University of California Los Angeles,2003,2012,527,4.7,4.4,0.4,0.5,0.9,.500,.501,.000,.498,15.8,.097
826,1984,NBA,2,33,POR,Steve Colter,22.336,G,,New Mexico State University,1985,1995,526,6.3,2.0,2.8,0.9,0.1,.448,.464,.289,.778,17.3,.087
827,2005,NBA,1,19,MEM,Hakim Warrick,23.361,F,,Syracuse University,2006,2013,526,9.4,4.0,0.8,0.4,0.3,.490,.499,.191,.726,20.4,.092
828,1968,NBA,1,3,SEA,Bob Kauffman,22.332,F-C,,Guilford College,1969,1975,525,11.5,7.0,2.7,0.1,0.0,.477,.477,,.749,31.5,.111
829,1952,NBA,,,ROC,Jack McMahon,23.150,G,,St. John's University,1953,1960,524,8.1,2.7,3.7,,,.337,.337,,.637,6.2,.021
830,1966,NBA,2,13,SFW,Joe Ellis,22.013,F-G,,University of San Francisco,1967,1974,524,8.8,5.1,1.4,0.1,0.0,.398,.398,,.727,5.0,.023
831,1968,NBA,3,28,CIN,Fred Foster,22.084,F,,Miami University,1969,1977,524,7.8,2.4,1.1,0.1,0.0,.414,.414,,.727,2.9,.016
832,1968,NBA,4,50,MIL,Greg Smith,21.133,F,,Western Kentucky University,1969,1976,524,7.8,6.2,1.8,0.1,0.0,.482,.482,,.646,22.2,.087
833,1964,NBA,1,4,PHI,Luke Jackson,23.191,F-C,,University of Texas-Pan American,1965,1972,522,9.9,8.8,1.6,,,.415,.415,,.722,22.3,.078
834,1965,NBA,1,3,NYK,Dave Stallworth,23.143,F-C,,Wichita State University,1966,1975,522,9.3,4.7,1.7,0.1,0.0,.438,.438,,.732,20.3,.093
835,2007,NBA,1,16,WAS,Nick Young,22.032,G,,University of Southern California,2008,2015,522,12.3,2.0,1.1,0.6,0.2,.423,.446,.376,.833,13.7,.053
836,1971,NBA,6,93,GSW,Charles Johnson,22.003,G,,University of California,1973,1979,521,8.1,2.5,1.9,1.0,0.1,.429,.429,,.756,13.4,.064
837,2008,NBA,1,22,ORL,Courtney Lee,23.272,G,,Western Kentucky University,2009,2015,521,9.6,2.6,1.6,1.0,0.3,.450,.481,.385,.847,26.2,.089
838,1979,NBA,2,43,SEA,Johnny Moore,21.119,G,,University of Texas at Austin,1981,1990,520,9.4,3.0,7.4,2.0,0.2,.460,.480,.251,.712,30.1,.108
839,1981,NBA,1,19,LAL,Mike McGee,22.321,G-F,,University of Michigan,1982,1990,520,9.6,2.1,1.2,0.7,0.1,.487,.521,.354,.597,15.1,.078
840,2001,NBA,2,34,NJN,Brian Scalabrine,23.107,F,,University of Southern California,2002,2012,520,3.1,2.0,0.8,0.3,0.2,.390,.415,.344,.783,7.6,.054
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
841,2005,NBA,2,57,PHO,Marcin Gortat,21.137,C-F,,,2008,2015,520,9.9,7.6,0.9,0.5,1.2,.549,.551,.176,.678,40.9,.151
842,2008,NBA,2,34,MIN,Mario Chalmers,22.044,G,,University of Kansas,2009,2015,519,8.9,2.4,3.8,1.5,0.1,.422,.479,.362,.775,27.9,.093
843,1978,NBA,3,49,KCK,Jeff Cook,22.236,F-C,,Idaho State University,1980,1988,518,5.3,4.5,1.4,0.6,0.4,.462,.465,.056,.716,17.7,.088
844,2002,NBA,2,30,CHI,Roger Mason,22.294,G,,University of Virginia,2003,2014,518,6.3,1.7,1.3,0.4,0.1,.408,.435,.383,.866,13.0,.068
845,2007,NBA,2,48,LAL,Marc Gasol,22.155,C,,,2009,2015,517,14.1,7.9,3.0,0.9,1.6,.509,.513,.159,.758,58.2,.161
846,1948,BAA,,,INJ,Alex Hannum,25.302,F-C,,University of Southern California,1950,1957,516,6.0,3.9,1.7,,,.354,.354,,.629,11.4,.071
847,1968,NBA,1,9,SFW,Ron Williams,24.259,G,,West Virginia University,1969,1976,516,9.3,1.9,3.5,0.1,0.0,.441,.441,,.833,23.5,.098
848,2004,NBA,1,11,GSW,Andris Biedrins,18.088,C,,,2005,2014,516,6.3,7.0,0.9,0.6,1.1,.594,.595,.000,.500,30.7,.132
849,1957,NBA,1,3,MNL,Jim Krebs,22.227,C-F,,Southern Methodist University,1958,1964,515,8.0,6.2,0.8,,,.405,.405,,.755,12.4,.056
850,1985,NBA,1,21,PHI,Terry Catledge,22.306,F,,University of South Alabama,1986,1993,515,12.7,6.4,0.9,0.6,0.2,.485,.487,.094,.654,20.9,.074
851,2008,NBA,2,35,LAC,DeAndre Jordan,20.345,C,,Texas A&amp;M University,2009,2015,515,8.0,9.0,0.5,0.6,1.7,.664,.665,.125,.417,43.6,.155
852,2007,NBA,2,35,SEA,Glen Davis,22.183,F,,Louisiana State University,2008,2015,514,8.0,4.4,0.9,0.7,0.3,.447,.451,.182,.700,18.6,.082
853,1975,NBA,2,25,POR,Bob Gross,22.304,F-G,,California State University Long Beach,1976,1983,513,8.9,4.4,2.9,1.2,0.7,.512,.514,.179,.798,30.7,.117
854,1955,NBA,1,3,BOS,Jim Loscutoff,25.074,F,,University of Oregon,1956,1964,511,6.2,5.6,0.7,,,.345,.345,,.653,3.4,.017
855,1984,NBA,1,2,POR,Sam Bowie,23.100,C-F,,University of Kentucky,1985,1995,511,10.9,7.5,2.1,0.5,1.8,.452,.456,.302,.748,26.9,.091
856,1987,NBA,2,40,MIL,Winston Garland,23.190,G,,Missouri State University,1988,1995,511,9.4,2.8,4.7,1.3,0.2,.430,.440,.281,.830,14.2,.051
857,2008,NBA,1,9,CHA,D.J. Augustin,21.234,G,,University of Texas at Austin,2009,2015,511,10.0,1.9,4.1,0.6,0.0,.403,.425,.371,.873,27.1,.103
858,1972,NBA,2,16,LAL,Jim Price,22.140,G,,University of Louisville,1973,1979,510,10.0,3.1,3.7,1.4,0.2,.444,.444,,.815,19.7,.074
859,1976,NBA,1,13,WSB,Mitch Kupchak,22.021,F-C,,University of North Carolina,1977,1986,510,10.2,5.4,0.7,0.3,0.3,.523,.523,.000,.704,27.1,.131
860,1981,NBA,1,5,SEA,Danny Vranes,23.229,F,,University of Utah,1982,1988,510,5.1,3.9,1.2,0.7,0.5,.496,.499,.105,.570,15.3,.069
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
861,1975,NBA,1,1,ATL,David Thompson,21.325,G-F,,North Carolina State University,1977,1984,509,22.1,3.8,3.2,0.9,0.8,.504,.506,.277,.778,50.8,.150
862,2003,NBA,2,31,CLE,Jason Kapono,22.147,F,,University of California Los Angeles,2004,2012,509,6.7,1.7,0.8,0.4,0.0,.442,.446,.434,.835,10.3,.055
863,1971,NBA,3,44,BOS,Dave Robisch,21.102,C-F,,University of Kansas,1977,1984,508,8.7,5.2,1.6,0.4,0.4,.457,.457,.000,.814,23.5,.107
864,1991,NBA,1,21,UTA,Eric Murdock,23.017,G,,Providence College,1992,2000,508,10.1,2.5,4.9,1.6,0.1,.438,.462,.343,.786,25.6,.103
865,1973,NBA,1,5,LAL,Kermit Washington,22.225,F-C,,American University,1974,1988,507,9.2,8.3,1.4,0.8,1.1,.526,.526,.000,.656,36.0,.135
866,1983,NBA,1,20,CLE,Roy Hinson,22.062,F-C,,Rutgers University,1984,1991,507,14.2,6.8,1.0,0.6,1.7,.499,.500,.000,.741,30.2,.093
867,1996,NBA,1,8,NJN,Kerry Kittles,22.020,G,,Villanova University,1997,2005,507,14.1,3.9,2.6,1.6,0.4,.439,.463,.378,.780,44.8,.127
868,1998,NBA,2,55,DEN,Ryan Bowen,23.222,F,,University of Iowa,2000,2010,507,2.6,2.1,0.5,0.6,0.3,.456,.472,.206,.693,12.4,.092
869,2003,NBA,1,25,DET,Carlos Delfino,21.306,G,,,2005,2013,507,8.1,3.6,1.7,0.9,0.2,.401,.438,.365,.758,22.5,.093
870,2003,NBA,1,29,DAL,Josh Howard,23.064,F-G,,Wake Forest University,2004,2013,507,14.3,5.7,1.6,1.0,0.5,.448,.471,.332,.770,38.0,.119
871,2008,NBA,1,4,SEA,Russell Westbrook,20.231,G,,University of California Los Angeles,2009,2015,507,21.1,5.2,7.1,1.7,0.3,.432,.455,.304,.819,53.0,.148
872,1953,NBA,,,PHW,Jack George,24.168,G,,La Salle University,1954,1961,506,10.2,4.2,4.3,,,.364,.364,,.704,17.7,.054
873,1995,NBA,1,11,MIL,Gary Trent,21.284,F,,Ohio University,1996,2004,506,8.6,4.5,1.0,0.4,0.3,.501,.507,.080,.643,23.2,.113
874,1997,NBA,1,19,DET,Scot Pollard,22.139,C,,University of Kansas,1998,2008,506,4.4,4.6,0.4,0.6,0.7,.494,.494,.000,.709,26.6,.153
875,2008,NBA,1,3,MIN,O.J. Mayo,21.239,G,,University of Southern California,2009,2015,506,14.3,3.2,2.9,1.0,0.3,.432,.460,.377,.822,21.9,.066
876,1948,BAA,1,12,WSC,Jack Nichols,22.037,C-F,,University of Washington,1949,1958,505,10.4,5.5,1.9,,,.368,.368,,.752,24.8,.111
877,1968,NBA,1,5,CIN,Zaid Abdul-Aziz,22.064,C-F,,Iowa State University,1969,1978,505,9.0,8.0,1.2,0.3,0.4,.428,.428,,.728,17.5,.076
878,1974,NBA,1,13,WSB,Len Elmore,22.066,C-F,,University of Maryland,1977,1984,505,4.6,4.2,0.9,0.8,0.8,.413,.413,.000,.715,13.3,.076
