
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2801,1949,BAA,3,,BLB,Paul Gordon,22.353,F,,University of Notre Dame,1950,1950,4,0.8,,0.8,,,.000,.000,,.600,-0.1,
2802,1951,NBA,4,37,ROC,Elmer Behnke,22.086,C,,Bradley University,1952,1952,4,4.0,4.3,1.0,,,.273,.273,,.571,-0.1,-0.098
2803,1951,NBA,8,77,PHW,James Phelan,22.042,G,,La Salle University,1954,1954,4,0.8,1.3,0.5,,,.000,.000,,.500,-0.1,-0.187
2804,1952,NBA,,,PHW,Moe Radovich,23.362,G,,University of Wyoming,1953,1953,4,3.5,0.3,2.0,,,.385,.385,,1.000,0.1,.153
2805,1953,NBA,5,,NYK,Bob Santini,18.071,F,,Iona College,1956,1956,4,2.8,0.8,0.3,,,.500,.500,,.500,0.1,.127
2806,1961,NBA,3,28,SYR,Chuck Osborne,22.071,F,,Western Kentucky University,1962,1962,4,1.3,2.3,0.3,,,.125,.125,,.750,-0.1,-0.134
2807,1961,NBA,5,44,DET,Danny Doyle,21.055,F,,Belmont Abbey College,1963,1963,4,4.0,2.0,0.8,,,.500,.500,,.800,0.1,.216
2808,1966,NBA,4,38,BOS,Johnny Austin,22.258,G,,Boston College,1967,1967,4,5.8,1.8,1.0,,,.227,.227,,.813,-0.1,-0.043
2809,1966,NBA,8,73,BAL,Roland West,22.344,G,,University of Cincinnati,1968,1968,4,1.0,1.3,0.0,,,.400,.400,,,0.0,-0.003
2810,1967,NBA,20,162,BAL,Roland West,23.336,G,,University of Cincinnati,1968,1968,4,1.0,1.3,0.0,,,.400,.400,,,0.0,-0.003
2811,1970,NBA,2,30,LAL,Earnie Killum,22.290,G,,Stetson University,1971,1971,4,0.3,0.5,0.0,,,.000,.000,,1.000,-0.1,-0.314
2812,1972,NBA,11,165,BOS,Mark Minor,22.337,F,,Ohio State University,1973,1973,4,1.3,1.0,0.5,,,.250,.250,,.750,0.0,.081
2813,1974,NBA,5,82,NOJ,Ed Searcy,22.046,F,,St. John's University,1976,1976,4,1.5,0.0,0.3,0.0,0.0,.333,.333,,1.000,0.0,-0.086
2814,1975,NBA,8,139,KCK,Jim Bostic,22.126,F,,New Mexico State University,1978,1978,4,6.5,4.0,0.8,0.0,0.0,.545,.545,,.400,0.1,.144
2815,1976,NBA,8,134,SEA,Norton Barnhill,23.334,G,,Washington State University,1977,1977,4,1.0,0.8,0.3,0.0,0.0,.333,.333,,,0.0,-0.198
2816,1977,NBA,2,24,BUF,Larry Johnson,23.200,G,,University of Kentucky,1978,1978,4,1.5,1.3,1.8,1.3,0.5,.231,.231,,.000,-0.1,-0.099
2817,1978,NBA,2,43,PHI,Glenn Hagan,23.355,G,,St. Bonaventure University,1982,1982,4,1.8,1.0,2.0,0.8,0.0,.429,.429,,1.000,0.1,.201
2818,1979,NBA,3,62,KCK,Terry Crosby,22.177,G,,University of Tennessee,1980,1980,4,1.5,0.3,1.8,0.0,0.0,.500,.500,,1.000,0.0,-0.051
2819,1984,NBA,3,68,PHI,Butch Graves,22.171,G,,Yale University,1985,1985,4,1.3,0.5,0.3,0.3,0.0,.333,.400,.000,.200,-0.1,-0.243
2820,1985,NBA,2,44,PHI,Voise Winters,23.255,F,,Bradley University,1986,1986,4,1.5,0.8,0.0,0.3,0.0,.231,.250,.000,,-0.1,-0.355
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2821,1986,NBA,5,95,IND,Richard Rellford,22.127,F,,University of Michigan,1988,1988,4,4.0,1.8,0.3,0.0,0.8,.625,.625,,.750,0.0,.048
2822,1987,NBA,2,41,CLE,Kannard Johnson,22.003,F,,Western Kentucky University,1988,1988,4,0.5,0.0,0.0,0.3,0.0,.333,.333,,,-0.1,-0.238
2823,1989,NBA,2,33,LAC,Jay Edwards,20.180,G,,Indiana University,1990,1990,4,1.8,0.5,1.0,0.3,0.0,.429,.600,.000,.333,0.0,.022
2824,1991,NBA,2,34,MIN,Myron Brown,22.240,G,,Slippery Rock University of Pennsylvania,1992,1992,4,2.3,0.8,1.5,0.3,0.0,.667,1.000,.333,,0.0,.032
2825,1993,NBA,2,35,MIA,Ed Stokes,22.306,C,,University of Arizona,1998,1998,4,0.8,1.0,0.3,0.3,0.5,.333,.333,,.500,0.0,-0.077
2826,1994,NBA,2,34,ATL,Gaylon Nickerson,25.150,G,,Northwestern Oklahoma State University,1997,1997,4,3.8,1.3,0.3,0.3,0.3,.333,.400,.000,1.000,0.1,.076
2827,2002,NBA,2,56,SAS,Randy Holcomb,23.328,F,,San Diego State University,2006,2006,4,0.5,0.3,0.0,0.0,0.0,1.000,1.000,,,0.0,.150
2828,1947,BAA,,,NYK,Wat Misaka,24.198,G,,University of Utah,1948,1948,3,2.3,,0.0,,,.231,.231,,.333,0.0,
2829,1948,BAA,,,NYK,Gene Berce,21.175,G-F,,Marquette University,1950,1950,3,3.3,,0.7,,,.313,.313,,.000,-0.1,
2830,1948,BAA,,,BLB,Darrell Brown,25.064,F,,Humboldt State University,1949,1949,3,1.3,,0.0,,,.333,.333,,.000,0.0,
