
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1401,2008,NBA,1,28,MEM,Donte Greene,20.131,F,,Syracuse University,2009,2012,253,6.1,2.4,0.7,0.4,0.5,.406,.467,.304,.701,1.5,.017
1402,1997,NBA,2,50,ATL,Chris Crawford,22.049,F,,Marquette University,1998,2004,252,6.6,2.2,0.6,0.4,0.3,.437,.453,.347,.824,6.5,.078
1403,2008,NBA,1,14,GSW,Anthony Randolph,19.351,F,,Louisiana State University,2009,2014,252,7.1,4.3,0.7,0.6,0.9,.453,.466,.241,.740,5.8,.072
1404,1988,NBA,2,45,LAC,Tom Garrick,22.362,G,,University of Rhode Island,1989,1992,251,5.4,2.0,3.4,1.1,0.1,.469,.490,.083,.775,5.9,.060
1405,1991,NBA,1,8,DEN,Mark Macon,22.078,G,,Temple University,1992,1999,251,6.7,1.9,1.7,1.4,0.1,.384,.393,.270,.735,0.1,.001
1406,1980,NBA,1,10,POR,Ronnie Lester,21.166,G,,University of Iowa,1981,1986,250,7.3,1.9,4.0,0.7,0.1,.469,.472,.227,.788,6.3,.061
1407,1978,NBA,1,11,NOJ,James Hardy,22.195,F-C,,University of San Francisco,1979,1982,249,5.7,5.3,1.3,0.7,0.9,.481,.482,.333,.700,6.3,.056
1408,1983,NBA,2,39,POR,Granville Waiters,22.176,C,,Ohio State University,1984,1988,249,2.4,2.2,0.5,0.2,0.7,.458,.462,.000,.559,1.9,.036
1409,1991,NBA,2,33,DAL,Donald Hodge,22.126,C,,Temple University,1992,1996,249,4.7,3.2,0.8,0.3,0.4,.437,.439,.286,.711,1.8,.025
1410,1998,NBA,1,24,SAS,Felipe Lopez,24.193,G,,St. John's University,1999,2002,249,5.8,2.4,1.0,0.6,0.2,.432,.445,.327,.659,3.1,.036
1411,2005,NBA,1,14,MIN,Rashad McCants,21.281,G,,University of North Carolina,2006,2009,249,10.0,2.0,1.3,0.7,0.2,.431,.467,.368,.741,3.6,.035
1412,2007,NBA,1,24,PHO,Rudy Fernandez,22.090,G,,,2009,2012,249,9.1,2.4,2.2,1.0,0.2,.399,.463,.360,.840,14.2,.114
1413,2009,NBA,2,36,MEM,Sam Young,24.030,F,,University of Pittsburgh,2010,2013,249,5.8,2.3,0.7,0.5,0.2,.442,.468,.280,.742,5.2,.063
1414,1991,NBA,2,51,HOU,Zan Tabak,21.016,C,,,1995,2001,247,5.0,3.6,0.7,0.3,0.5,.506,.507,.000,.525,2.4,.032
1415,2002,NBA,1,16,PHI,Jiri Welsch,22.156,G,,,2003,2006,247,6.1,2.4,1.5,0.8,0.1,.403,.425,.343,.752,5.7,.059
1416,1969,NBA,8,109,ATL,Bob Christian,23.337,C,,Grambling State University,1971,1974,246,3.8,4.1,0.8,0.1,0.1,.486,.486,,.704,5.7,.091
1417,1973,NBA,1,4,SEA,Mike Green,22.267,C-F,,Louisiana Tech University,1977,1980,245,8.4,5.4,1.4,0.5,1.5,.460,.461,.000,.707,10.9,.097
