
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1001,1996,NBA,2,33,MIL,Moochie Norris,23.340,G,,University of West Florida,1997,2006,445,5.1,2.0,2.8,0.7,0.0,.401,.430,.286,.740,10.0,.063
1002,2007,NBA,1,23,NYK,Wilson Chandler,20.054,F,,DePaul University,2008,2015,445,13.7,5.3,1.8,0.8,0.7,.442,.490,.339,.777,20.0,.069
1003,1985,NBA,1,22,MIL,Jerry Reynolds,23.183,G-F,,Louisiana State University,1986,1996,443,9.1,3.0,2.0,1.1,0.6,.418,.425,.226,.749,10.5,.060
1004,2009,NBA,1,9,TOR,DeMar DeRozan,20.327,G,,University of Southern California,2010,2015,443,17.2,3.8,2.4,0.9,0.3,.442,.459,.270,.818,25.5,.082
1005,1956,NBA,,,MNL,Phil Jordon,23.236,C-F,,Whitworth,1957,1963,442,10.9,6.9,1.7,,,.398,.398,,.694,9.9,.044
1006,1988,NBA,2,36,WSB,Ledell Eackles,22.222,G-F,,University of New Orleans,1989,1998,441,10.8,2.2,1.7,0.6,0.1,.445,.457,.336,.767,10.8,.058
1007,1997,NBA,1,10,MIL,Danny Fortson,21.095,F,,University of Cincinnati,1998,2007,440,8.2,7.2,0.7,0.4,0.2,.472,.473,.167,.785,22.3,.121
1008,2008,NBA,1,5,MEM,Kevin Love,20.297,F,,University of California Los Angeles,2009,2015,439,18.7,11.8,2.4,0.7,0.5,.448,.479,.363,.814,55.7,.185
1009,2009,NBA,1,19,ATL,Jeff Teague,21.020,G,,Wake Forest University,2010,2015,439,11.5,2.1,5.0,1.2,0.3,.450,.481,.341,.839,27.3,.116
1010,1947,BAA,,,STB,Jim Pollard,25.363,F-C,,Stanford University,1949,1955,438,13.2,5.7,3.2,,,.360,.360,,.750,34.9,.178
1011,1947,BAA,,,CHS,Jim Pollard,25.363,F-C,,Stanford University,1949,1955,438,13.2,5.7,3.2,,,.360,.360,,.750,34.9,.178
1012,1947,BAA,,,PHW,Jim Pollard,25.363,F-C,,Stanford University,1949,1955,438,13.2,5.7,3.2,,,.360,.360,,.750,34.9,.178
1013,1976,NBA,6,99,PHI,Mike Dunleavy,22.085,G,,University of South Carolina,1977,1990,438,8.0,1.6,3.9,0.8,0.1,.467,.489,.339,.810,16.1,.092
1014,1979,NBA,1,18,KCK,Reggie King,22.136,F,,University of Alabama,1980,1985,438,8.9,6.2,1.6,0.8,0.3,.514,.515,.000,.699,24.8,.105
1015,1988,NBA,1,13,MIL,Jeff Grayer,23.199,F-G,,Iowa State University,1989,1998,438,7.4,3.0,1.4,0.6,0.1,.457,.467,.255,.663,9.0,.052
1016,1989,NBA,1,6,CHI,Stacey King,22.155,F-C,,University of Oklahoma,1990,1997,438,6.4,3.3,0.9,0.4,0.5,.478,.480,.235,.707,10.9,.071
1017,1998,NBA,1,6,DAL,Robert Traylor,21.148,F,,University of Michigan,1999,2005,438,4.8,3.7,0.7,0.6,0.7,.474,.478,.167,.577,13.3,.102
1018,1951,NBA,1,2,TRI,Mel Hutchins,22.159,F-C,,Brigham Young University,1952,1958,437,11.1,9.6,3.0,,,.389,.389,,.673,27.9,.081
1019,1977,NBA,2,35,CHI,Mark Landsberger,22.026,F-C,,Arizona State University,1978,1984,437,5.6,6.1,0.5,0.3,0.2,.481,.482,.000,.522,12.2,.080
1020,2000,NBA,1,7,CHI,Chris Mihm,21.353,C,,University of Texas at Austin,2001,2009,436,7.5,5.3,0.5,0.3,1.0,.459,.460,.231,.704,13.3,.073
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1021,2002,NBA,1,17,WAS,Juan Dixon,24.266,G,,University of Maryland,2003,2009,436,8.4,1.9,1.8,0.8,0.1,.413,.442,.341,.833,6.1,.034
1022,1972,NBA,3,31,POR,Lloyd Neal,21.127,C-F,,Tennessee State University,1973,1979,435,11.1,7.7,1.5,0.4,0.7,.485,.485,,.672,22.7,.099
1023,1977,NBA,2,26,NYK,Glen Gondrezick,22.290,F-G,,University of Nevada Las Vegas,1978,1983,435,5.8,4.5,1.4,1.1,0.3,.473,.475,.143,.724,15.9,.101
1024,1986,NBA,1,12,WSB,John Williams,20.239,F-C,,Louisiana State University,1987,1995,435,10.1,5.1,2.9,1.3,0.4,.451,.469,.225,.704,19.9,.087
1025,1974,NBA,2,20,POR,Jan Van Breda Kolff,22.169,F-G,,Vanderbilt University,1977,1983,434,6.0,4.1,1.9,0.8,0.8,.439,.441,.300,.814,15.1,.071
1026,2009,NBA,1,26,CHI,Taj Gibson,24.007,F,,University of Southern California,2010,2015,434,9.2,6.2,0.9,0.5,1.3,.486,.489,.053,.692,28.2,.126
1027,2008,NBA,1,2,MIA,Michael Beasley,19.173,F,,Kansas State University,2009,2015,433,13.0,4.8,1.3,0.6,0.5,.450,.466,.343,.759,10.2,.046
1028,1991,NBA,2,48,UTA,Isaac Austin,22.317,C,,Arizona State University,1992,2002,432,7.6,4.7,1.2,0.5,0.5,.446,.451,.176,.670,9.2,.053
1029,1997,NBA,1,6,BOS,Ron Mercer,21.043,G-F,,University of Kentucky,1998,2005,432,13.6,3.1,2.1,1.1,0.3,.429,.437,.250,.808,9.4,.034
1030,2004,NBA,1,24,BOS,Delonte West,21.339,G,,Saint Joseph's University,2005,2012,432,9.7,2.9,3.6,1.1,0.4,.448,.479,.372,.826,24.5,.099
1031,2009,NBA,2,33,POR,Dante Cunningham,22.070,F,,Villanova University,2010,2015,432,6.0,3.9,0.7,0.7,0.5,.472,.479,.053,.644,15.4,.085
1032,1957,NBA,1,1,CIN,Hot Rod Hundley,22.179,G,,West Virginia University,1958,1963,431,8.4,3.3,3.4,,,.347,.347,,.721,4.3,.022
1033,1969,NBA,2,19,DET,Willie Norwood,22.248,F,,Alcorn State University,1972,1978,430,7.5,3.7,0.8,0.5,0.1,.488,.488,,.697,17.6,.115
1034,2002,NBA,1,14,IND,Fred Jones,23.113,G-F,,University of Oregon,2003,2009,430,7.5,2.2,2.3,0.8,0.3,.411,.445,.353,.809,16.5,.077
