
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2401,1981,NBA,3,66,PHO,Craig Dykema,22.004,F,,California State University Long Beach,1982,1982,32,1.3,0.4,0.5,0.1,0.0,.459,.455,.500,.778,0.2,.095
2402,1982,NBA,3,47,CLE,Michael Wilson,23.293,G,,Marquette University,1984,1987,32,3.4,1.1,1.4,0.5,0.2,.438,.443,.000,.750,0.3,.038
2403,1983,NBA,1,17,PHI,Leo Rautins,23.105,F,,Syracuse University,1984,1985,32,1.5,1.1,1.0,0.3,0.1,.350,.350,,.600,-0.1,-0.030
2404,1951,NBA,6,56,BOS,Jim Luisi,22.179,G,,St. Francis College,1954,1954,31,2.9,0.8,1.1,,,.326,.326,,.659,0.0,.002
2405,1952,NBA,,,PHW,Bill Mlkvy,21.103,F,,Temple University,1953,1953,31,5.8,3.3,2.0,,,.305,.305,,.646,-1.0,-0.082
2406,1955,NBA,2,13,FTW,Jesse Arnelle,21.109,F,,Pennsylvania State University,1956,1956,31,4.7,5.5,0.6,,,.317,.317,,.623,0.0,-0.001
2407,1961,NBA,2,16,STL,Ron Horn,23.313,F,,Indiana University,1962,1963,31,2.5,2.5,0.4,,,.298,.298,,.677,-0.2,-0.037
2408,1961,NBA,5,50,CHP,Howie Carl,23.299,G,,DePaul University,1962,1962,31,5.5,1.3,1.8,,,.333,.333,,.706,-0.5,-0.061
2409,1962,NBA,3,21,SYR,Porter Meriwether,22.015,G,,Tennessee State University,1963,1963,31,3.8,0.9,1.4,,,.393,.393,,.697,0.2,.030
2410,1969,NBA,5,65,CIN,Jake Ford,23.349,G,,University of Maryland Eastern Shore,1971,1972,31,4.1,0.6,1.1,,,.462,.462,,.764,0.7,.133
2411,1970,NBA,2,20,SEA,Jake Ford,24.334,G,,University of Maryland Eastern Shore,1971,1972,31,4.1,0.6,1.1,,,.462,.462,,.764,0.7,.133
2412,1973,NBA,2,35,BOS,Phil Hankinson,22.278,F,,University of Pennsylvania,1974,1975,31,3.9,1.8,0.2,0.1,0.0,.491,.491,,.769,0.6,.143
2413,1982,NBA,2,34,NYK,Vince Taylor,22.296,G-F,,Duke University,1983,1983,31,3.1,1.2,1.3,0.6,0.1,.363,.363,,.656,0.1,.009
2414,1984,NBA,2,41,DAL,Tom Sluby,22.127,G,,University of Notre Dame,1985,1985,31,2.4,0.4,0.5,0.1,0.0,.517,.536,.000,.619,0.2,.052
2415,1987,NBA,3,53,PHO,Winston Crite,22.007,F,,Texas A&amp;M University,1988,1989,31,2.8,2.1,0.5,0.2,0.3,.479,.479,,.760,0.1,.012
2416,1988,NBA,2,30,DET,Fennis Dembo,22.161,F,,University of Wyoming,1989,1989,31,1.2,0.7,0.2,0.0,0.0,.333,.368,.000,.800,-0.1,-0.037
2417,1989,NBA,2,34,MIN,Gary Leonard,22.137,C,,University of Missouri,1990,1992,31,1.4,1.1,0.1,0.1,0.3,.459,.472,.000,.500,0.1,.029
2418,2001,NBA,2,35,CLE,Jeff Trepagnier,22.357,G,,University of Southern California,2002,2004,31,2.8,1.4,0.7,0.6,0.1,.337,.318,.462,.700,-0.2,-0.038
2419,2004,NBA,2,50,DAL,Vassilis Spanoulis,22.327,G,,,2007,2007,31,2.7,0.7,0.9,0.2,0.0,.319,.419,.172,.810,-0.1,-0.010
2420,1965,NBA,2,16,LAL,John Fairchild,22.014,F,,Brigham Young University,1966,1966,30,2.0,1.5,0.4,,,.258,.258,,.700,-0.6,-0.166
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2421,1971,NBA,3,42,POR,William Smith,22.048,C,,Syracuse University,1972,1973,30,6.8,4.8,0.7,,,.431,.431,,.597,0.1,.014
2422,1973,NBA,6,88,BUF,Mike Macaluso,22.284,F,,Canisius College,1974,1974,30,1.6,0.8,0.1,0.2,0.0,.432,.432,,.588,0.0,-0.001
2423,1978,NBA,4,84,NJN,Walter Jordan,22.116,F,,Purdue University,1981,1981,30,2.3,1.4,0.4,0.4,0.2,.387,.387,,.588,-0.1,-0.021
