
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
501,2000,NBA,1,21,TOR,Morris Peterson,23.312,F,,Michigan State University,2001,2011,711,10.7,3.5,1.5,0.9,0.2,.418,.450,.373,.773,35.7,.089
502,1996,NBA,2,30,HOU,Othella Harrington,22.152,F-C,,Georgetown University,1997,2008,709,7.4,4.4,0.6,0.3,0.4,.505,.507,.000,.738,23.1,.080
503,1992,NBA,1,7,SAC,Walt Williams,22.075,F-G,,University of Maryland,1993,2003,708,11.8,3.9,2.3,0.9,0.6,.425,.451,.379,.743,33.9,.087
504,1995,NBA,1,23,IND,Travis Best,23.356,G,,Georgia Institute of Technology,1996,2005,708,7.6,1.8,3.5,0.9,0.1,.431,.449,.345,.835,30.9,.098
505,1981,NBA,1,12,DET,Kelly Tripucka,22.119,F-G,,University of Notre Dame,1982,1991,707,17.2,3.8,3.0,1.0,0.2,.473,.479,.361,.849,44.4,.102
506,1991,NBA,1,1,CHH,Larry Johnson,22.109,F,,University of Nevada Las Vegas,1992,2001,707,16.2,7.5,3.3,0.7,0.4,.484,.505,.332,.766,69.7,.130
507,1954,NBA,2,12,PHW,Larry Costello,23.302,G,,Niagara University,1955,1968,706,12.2,3.8,4.6,,,.438,.438,,.841,62.7,.142
508,1958,NBA,1,5,SYR,Connie Dierking,22.207,C-F,,University of Cincinnati,1959,1971,706,10.0,6.7,1.5,,,.417,.417,,.697,13.3,.041
509,1973,NBA,1,8,PHO,Mike Bantom,21.148,F-C,,Saint Joseph's University,1974,1982,706,12.1,6.4,2.3,0.9,0.7,.468,.469,.200,.692,34.8,.085
510,1980,NBA,1,1,GSW,Joe Barry Carroll,22.327,C-F,,Purdue University,1981,1991,705,17.7,7.7,1.8,1.0,1.6,.474,.475,.000,.747,35.6,.075
511,1952,NBA,1,9,MNL,Clyde Lovellette,23.237,C-F,,University of Kansas,1954,1964,704,17.0,9.5,1.6,,,.443,.443,,.757,70.6,.178
512,1989,NBA,1,21,UTA,Blue Edwards,24.245,G-F,,East Carolina University,1990,1999,704,10.8,3.4,2.0,1.0,0.4,.475,.498,.335,.779,24.2,.063
513,1993,NBA,1,3,GSW,Anfernee Hardaway,22.353,G-F,,University of Memphis,1994,2008,704,15.2,4.5,5.0,1.6,0.4,.458,.489,.316,.774,61.9,.125
514,2005,NBA,1,2,ATL,Marvin Williams,19.014,F,,University of North Carolina,2006,2015,704,10.4,5.1,1.3,0.8,0.5,.445,.475,.340,.800,41.1,.097
515,1973,NBA,1,2,CLE,Jim Brewer,21.148,F-C,,University of Minnesota,1974,1982,703,5.8,6.3,1.5,0.8,0.7,.448,.449,.077,.571,29.3,.088
516,1969,NBA,1,3,SEA,Lucius Allen,22.199,G,,University of California Los Angeles,1970,1979,702,13.4,3.1,4.5,0.9,0.2,.463,.463,,.760,42.0,.100
517,1947,BAA,,,CHS,Andy Phillip,25.122,G-F,,University of Illinois at Urbana-Champaign,1948,1958,701,9.1,3.4,5.4,,,.368,.368,,.695,53.3,.166
518,1979,NBA,5,104,HOU,Allen Leavell,22.034,G,,Oklahoma City University,1980,1989,700,9.5,1.7,4.8,1.3,0.2,.450,.476,.234,.834,29.9,.088
519,1991,NBA,1,16,GSW,Chris Gatling,24.302,F-C,,Old Dominion University,1992,2002,700,10.3,5.3,0.7,0.7,0.5,.513,.523,.249,.660,32.1,.112
520,1949,BAA,,,MNL,Vern Mikkelsen,20.156,F-C,,Hamline University,1950,1959,699,14.4,8.5,2.2,,,.403,.403,,.766,83.4,.217
