
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
401,1989,NBA,2,28,MIA,Sherman Douglas,23.291,G,,Syracuse University,1990,2001,765,11.0,2.2,5.9,1.0,0.1,.484,.504,.267,.678,32.9,.075
402,1959,NBA,1,3,MNL,Tom Hawkins,22.104,F,,University of Notre Dame,1960,1969,764,8.7,6.0,1.1,,,.447,.447,,.570,24.1,.063
403,1999,NBA,1,21,GSW,Jeff Foster,22.170,F-C,,Texas State University,2000,2012,764,4.9,6.9,0.9,0.7,0.4,.497,.504,.130,.615,47.5,.145
404,1992,NBA,1,6,WSB,Tom Gugliotta,23.193,F,,North Carolina State University,1993,2005,763,13.0,7.3,2.8,1.4,0.6,.451,.467,.284,.757,40.2,.082
405,2002,NBA,2,52,MIA,Rasual Butler,23.040,G-F,,La Salle University,2003,2015,763,7.8,2.5,0.8,0.4,0.5,.402,.433,.363,.749,19.4,.056
406,2003,NBA,2,45,CHI,Matt Bonner,23.087,F,,University of Florida,2005,2015,762,6.0,3.1,0.7,0.4,0.3,.463,.515,.414,.780,37.7,.138
407,2004,NBA,1,18,NOH,J.R. Smith,19.293,G,,,2005,2015,762,13.2,3.3,2.3,1.0,0.2,.424,.469,.372,.737,38.8,.092
408,1978,NBA,2,44,POR,Clemon Johnson,22.275,C-F,,Florida Agricultural and Mechanical University,1979,1988,761,5.4,4.6,1.0,0.5,0.9,.492,.493,.000,.621,25.5,.092
409,1971,NBA,1,2,POR,Sidney Wicks,22.196,F-C,,University of California Los Angeles,1972,1981,760,16.8,8.7,3.2,0.8,0.6,.459,.459,.000,.685,42.4,.079
410,1971,NBA,2,30,BUF,Spencer Haywood,22.346,F-C,,University of Detroit Mercy,1971,1983,760,19.2,9.3,1.8,0.5,0.8,.465,.465,.125,.800,61.4,.115
411,2002,NBA,1,4,MEM,Drew Gooden,21.280,F,,University of Kansas,2003,2015,760,11.3,7.3,1.2,0.7,0.6,.464,.472,.269,.760,43.9,.106
412,1978,NBA,1,15,CLE,Mike Mitchell,22.165,F,,Auburn University,1979,1988,759,19.8,5.6,1.3,0.7,0.5,.493,.495,.216,.779,50.2,.098
413,1991,NBA,1,12,NYK,Greg Anthony,24.229,G,,University of Nevada Las Vegas,1992,2002,757,7.3,1.9,4.0,1.2,0.1,.403,.434,.349,.733,35.9,.109
414,2000,NBA,1,1,NJN,Kenyon Martin,23.186,F,,University of Cincinnati,2001,2015,757,12.3,6.8,1.9,1.2,1.1,.483,.492,.234,.629,48.0,.100
415,1982,NBA,1,6,NYK,Trent Tucker,23.197,G,,University of Minnesota,1983,1993,756,8.2,2.0,2.0,0.9,0.1,.461,.478,.408,.754,34.3,.105
416,1994,NBA,1,8,SAC,Brian Grant,22.121,F,,Xavier University,1995,2006,756,10.5,7.4,1.2,0.6,0.7,.490,.491,.214,.746,54.5,.122
417,1995,NBA,1,28,UTA,Greg Ostertag,22.119,C,,University of Kansas,1996,2006,756,4.6,5.5,0.6,0.3,1.7,.486,.487,.100,.569,33.8,.110
418,1961,NBA,11,92,NYK,Kevin Loughery,21.004,G,,St. John's University,1963,1973,755,15.3,3.0,3.7,,,.413,.413,,.803,29.8,.064
419,1962,NBA,2,11,DET,Kevin Loughery,22.003,G,,St. John's University,1963,1973,755,15.3,3.0,3.7,,,.413,.413,,.803,29.8,.064
420,1964,NBA,3,19,BAL,Jerry Sloan,22.043,G-F,,University of Evansville,1966,1976,755,14.0,7.4,2.5,0.5,0.0,.427,.427,,.722,49.5,.092
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
421,1965,NBA,1,4,BAL,Jerry Sloan,23.045,G-F,,University of Evansville,1966,1976,755,14.0,7.4,2.5,0.5,0.0,.427,.427,,.722,49.5,.092
422,1997,NBA,1,23,SEA,Bobby Jackson,24.110,G,,University of Minnesota,1998,2009,755,9.7,3.1,2.6,0.9,0.1,.417,.444,.354,.793,31.4,.090
423,1982,NBA,1,11,POR,Fat Lever,22.320,G,,Arizona State University,1983,1994,752,13.9,6.0,6.2,2.2,0.3,.447,.455,.310,.771,61.2,.123
424,1958,NBA,1,6,STL,Dave Gambee,21.011,F,,Oregon State University,1959,1970,750,10.6,5.2,1.0,,,.420,.420,,.822,35.1,.115
