
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2701,1968,NBA,6,77,PHO,Rod Knowles,22.103,F-C,,Davidson College,1969,1969,8,1.1,1.1,0.0,,,.286,.286,,.333,-0.1,-0.148
2702,1977,NBA,2,31,KCK,Eddie Owens,23.172,F,,University of Nevada Las Vegas,1978,1978,8,2.6,1.3,0.6,0.1,0.0,.429,.429,,.500,0.0,.027
2703,1979,NBA,2,32,IND,Tony Zeno,22.272,F,,Arizona State University,1980,1980,8,1.8,1.8,0.1,0.5,0.4,.286,.286,,1.000,-0.2,-0.160
2704,1979,NBA,3,45,UTA,Arvid Kramer,23.271,C,,Augustana College (SD),1980,1980,8,2.0,1.5,0.4,0.0,0.6,.318,.318,,1.000,-0.1,-0.102
2705,1979,NBA,4,85,KCK,John McCullough,23.268,G,,University of Oklahoma,1982,1982,8,2.6,0.5,0.4,0.3,0.0,.692,.692,,.600,0.1,.239
2706,1980,NBA,2,40,IND,Dick Miller,22.051,F,,University of Toledo,1981,1981,8,1.0,0.9,0.6,0.5,0.0,.444,.500,.000,,-0.1,-0.102
2707,1982,NBA,2,40,IND,Guy Morgan,22.315,G,,Wake Forest University,1983,1983,8,1.9,2.1,0.9,0.3,0.0,.292,.292,,.250,-0.1,-0.059
2708,1983,NBA,4,90,SAS,Brant Weidner,23.248,F,,College of William &amp; Mary,1984,1984,8,1.0,1.4,0.0,0.0,0.3,.222,.222,,1.000,0.0,-0.014
2709,1984,NBA,9,185,IND,Brian Martin,22.311,F,,University of Kansas,1986,1986,8,0.8,0.5,0.0,0.0,0.1,.429,.429,,.000,-0.1,-0.132
2710,1986,NBA,2,32,ATL,Cedric Henderson,21.262,F,,University of Georgia,1987,1987,8,1.4,1.0,0.0,0.0,0.0,.500,.500,,1.000,0.0,-0.015
2711,1986,NBA,3,57,SAC,Bruce Douglas,22.074,G,,University of Illinois at Urbana-Champaign,1987,1987,8,1.8,1.8,2.1,1.1,0.0,.292,.304,.000,.000,-0.2,-0.082
2712,1986,NBA,4,85,DAL,Myron Jackson,22.047,G,,University of Arkansas at Little Rock,1987,1987,8,1.4,0.4,0.8,0.1,0.0,.222,.222,,.875,0.0,-0.104
2713,1987,NBA,3,50,SAS,Phil Zevenbergen,23.075,C,,University of Washington,1988,1988,8,3.8,1.6,0.4,0.4,0.1,.556,.556,,.000,0.0,.041
2714,1993,NBA,1,26,ORL,Geert Hammink,24.359,C,,Louisiana State University,1994,1996,8,1.8,0.9,0.3,0.0,0.0,.400,.400,,.667,0.1,.089
2715,1995,NBA,2,40,GSW,Dwayne Whitfield,23.316,F,,Jackson State University,1996,1996,8,5.0,3.1,0.3,0.4,0.3,.433,.433,,.636,0.0,.010
2716,1999,NBA,2,39,CLE,A.J. Bramlett,22.176,C,,University of Arizona,2000,2000,8,1.0,2.8,0.0,0.1,0.0,.190,.190,,,-0.2,-0.129
2717,2008,NBA,2,32,SEA,Walter Sharpe,22.349,F,,University of Alabama at Birmingham,2009,2009,8,1.0,0.4,0.0,0.0,0.3,.364,.444,.000,.000,-0.1,-0.131
2718,2009,NBA,2,48,PHO,Taylor Griffin,23.074,F,,University of Oklahoma,2010,2010,8,1.3,0.3,0.1,0.0,0.3,.400,.500,.000,.500,0.0,-0.039
2719,1947,BAA,,,WSC,Paul Cloyd,27.024,G-F,,University of Wisconsin,1950,1950,7,2.7,,0.3,,,.269,.269,,.625,-0.1,
2720,1949,BAA,7,,STB,John Pritchard,22.063,C,,Drake University,1950,1950,7,3.1,,1.1,,,.310,.310,,.364,-0.2,
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2721,1951,NBA,3,27,ROC,Fred Diute,22.111,G,,St. Bonaventure University,1955,1955,7,1.6,1.9,0.6,,,.095,.095,,.583,-0.3,-0.204
