
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
935,1980,NBA,1,4,CHI,Kelvin Ransey,22.044,G,,Ohio State University,1981,1986,474,11.4,1.9,5.2,1.0,0.1,.454,.464,.132,.782,17.9,.074
936,1986,NBA,2,26,IND,Greg Dreiling,24.228,C,,University of Kansas,1987,1997,474,2.1,2.1,0.4,0.2,0.3,.467,.469,.333,.649,4.0,.045
937,1989,NBA,1,1,SAC,Pervis Ellison,22.091,F-C,,University of Louisville,1990,2001,474,9.5,6.7,1.5,0.6,1.6,.510,.513,.050,.689,21.8,.090
938,2005,NBA,1,25,SEA,Johan Petro,19.157,C,,,2006,2013,473,4.7,3.9,0.5,0.4,0.5,.462,.464,.154,.678,5.5,.037
939,2005,NBA,2,37,LAL,Ronny Turiaf,22.172,F,,Gonzaga University,2006,2015,473,4.7,3.7,1.3,0.4,1.3,.533,.535,.000,.636,19.2,.115
940,1950,NBA,1,7,FTW,George Yardley,21.178,F-G,,Stanford University,1954,1960,472,19.2,8.9,1.7,,,.422,.422,,.780,58.5,.178
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
941,1995,NBA,1,12,DAL,Cherokee Parks,23.265,C-F,,Duke University,1996,2004,472,4.4,3.6,0.6,0.4,0.6,.470,.475,.211,.630,11.8,.076
942,1999,NBA,2,41,DEN,Francisco Elson,23.128,C,,University of California,2004,2012,472,3.7,3.5,0.6,0.5,0.5,.478,.481,.188,.700,11.7,.078
943,1999,NBA,1,27,ATL,Jumaine Jones,20.145,F,,University of Georgia,2000,2007,471,7.1,4.2,0.9,0.7,0.3,.424,.474,.349,.704,15.1,.074
944,1985,NBA,4,77,ATL,Arvydas Sabonis,21.186,C,,,1996,2003,470,12.0,7.3,2.1,0.8,1.1,.500,.520,.328,.786,47.3,.200
945,1986,NBA,1,24,POR,Arvydas Sabonis,22.185,C,,,1996,2003,470,12.0,7.3,2.1,0.8,1.1,.500,.520,.328,.786,47.3,.200
946,1964,NBA,1,2,DET,Joe Caldwell,23.190,F-G,,Arizona State University,1965,1970,468,15.2,5.1,2.7,,,.459,.459,,.634,23.9,.083
947,1974,NBA,1,1,POR,Bill Walton,22.209,C-F,,University of California Los Angeles,1975,1987,468,13.3,10.5,3.4,0.8,2.2,.521,.521,.000,.660,39.3,.142
948,1976,NBA,1,9,ATL,Armond Hill,23.075,G,,Princeton University,1977,1984,468,6.9,2.0,4.7,1.2,0.1,.408,.410,.077,.829,11.3,.046
949,1980,NBA,1,8,PHI,Andrew Toney,23.205,G,,University of Louisiana at Lafayette,1981,1988,468,15.9,2.2,4.2,0.8,0.2,.500,.512,.342,.797,26.9,.103
950,1981,NBA,2,28,SAS,Gene Banks,22.031,F-G,,Duke University,1982,1987,468,11.3,5.8,2.9,0.9,0.2,.539,.545,.043,.730,31.2,.115
951,2003,NBA,1,2,DET,Darko Milicic,18.010,F-C,,,2004,2013,468,6.0,4.2,0.9,0.4,1.3,.460,.461,.000,.574,7.1,.040
952,1987,NBA,2,39,PHI,Vincent Askew,21.119,G-F,,University of Memphis,1988,1998,467,7.1,2.5,2.2,0.7,0.2,.479,.499,.300,.754,22.1,.113
953,1991,NBA,2,45,MIL,Bobby Phills,22.193,G,,Southern University and A&amp;M College,1992,2000,467,11.0,3.1,2.7,1.3,0.3,.443,.456,.390,.738,27.2,.097
