
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1501,1954,NBA,1,9,MNL,Ed Kalafat,22.198,C-F,,University of Minnesota,1955,1957,209,7.1,5.7,1.5,,,.345,.345,,.688,5.3,.059
1502,1997,NBA,1,25,NYK,John Thomas,22.296,F,,University of Minnesota,1998,2006,208,2.7,2.1,0.3,0.3,0.2,.502,.505,.000,.591,3.2,.067
1503,1983,NBA,2,28,PHO,Rod Foster,23.266,G,,University of California Los Angeles,1984,1986,207,7.5,1.2,2.3,0.7,0.0,.440,.469,.298,.768,2.2,.031
1504,1985,NBA,1,19,HOU,Steve Harris,22.252,G,,University of Tulsa,1986,1990,207,7.0,1.8,1.1,0.6,0.1,.434,.440,.050,.842,3.1,.053
1505,1993,NBA,1,17,CHH,Greg Graham,23.222,G,,Indiana University,1994,1998,207,4.5,1.1,1.0,0.6,0.1,.407,.438,.290,.775,1.3,.025
1506,1979,NBA,1,9,NYK,Larry Demic,22.003,F-C,,University of Arizona,1980,1982,206,4.7,3.9,0.5,0.3,0.2,.459,.461,.000,.580,1.4,.022
1507,1981,NBA,5,102,GSW,Hank McDowell,22.214,F-C,,University of Memphis,1982,1987,206,2.9,2.3,0.5,0.2,0.1,.451,.457,.000,.710,2.0,.052
1508,1962,NBA,4,29,DET,Reggie Harding,20.331,C,,,1964,1968,205,9.0,9.1,1.7,,,.413,.413,,.607,5.7,.049
1509,1963,NBA,6,48,DET,Reggie Harding,21.001,C,,,1964,1968,205,9.0,9.1,1.7,,,.413,.413,,.607,5.7,.049
1510,1986,NBA,1,14,POR,Walter Berry,22.039,F,,St. John's University,1987,1989,205,14.1,4.7,1.4,0.6,0.7,.539,.540,.200,.638,8.2,.081
1511,2000,NBA,1,22,NYK,Donnell Harvey,20.311,F,,University of Florida,2001,2005,205,5.6,4.0,0.8,0.5,0.4,.460,.464,.100,.659,4.7,.069
1512,1950,NBA,2,,CHS,Wally Osterkorn,22.298,F-C,,University of Illinois at Urbana-Champaign,1952,1955,204,7.0,6.0,1.7,,,.334,.334,,.592,8.9,.082
1513,1969,NBA,1,14,BAL,Mike Davis,23.261,G,,Virginia Union University,1970,1973,204,10.7,2.3,1.8,,,.424,.424,,.772,4.8,.054
1514,1984,NBA,1,19,POR,Bernard Thompson,22.299,F-G,,California State University Fresno,1985,1989,204,5.3,1.7,1.3,0.6,0.1,.439,.447,.000,.789,3.4,.056
1515,1951,NBA,4,32,INO,Bill Tosheff,25.333,G,,Indiana University,1952,1954,203,9.2,3.0,3.3,,,.315,.315,,.793,5.2,.039
1516,1974,NBA,9,160,BOS,Al Skinner,22.351,G,,University of Massachusetts Amherst,1977,1980,203,9.3,3.3,2.6,1.0,0.4,.437,.437,,.808,6.2,.067
1517,1994,NBA,1,6,PHI,Sharone Wright,21.155,F-C,,Clemson University,1995,1998,203,9.7,5.0,0.6,0.4,1.0,.456,.458,.083,.618,1.4,.015
1518,1996,NBA,2,42,HOU,Randy Livingston,21.091,G,,Louisiana State University,1997,2007,203,3.8,1.4,2.0,0.6,0.2,.406,.414,.351,.771,2.3,.041
1519,2006,NBA,1,22,NJN,Marcus Williams,21.212,G,,University of Connecticut,2007,2010,203,5.6,1.8,2.8,0.4,0.0,.386,.421,.321,.767,0.0,-0.001
1520,1955,NBA,1,2,ROC,Maurice Stokes,22.305,F-C,,Saint Francis University,1956,1958,202,16.4,17.3,5.3,,,.351,.351,,.698,16.1,.102
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1521,1966,NBA,2,15,BAL,Neil Johnson,23.030,F-C,,Creighton University,1967,1970,202,4.0,3.4,1.1,,,.426,.426,,.613,2.0,.042
1522,2009,NBA,1,5,MIN,Ricky Rubio,19.252,G,,,2012,2015,202,10.2,4.3,8.2,2.3,0.1,.367,.380,.314,.801,11.4,.085
1523,1980,NBA,1,19,UTA,John Duren,22.229,G,,Georgetown University,1981,1983,201,3.5,1.1,2.0,0.5,0.1,.435,.446,.120,.750,-0.8,-0.014
1524,1984,NBA,1,8,LAC,Lancaster Gordon,22.001,G,,University of Louisville,1985,1988,201,5.6,1.3,1.5,0.6,0.2,.391,.400,.271,.767,-2.7,-0.050
1525,1984,NBA,2,36,PHO,Charles Jones,22.164,F,,University of Louisville,1985,1989,201,5.0,3.8,1.0,0.5,0.5,.493,.498,.111,.611,4.5,.072
1526,1990,NBA,1,20,MIN,Gerald Glass,23.233,G-F,,University of Mississippi,1991,1996,201,7.7,2.5,1.5,0.6,0.3,.433,.448,.236,.643,1.8,.025
1527,1996,NBA,2,48,PHI,Jamie Feick,22.364,C,,Michigan State University,1997,2001,201,4.5,7.1,0.7,0.6,0.4,.424,.425,.400,.629,8.2,.091
1528,1992,NBA,1,12,MIA,Harold Miner,21.056,G,,University of Southern California,1993,1996,200,9.0,2.2,1.2,0.4,0.1,.460,.468,.311,.785,4.2,.053
1529,2005,NBA,2,39,LAL,Von Wafer,20.347,G,,Florida State University,2006,2012,200,5.3,1.2,0.7,0.4,0.1,.420,.469,.325,.751,3.3,.064
1530,1999,NBA,1,26,IND,Vonteego Cummings,23.127,G,,University of Pittsburgh,2000,2002,199,6.9,1.9,2.7,0.9,0.2,.383,.404,.321,.726,2.2,.028
1531,1974,NBA,1,16,CHI,Cliff Pondexter,20.260,F-C,,California State University Long Beach,1976,1978,197,3.9,3.8,1.1,0.4,0.3,.416,.416,,.667,4.7,.079
1532,1957,NBA,2,12,STL,Jim Palmer,24.319,F-C,,University of Dayton,1959,1961,196,8.1,5.3,0.8,,,.413,.413,,.703,4.5,.057
1533,1960,NBA,1,5,SYR,Lee Shaffer,21.053,F,,University of North Carolina,1962,1964,196,16.8,6.3,1.2,,,.420,.420,,.776,8.2,.072
1534,2010,NBA,1,11,NOH,Cole Aldrich,22.241,C,,University of Kansas,2011,2015,196,3.1,3.4,0.5,0.3,0.7,.503,.503,,.780,4.8,.115
1535,2010,NBA,1,20,SAS,James Anderson,21.096,G,,Oklahoma State University,2011,2014,196,6.3,2.4,1.3,0.5,0.2,.417,.497,.330,.755,3.6,.047
1536,1949,BAA,6,,INO,Don Boven,24.021,F-G,,Western Michigan University,1950,1953,195,9.0,2.8,2.0,,,.339,.339,,.706,7.4,.106
1537,1982,NBA,3,60,GSW,Chris Engler,23.126,C,,University of Wyoming,1983,1988,195,1.8,2.0,0.2,0.2,0.2,.411,.411,,.677,0.6,.020
1538,2008,NBA,1,20,CHA,Alexis Ajinca,20.056,C,,,2009,2015,195,5.1,3.6,0.5,0.3,0.6,.514,.523,.324,.798,5.5,.108
1539,1985,NBA,2,25,POR,Mike Smrek,23.297,C,,Canisius College,1986,1992,194,2.9,2.2,0.3,0.2,0.8,.431,.433,.000,.617,0.7,.018
1540,1986,NBA,1,13,NJN,Pearl Washington,22.168,G,,Syracuse University,1987,1989,194,8.6,1.9,3.8,1.3,0.1,.452,.469,.184,.746,1.9,.023
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1541,1983,NBA,2,25,CHI,Sidney Lowe,23.164,G,,North Carolina State University,1984,1990,193,2.9,1.7,3.9,1.0,0.0,.367,.380,.133,.764,3.9,.055
1542,1993,NBA,1,19,BOS,Acie Earl,23.013,F-C,,University of Iowa,1994,1997,193,5.1,2.7,0.3,0.3,0.7,.403,.407,.000,.667,0.3,.005
1543,1953,NBA,5,,BOS,Joe Holup,19.062,F,,George Washington University,1957,1959,192,7.0,4.4,1.0,,,.342,.342,,.781,4.2,.058
1544,1954,NBA,13,100,PHW,Joe Holup,20.062,F,,George Washington University,1957,1959,192,7.0,4.4,1.0,,,.342,.342,,.781,4.2,.058
1545,1956,NBA,1,5,SYR,Joe Holup,22.069,F,,George Washington University,1957,1959,192,7.0,4.4,1.0,,,.342,.342,,.781,4.2,.058
1546,1956,NBA,1,6,FTW,Ron Sobie,22.227,G,,DePaul University,1957,1960,192,8.4,4.1,1.8,,,.379,.379,,.808,7.2,.089
1547,1984,NBA,1,15,DAL,Terence Stansbury,23.118,G,,Temple University,1985,1987,192,6.3,1.4,2.0,0.6,0.1,.444,.468,.224,.779,2.4,.038
1548,1951,NBA,6,55,NYK,Alfred McGuire,23.235,G-F,,St. John's University,1952,1955,191,4.0,2.2,1.9,,,.379,.379,,.551,5.5,.088
1549,1974,NBA,1,10,ATL,Mike Sojourner,21.229,C-F,,University of Utah,1975,1977,191,8.7,6.5,0.9,0.5,0.6,.480,.480,,.671,8.2,.092
1550,1986,NBA,3,53,SEA,Tod Murphy,22.181,C-F,,University of California Irvine,1988,1994,191,5.5,4.9,1.0,0.6,0.5,.454,.467,.290,.679,8.0,.095
1551,1958,NBA,1,2,CIN,Archie Dees,22.065,F-C,,Indiana University,1959,1962,190,8.1,4.8,0.7,,,.402,.402,,.794,4.8,.074
1552,1973,NBA,1,14,NYK,Mel Davis,22.172,F,,St. John's University,1974,1977,190,5.3,4.3,0.9,0.3,0.1,.376,.376,,.709,0.3,.006
1553,1973,NBA,3,48,CAP,Tom Kozelko,22.303,F,,University of Toledo,1974,1976,189,2.2,1.8,0.5,0.4,0.1,.419,.419,,.745,2.4,.059
1554,2004,NBA,1,29,IND,David Harrison,22.319,C,,University of Colorado,2005,2008,189,5.0,2.9,0.2,0.3,1.0,.530,.530,,.525,3.2,.057
1555,2006,NBA,1,29,NYK,Mardy Collins,22.333,G,,Temple University,2007,2010,189,3.9,1.8,1.7,0.6,0.1,.380,.396,.299,.599,-1.6,-0.027
1556,2009,NBA,1,24,DAL,Byron Mullens,20.136,C,,Ohio State University,2010,2014,189,7.4,4.2,0.8,0.4,0.5,.408,.438,.319,.706,0.6,.008
1557,1967,NBA,3,31,SDR,Nick Jones,22.041,G,,University of Oregon,1968,1972,188,5.3,1.1,1.3,,,.413,.413,,.772,2.1,.046
1558,1984,NBA,3,70,BOS,Rick Carlisle,25.242,G,,University of Virginia,1985,1990,188,2.2,0.8,1.1,0.2,0.0,.422,.447,.229,.775,0.5,.015
1559,2007,NBA,1,11,ATL,Acie Law,22.159,G,,Texas A&amp;M University,2008,2011,188,3.9,1.0,1.6,0.4,0.0,.413,.452,.235,.778,1.6,.032
