
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2101,1966,NBA,3,29,PHI,Donnie Freeman,22.302,G,,University of Illinois at Urbana-Champaign,1976,1976,64,10.8,2.8,2.7,0.9,0.2,.434,.434,,.819,2.4,.078
2102,1966,NBA,10,88,CIN,Freddie Lewis,23.320,G,,Arizona State University,1967,1977,64,5.8,1.4,1.5,0.3,0.0,.401,.401,,.771,0.6,.031
2103,1968,NBA,8,96,BAL,Barry Orms,22.040,G,,Saint Louis University,1969,1969,64,2.8,2.5,0.8,,,.309,.309,,.483,-0.7,-0.034
2104,1982,NBA,2,44,WSB,Mike Gibson,22.250,F,,University of South Carolina Upstate,1984,1986,64,1.6,1.7,0.2,0.2,0.2,.387,.387,,.679,0.3,.042
2105,1985,NBA,2,28,CHI,Ken Johnson,23.229,F,,Michigan State University,1986,1986,64,4.1,3.8,0.3,0.2,0.3,.528,.528,,.435,0.8,.044
2106,1987,NBA,1,15,UTA,Jose Ortiz,24.246,F,,Oregon State University,1989,1990,64,2.9,1.1,0.3,0.2,0.1,.443,.445,.333,.596,0.0,.002
2107,1988,NBA,1,18,SAC,Ricky Berry,24.271,F,,San Jose State University,1989,1989,64,11.0,3.1,1.3,0.6,0.3,.450,.467,.406,.789,2.4,.083
2108,1989,NBA,2,35,DAL,Pat Durham,22.115,F,,Colorado State University,1993,1995,64,5.0,1.7,0.9,0.6,0.5,.469,.500,.192,.667,0.7,.037
2109,1995,NBA,2,35,TOR,Jimmy King,22.328,G,,University of Michigan,1996,1997,64,4.5,1.8,1.4,0.4,0.2,.429,.471,.147,.691,0.0,.001
2110,2003,NBA,2,30,NYK,Maciej Lampe,18.145,F,,,2004,2006,64,3.4,2.2,0.3,0.1,0.2,.407,.413,.250,.676,-0.2,-0.014
2111,1952,NBA,,,MLH,Bobby Watson,22.041,G,,University of Kentucky,1955,1955,63,2.8,1.4,1.3,,,.323,.323,,.689,,
2112,1953,NBA,,,ROC,Norm Swanson,23.208,F,,University of Detroit Mercy,1954,1954,63,1.6,1.7,0.5,,,.226,.226,,.594,-0.4,-0.034
2113,1966,NBA,3,26,CIN,Jim Ware,22.014,F,,Oklahoma City University,1967,1968,63,2.3,2.3,0.2,,,.284,.284,,.647,-1.1,-0.125
2114,1968,NBA,3,32,BOS,Garfield Smith,23.204,C-F,,Eastern Kentucky University,1971,1972,63,2.7,2.1,0.3,,,.385,.385,,.322,-0.3,-0.036
2115,1973,NBA,5,83,NYK,Dennis Bell,22.332,F,,Drake University,1974,1976,63,2.8,1.9,0.4,0.4,0.2,.374,.374,,.535,0.1,.011
2116,1975,NBA,2,26,NYK,Ticky Burden,22.095,G,,University of Utah,1977,1978,63,5.5,1.0,1.0,0.8,0.0,.421,.421,,.600,0.0,-0.002
2117,1982,NBA,2,43,IND,Jose Slaughter,22.298,G,,University of Portland,1983,1983,63,3.6,1.1,0.8,0.6,0.1,.374,.406,.220,.644,-0.1,-0.007
2118,1984,NBA,2,25,IND,Devin Durrant,24.248,F,,Brigham Young University,1985,1986,63,5.0,2.1,1.3,0.3,0.2,.414,.418,.000,.689,-0.2,-0.012
2119,1988,NBA,2,39,MIL,Tito Horford,22.166,C,,University of Miami,1989,1994,63,1.5,1.3,0.1,0.1,0.4,.300,.300,,.628,-0.5,-0.069
2120,1988,NBA,3,71,POR,Craig Neal,24.139,G,,Georgia Institute of Technology,1989,1991,63,2.5,0.7,2.5,0.4,0.1,.373,.400,.302,.600,-0.4,-0.030
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2121,2010,NBA,2,43,LAL,Devin Ebanks,21.244,F,,West Virginia University,2011,2013,63,3.6,1.9,0.4,0.3,0.2,.385,.418,.222,.722,0.5,.035
2122,1947,BAA,,,PRO,Bob Hubbard,25.192,C-F,,Springfield College,1948,1949,62,3.6,,0.5,,,.249,.249,,.674,-0.9,
2123,1948,BAA,,,ROC,Leo Kubiak,20.142,G,,Bowling Green State University,1950,1950,62,11.5,,3.2,,,.326,.326,,.814,0.5,
2124,1952,NBA,1,7,SYR,Bob Lochmueller,25.332,F,,University of Louisville,1953,1953,62,3.7,2.6,0.8,,,.322,.322,,.607,0.5,.031
2125,1970,NBA,2,21,BOS,Rex Morgan,21.152,G,,Jacksonville University,1971,1972,62,2.8,1.5,0.6,,,.375,.375,,.682,0.5,.063
2126,2007,NBA,2,32,BOS,Gabe Pruitt,21.075,G,,University of Southern California,2008,2009,62,2.0,0.8,0.8,0.3,0.0,.321,.350,.283,.783,0.4,.043
2127,2008,NBA,2,48,PHO,Malik Hairston,21.129,G,,University of Oregon,2009,2010,62,2.4,1.2,0.5,0.2,0.3,.512,.549,.167,.514,0.8,.086
2128,1948,BAA,1,11,PHW,Don Ray,27.313,F-C,,Western Kentucky University,1950,1950,61,6.0,,1.0,,,.323,.323,,.698,1.3,
2129,1948,BAA,,,STB,Jack Burmaster,21.144,G,,University of Illinois at Urbana-Champaign,1950,1950,61,9.8,,2.9,,,.333,.333,,.681,-0.4,
