
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1601,2009,NBA,2,40,CHA,Derrick Brown,22.296,F,,Xavier University,2010,2012,171,5.2,2.4,0.7,0.5,0.2,.515,.528,.317,.637,4.5,.085
1602,1968,NBA,1,14,PHI,Shaler Halimon,23.072,G-F,,Utah State University,1969,1972,170,6.7,3.4,1.8,,,.397,.397,,.622,-0.1,-0.001
1603,1986,NBA,3,69,LAL,Andre Turner,22.191,G,,University of Memphis,1987,1992,170,4.5,1.5,3.1,0.8,0.0,.422,.439,.237,.764,1.8,.034
1604,1963,NBA,1,5,STL,Gerry Ward,22.241,G,,Boston College,1964,1967,169,3.2,1.7,1.4,,,.356,.356,,.639,1.0,.023
1605,1981,NBA,4,81,HOU,Larry Spriggs,22.280,F,,Howard University,1982,1986,169,5.2,2.3,1.3,0.5,0.2,.517,.522,.000,.752,3.4,.074
1606,1982,NBA,2,25,WSB,Bryan Warrick,23.348,G,,Saint Joseph's University,1983,1986,169,4.0,1.3,2.6,0.5,0.1,.443,.452,.208,.747,1.6,.033
1607,1986,NBA,3,65,ATL,Dave Hoppen,22.101,C-F,,University of Nebraska,1988,1993,169,5.0,3.8,0.6,0.3,0.2,.518,.521,.200,.751,3.6,.072
1608,1987,NBA,2,26,DAL,Steve Alford,23.216,G,,Indiana University,1988,1991,169,4.4,0.9,1.0,0.5,0.1,.459,.487,.324,.870,3.2,.093
1609,1948,BAA,,,FTW,Kenny Rollins,25.245,G,,University of Kentucky,1949,1953,168,4.9,0.3,2.0,,,.309,.309,,.750,4.2,.478
1610,1954,NBA,1,7,ROC,Tom Marshall,23.114,F-G,,Western Kentucky University,1955,1959,168,5.7,2.9,1.1,,,.388,.388,,.709,4.1,.076
1611,1977,NBA,1,17,WSB,Bo Ellis,23.312,F,,Marquette University,1978,1980,168,3.6,2.9,0.7,0.4,0.5,.431,.433,.000,.731,2.5,.060
1612,1982,NBA,3,55,UTA,Jerry Eaves,23.147,G,,University of Louisville,1983,1987,168,6.7,1.2,2.5,0.5,0.0,.472,.478,.071,.773,2.6,.046
1613,1991,NBA,2,49,SAS,Greg Sutton,24.211,G,,Oral Roberts University,1992,1996,168,4.5,0.9,1.7,0.5,0.1,.396,.426,.361,.743,1.0,.024
