
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
101,1995,NBA,1,2,LAC,Antonio McDyess,21.299,F-C,,University of Alabama,1996,2011,1015,12.0,7.5,1.3,0.8,1.1,.497,.499,.117,.670,69.8,.119
102,1996,NBA,1,17,POR,Jermaine O'Neal,18.261,F-C,,,1997,2014,1011,13.2,7.2,1.4,0.5,1.8,.467,.469,.147,.715,66.0,.116
103,1986,NBA,1,8,CLE,Ron Harper,22.154,G-F,,Miami University,1987,2001,1009,13.8,4.3,3.9,1.7,0.7,.446,.474,.289,.720,65.8,.101
104,2001,NBA,1,13,HOU,Richard Jefferson,21.011,F,,University of Arizona,2002,2015,1008,13.9,4.3,2.2,0.7,0.3,.465,.490,.380,.771,78.1,.120
105,2001,NBA,1,28,SAS,Tony Parker,19.046,G,,,2002,2015,1008,16.9,2.9,5.9,0.9,0.1,.494,.513,.323,.753,100.1,.147
106,1988,NBA,2,33,MIA,Grant Long,22.114,F,,Eastern Michigan University,1989,2003,1003,9.5,6.1,1.7,1.2,0.4,.467,.474,.283,.761,60.1,.101
107,1970,NBA,1,5,CIN,Sam Lacey,22.000,C,,New Mexico State University,1971,1983,1002,10.3,9.7,3.7,1.0,1.2,.441,.442,.188,.738,50.9,.077
108,1970,NBA,2,18,SDR,Calvin Murphy,22.323,G,,Niagara University,1971,1983,1002,17.9,2.1,4.4,1.2,0.1,.482,.484,.139,.892,84.1,.132
109,1991,NBA,1,9,ATL,Stacey Augmon,23.334,F-G,,University of Nevada Las Vegas,1992,2006,1001,8.0,3.2,1.6,1.0,0.3,.469,.473,.152,.728,43.8,.097
110,1998,NBA,1,2,VAN,Mike Bibby,20.047,G,,University of Arizona,1999,2012,1001,14.7,3.1,5.5,1.2,0.1,.436,.463,.379,.802,73.2,.104
111,1989,NBA,1,4,MIA,Glen Rice,22.036,F,,University of Michigan,1990,2004,1000,18.3,4.4,2.1,1.0,0.3,.456,.476,.400,.846,88.7,.122
112,1998,NBA,1,29,UTA,Nazr Mohammed,21.297,C,,University of Kentucky,1999,2015,1000,5.8,4.7,0.4,0.4,0.6,.486,.487,.000,.639,34.3,.104
113,2000,NBA,1,16,SAC,Hedo Turkoglu,21.107,F,,,2001,2015,997,11.1,4.0,2.8,0.8,0.3,.426,.450,.384,.784,63.3,.114
114,1948,BAA,1,4,NYK,Dolph Schayes,20.361,F-C,,New York University,1950,1964,996,18.5,11.3,3.1,,,.380,.380,,.849,142.4,.229
115,1985,NBA,3,54,HOU,Sam Mitchell,22.295,F,,Mercer University,1990,2002,994,8.7,3.7,1.1,0.6,0.3,.447,.456,.223,.784,41.7,.090
116,1977,NBA,2,41,POR,T.R. Dunn,22.135,G-F,,University of Alabama,1978,1991,993,5.1,4.4,1.6,1.3,0.3,.457,.459,.050,.725,39.8,.083
117,1993,NBA,1,24,HOU,Sam Cassell,24.230,G,,Florida State University,1994,2008,993,15.7,3.2,6.0,1.1,0.2,.454,.477,.331,.861,87.5,.141
118,1975,NBA,1,4,PHO,Alvan Adams,21.319,C-F,,University of Oklahoma,1976,1988,988,14.1,7.0,4.1,1.3,0.8,.498,.498,.133,.788,73.5,.130
119,1983,NBA,1,8,DET,Antoine Carr,22.345,F-C,,Wichita State University,1985,2000,987,9.3,3.4,1.1,0.4,0.9,.503,.505,.130,.780,42.1,.102
120,1987,NBA,1,1,SAS,David Robinson,22.325,C,,United States Naval Academy,1990,2003,987,21.1,10.6,2.5,1.4,3.0,.518,.520,.250,.736,178.7,.250
