
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1901,1981,NBA,4,78,KCK,Kenny Dennard,23.240,F,,Duke University,1982,1984,95,2.8,3.0,1.0,0.8,0.2,.429,.434,.300,.644,1.4,.056
1902,1991,NBA,2,28,CHH,Kevin Lynch,23.189,G-F,,University of Minnesota,1992,1993,95,3.3,1.3,1.1,0.5,0.2,.436,.440,.333,.726,0.4,.016
1903,2000,NBA,1,24,CHI,Dalibor Bagaric,20.147,C,,,2001,2003,95,2.6,2.5,0.4,0.3,0.5,.361,.363,.000,.559,-0.9,-0.043
1904,1962,NBA,2,10,STL,Bob Duffy,22.186,G,,Colgate University,1963,1965,94,4.3,1.1,1.8,,,.396,.396,,.649,0.5,.022
1905,1975,NBA,1,13,KCK,Bob Bigelow,21.159,F-G,,University of Pennsylvania,1976,1979,94,2.5,1.2,0.4,0.2,0.0,.414,.414,,.732,0.5,.029
1906,1978,NBA,5,104,LAL,Carlos Terry,22.357,G-F,,Winston-Salem State University,1981,1983,94,3.0,2.4,1.3,0.6,0.3,.434,.452,.000,.672,1.5,.066
1907,1980,NBA,2,39,SAS,Michael Wiley,23.243,F,,California State University Long Beach,1981,1982,94,7.4,2.6,0.7,0.5,0.2,.561,.569,.000,.709,2.9,.107
1908,1990,NBA,2,34,GSW,Kevin Pritchard,23.351,G,,University of Kansas,1991,1996,94,3.6,1.0,1.6,0.4,0.1,.399,.435,.186,.790,0.4,.017
1909,1978,NBA,3,46,DEN,Hollis Copeland,22.177,F,,Rutgers University,1980,1982,93,5.0,1.7,1.0,0.7,0.3,.488,.490,.000,.739,1.3,.050
1910,1979,NBA,1,14,LAL,Brad Holland,23.206,G,,University of California Los Angeles,1980,1982,93,3.2,0.6,0.7,0.5,0.0,.403,.419,.190,.746,0.4,.026
1911,1983,NBA,4,77,GSW,Peter Thibeaux,22.273,F,,Saint Mary's College of California,1985,1986,93,5.0,1.5,0.5,0.4,0.3,.453,.456,.286,.626,0.1,.005
1912,1983,NBA,4,91,BOS,Carlos Clark,23.327,G,,University of Mississippi,1984,1985,93,2.4,0.9,0.7,0.5,0.0,.407,.421,.000,.803,0.6,.044
1913,1986,NBA,4,89,HOU,Conner Henry,23.337,G,,University of California Santa Barbara,1987,1988,93,3.3,0.9,1.1,0.2,0.1,.378,.377,.379,.757,0.1,.007
1914,2000,NBA,2,42,SEA,Olumide Oyedeji,19.053,C,,,2001,2003,93,1.4,2.1,0.1,0.2,0.2,.495,.495,,.659,1.2,.095
1915,1970,NBA,1,10,PHO,Greg Howard,22.080,F-C,,University of New Mexico,1971,1972,92,3.4,2.5,0.6,,,.388,.388,,.697,0.6,.034
1916,1971,NBA,3,39,ATL,Jeff Halliburton,22.274,G,,Drake University,1972,1973,92,6.1,1.6,1.3,,,.440,.440,,.814,1.4,.061
1917,1977,NBA,1,13,CHI,Tate Armstrong,22.254,G,,Duke University,1978,1979,92,3.8,1.0,1.1,0.4,0.0,.454,.454,,.800,0.3,.017
1918,1986,NBA,4,77,PHO,Grant Gondrezick,23.155,G,,Pepperdine University,1987,1989,91,5.0,1.6,1.3,0.4,0.1,.438,.452,.250,.687,0.8,.036
1919,1991,NBA,1,22,LAC,LeRon Ellis,22.064,F-C,,Syracuse University,1992,1996,91,3.0,2.4,0.3,0.3,0.4,.433,.433,,.613,1.2,.069
1920,2006,NBA,2,37,MIN,Bobby Jones,22.176,F,,University of Washington,2007,2008,91,3.2,1.6,0.5,0.3,0.0,.442,.491,.306,.685,1.1,.060
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1921,1990,NBA,1,15,MIA,Dave Jamerson,23.324,G-F,,Ohio University,1991,1994,90,3.4,0.9,0.7,0.3,0.0,.392,.413,.277,.860,0.2,.018
1922,2006,NBA,1,9,GSW,Patrick O'Bryant,20.013,C,,Bradley University,2007,2010,90,2.1,1.4,0.3,0.2,0.4,.494,.503,.000,.583,0.5,.046
1923,1986,NBA,2,47,NYK,Michael Jackson,22.344,G,,Georgetown University,1988,1990,89,2.1,0.8,2.2,0.3,0.1,.369,.387,.273,.675,-0.2,-0.011
1924,1989,NBA,2,30,MIL,Frank Kornet,22.157,F,,Vanderbilt University,1990,1991,89,1.9,1.1,0.3,0.2,0.0,.369,.399,.263,.596,0.0,-0.004
1925,2002,NBA,1,13,MIL,Marcus Haislip,22.191,F,,University of Tennessee,2003,2010,89,3.5,1.5,0.2,0.2,0.4,.437,.444,.350,.659,0.5,.026
1926,1970,NBA,2,27,PHO,Fred Taylor,22.052,G-F,,University of Texas-Pan American,1971,1972,88,4.4,1.6,0.8,,,.364,.364,,.592,-0.6,-0.035
1927,1992,NBA,2,36,LAL,Duane Cooper,23.005,G,,University of Southern California,1993,1994,88,2.3,0.7,2.0,0.2,0.0,.402,.444,.216,.720,-0.5,-0.032
1928,1961,NBA,2,15,PHW,Ted Luckenbill,22.249,F,,University of Houston,1962,1963,87,2.3,1.9,0.4,,,.367,.367,,.604,0.4,.029
1929,1981,NBA,7,150,KCK,Clinton Wheeler,22.231,G,,William Paterson University,1988,1989,87,2.9,0.8,1.8,0.7,0.0,.489,.491,.000,.741,1.1,.058
1930,1982,NBA,1,10,ATL,Keith Edmonson,22.279,G,,Purdue University,1983,1984,87,6.0,1.5,0.6,0.4,0.1,.448,.450,.000,.719,0.4,.022
1931,1989,NBA,1,22,POR,Byron Irvin,23.213,G,,University of Missouri,1990,1993,87,5.2,1.4,0.8,0.5,0.0,.471,.479,.350,.722,2.1,.121
1932,2004,NBA,2,31,CHI,Jackson Vroman,23.024,F-C,,Iowa State University,2005,2006,87,3.3,3.0,0.6,0.4,0.3,.408,.412,.000,.580,0.0,.001
1933,2005,NBA,2,55,SEA,Lawrence Roberts,23.257,F,,Mississippi State University,2006,2007,87,3.8,3.6,0.4,0.5,0.2,.452,.460,.000,.688,2.5,.106
1934,1949,BAA,1,4,BOS,Tony Lavelli,23.259,F,,Yale University,1950,1951,86,6.9,0.7,0.7,,,.367,.367,,.853,4.7,
1935,1966,NBA,2,11,NYK,Henry Akin,22.289,C-F,,Morehead State University,1967,1968,86,3.5,2.1,0.5,,,.351,.351,,.676,-1.2,-0.084
1936,1968,NBA,10,122,SEA,Joe Kennedy,21.149,F,,Duke University,1969,1970,86,5.3,3.0,0.8,,,.373,.373,,.794,-0.1,-0.003
1937,2002,NBA,1,25,DEN,Frank Williams,22.127,G,,University of Illinois at Urbana-Champaign,2003,2005,86,2.9,0.9,1.9,0.4,0.1,.352,.376,.300,.833,0.1,.003
1938,1954,NBA,1,4,FTW,Dick Rosenthal,24.100,F-G,,University of Notre Dame,1955,1957,85,6.8,4.1,2.0,,,.362,.362,,.702,1.9,.057
1939,1956,NBA,,,FTW,Bill Thieben,21.039,F-C,,Hofstra University,1957,1958,85,4.0,3.2,0.3,,,.331,.331,,.640,-0.5,-0.026
1940,1993,NBA,1,15,ATL,Doug Edwards,22.166,F,,Florida State University,1994,1996,85,2.4,1.8,0.7,0.2,0.3,.378,.390,.000,.709,0.2,.013
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1941,2002,NBA,1,19,UTA,Ryan Humphrey,23.343,F,,University of Notre Dame,2003,2005,85,2.3,2.2,0.2,0.2,0.2,.344,.348,.000,.539,-0.4,-0.027
1942,2005,NBA,2,41,TOR,Roko Ukic,21.052,G,,,2009,2010,85,4.0,0.9,1.9,0.4,0.0,.387,.439,.189,.746,-0.2,-0.007
1943,1953,NBA,1,7,MNL,Jim Fritsche,21.141,F-C,,Hamline University,1954,1955,84,3.9,3.0,0.9,,,.309,.309,,.738,-1.6,-0.055
1944,1985,NBA,2,26,IND,Bill Martin,23.312,F,,Georgetown University,1986,1988,84,4.7,1.6,0.7,0.4,0.1,.449,.460,.000,.813,0.3,.016
1945,1991,NBA,2,41,IND,Sean Green,21.149,G-F,,Iona College,1992,1994,84,4.2,1.0,0.5,0.4,0.2,.386,.412,.246,.620,-1.3,-0.095
1946,1973,NBA,6,98,CHI,Johnny Neumann,22.231,G-F,,University of Mississippi,1977,1978,83,5.6,1.0,2.0,0.4,0.1,.406,.406,,.686,-0.1,-0.006
1947,1981,NBA,2,30,SAS,Ed Rains,24.173,F,,University of South Alabama,1982,1983,83,3.5,1.5,0.7,0.3,0.0,.423,.428,.000,.626,0.7,.034
1948,1996,NBA,1,25,UTA,Martin Muursepp,22.279,F,,,1997,1998,83,4.7,2.2,0.6,0.5,0.3,.425,.450,.323,.693,2.0,.100
1949,2002,NBA,1,18,ORL,Curtis Borchardt,22.291,C,,Stanford University,2004,2005,83,3.1,3.3,0.8,0.2,0.6,.421,.423,.000,.742,1.0,.041
1950,2009,NBA,2,35,DET,DaJuan Summers,21.158,F,,Georgetown University,2010,2013,83,3.3,1.0,0.3,0.2,0.1,.384,.392,.367,.642,-0.1,-0.008
1951,1957,NBA,1,6,PHW,Lennie Rosenbluth,24.091,F,,University of North Carolina,1958,1959,82,4.2,1.8,0.4,,,.327,.327,,.655,-0.7,-0.057
1952,1957,NBA,9,67,PHW,Steve Hamilton,21.144,F-C,,Morehead State University,1959,1960,82,4.5,3.4,0.5,,,.372,.372,,.697,0.9,.040
1953,1958,NBA,2,8,MNL,Steve Hamilton,22.149,F-C,,Morehead State University,1959,1960,82,4.5,3.4,0.5,,,.372,.372,,.697,0.9,.040
1954,1972,NBA,1,8,NYK,Tom Riker,22.047,C-F,,University of South Carolina,1973,1975,82,2.7,1.7,0.3,0.2,0.1,.380,.380,,.593,0.4,.033
1955,1974,NBA,2,34,POR,Phil Lumpkin,22.165,G,,Miami University,1975,1976,82,3.3,1.0,2.7,0.4,0.0,.424,.424,,.812,0.7,.028
1956,1976,NBA,2,28,ATL,Bob Carrington,23.346,G-F,,Boston College,1978,1980,82,8.2,2.3,1.5,0.8,0.3,.428,.429,.000,.760,1.3,.036
1957,1984,NBA,2,42,DEN,Willie White,22.309,G,,University of Tennessee at Chattanooga,1985,1986,82,3.7,1.0,1.0,0.3,0.0,.432,.446,.313,.741,0.3,.028
1958,1987,NBA,2,34,IND,Brian Rowsom,22.247,F,,University of North Carolina at Wilmington,1988,1990,82,5.6,3.3,0.6,0.4,0.3,.455,.453,.667,.818,2.4,.107
1959,1998,NBA,2,52,SAS,Derrick Dial,23.192,G,,Eastern Michigan University,2000,2004,82,3.1,1.6,0.8,0.3,0.1,.372,.404,.190,.672,0.6,.045
1960,2001,NBA,1,22,ORL,Jeryl Sasser,22.140,G,,Southern Methodist University,2002,2003,82,2.5,2.3,0.8,0.6,0.1,.303,.305,.295,.687,0.7,.032
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1961,2002,NBA,2,39,WAS,Juan Carlos Navarro,22.018,G,,,2008,2008,82,10.9,2.6,2.2,0.6,0.0,.402,.455,.361,.849,1.4,.031
1962,2006,NBA,1,28,DAL,Maurice Ager,22.145,G,,Michigan State University,2007,2011,82,2.1,0.6,0.2,0.1,0.1,.339,.366,.250,.566,-0.9,-0.089
1963,2006,NBA,2,34,LAC,Paul Davis,22.347,C,,Michigan State University,2007,2010,82,2.6,1.9,0.4,0.3,0.2,.402,.404,.000,.732,0.5,.035
1964,1947,BAA,,,WSC,John Mandic,28.278,F-C,,Oregon State University,1949,1950,81,4.1,,1.1,,,.316,.316,,.660,2.4,
1965,1956,NBA,,,ROC,Bob Burrow,22.311,C-F,,University of Kentucky,1957,1958,81,5.7,4.4,0.6,,,.365,.365,,.578,1.9,.077
1966,1967,NBA,4,35,LAL,Cliff Anderson,23.243,G-F,,Saint Joseph's University,1968,1971,81,3.0,1.3,0.8,,,.351,.351,,.593,0.3,.021
1967,1978,NBA,5,107,PHO,Andre Wakefield,23.155,G,,Loyola University of Chicago,1979,1980,81,2.3,1.0,0.9,0.2,0.0,.354,.354,,.708,-1.1,-0.080
