
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
201,1974,NBA,1,6,KCO,Scott Wedman,22.308,F-G,,University of Colorado,1975,1987,906,13.2,4.8,2.0,0.9,0.3,.481,.485,.335,.794,53.7,.099
202,1979,NBA,1,1,LAL,Magic Johnson,20.320,G-F,,Michigan State University,1980,1996,906,19.5,7.2,11.2,1.9,0.4,.520,.541,.303,.848,155.8,.225
203,1954,NBA,1,6,SYR,Red Kerr,22.286,C-F,,University of Illinois at Urbana-Champaign,1955,1966,905,13.8,11.2,2.2,,,.418,.418,,.723,61.8,.107
204,1983,NBA,1,10,WSB,Jeff Malone,22.005,G,,Mississippi State University,1984,1996,905,19.0,2.6,2.4,0.6,0.1,.484,.489,.268,.871,54.2,.088
205,1970,NBA,5,79,CHI,George Johnson,21.100,C-F,,Dillard University,1973,1986,904,4.8,6.5,1.0,0.5,2.3,.451,.451,.500,.694,33.0,.087
206,1974,NBA,4,56,POR,Mickey Johnson,22.275,F,,Aurora University,1975,1986,904,14.1,7.2,3.0,1.1,0.7,.449,.454,.165,.800,58.6,.113
207,1990,NBA,2,45,IND,Antonio Davis,22.244,F-C,,University of Texas at El Paso,1994,2006,903,10.0,7.5,1.1,0.5,1.0,.448,.449,.087,.727,59.6,.110
208,2002,NBA,1,3,GSW,Mike Dunleavy,22.289,F-G,,Duke University,2003,2015,902,11.7,4.4,2.3,0.8,0.3,.442,.483,.376,.804,56.1,.104
209,1966,NBA,1,2,DET,Dave Bing,22.174,G,,Syracuse University,1967,1978,901,20.3,3.8,6.0,0.5,0.1,.441,.441,,.775,68.8,.101
210,1985,NBA,2,47,NYK,Gerald Wilkins,22.286,G-F,,University of Tennessee at Chattanooga,1986,1999,900,13.0,2.9,3.0,1.0,0.2,.450,.469,.316,.745,33.9,.062
211,1978,NBA,1,6,BOS,Larry Bird,22.189,F,,Indiana State University,1980,1992,897,24.3,10.0,6.3,1.7,0.8,.496,.509,.376,.886,145.8,.203
212,2002,NBA,1,26,SAS,John Salmons,23.202,G,,University of Miami,2003,2015,895,9.3,2.9,2.4,0.8,0.3,.431,.457,.366,.799,33.9,.069
213,1978,NBA,2,29,DET,John Long,22.290,G-F,,University of Detroit Mercy,1979,1997,893,13.6,2.8,1.9,1.0,0.2,.467,.472,.322,.862,32.0,.068
214,1984,NBA,1,18,IND,Vern Fleming,22.141,G,,University of Georgia,1985,1996,893,11.3,3.4,4.8,1.0,0.1,.498,.507,.181,.764,52.0,.101
215,1996,NBA,1,6,BOS,Antoine Walker,20.323,F,,University of Kentucky,1997,2008,893,17.5,7.7,3.5,1.2,0.5,.414,.450,.325,.633,38.1,.058
216,1958,NBA,,,PHW,Guy Rodgers,23.239,G,,Temple University,1959,1970,892,11.7,4.3,7.8,,,.378,.378,,.721,33.3,.056
217,1978,NBA,1,18,WSB,Dave Corzine,22.050,C,,DePaul University,1979,1991,891,8.5,5.9,1.7,0.4,1.0,.484,.486,.189,.747,37.3,.086
218,1966,NBA,1,4,STL,Lou Hudson,22.309,F-G,,University of Minnesota,1967,1979,890,20.2,4.4,2.7,0.6,0.1,.489,.489,,.797,81.0,.131
219,1987,NBA,1,12,WSB,Muggsy Bogues,22.169,G,,Wake Forest University,1988,2001,889,7.7,2.6,7.6,1.5,0.0,.458,.470,.278,.827,54.0,.102
220,1989,NBA,1,12,NJN,Mookie Blaylock,22.105,G,,University of Oklahoma,1990,2002,889,13.5,4.1,6.7,2.3,0.3,.409,.445,.336,.736,71.8,.111
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
221,1985,NBA,2,45,CLE,Hot Rod Williams,23.319,F-C,,Tulane University,1987,1999,887,11.0,6.8,1.8,0.8,1.6,.480,.481,.105,.726,70.5,.129
222,1975,NBA,2,23,PHI,World B. Free,21.176,G,,Guilford College,1976,1988,886,20.3,2.7,3.7,1.0,0.3,.456,.461,.337,.753,67.7,.121
223,1987,NBA,4,75,CLE,Chris Dudley,22.125,C,,Yale University,1988,2003,886,3.9,6.2,0.4,0.4,1.2,.412,.412,.000,.458,26.2,.077
224,2001,NBA,1,26,PHI,Samuel Dalembert,20.053,C,,Seton Hall University,2002,2015,886,7.7,7.8,0.5,0.5,1.7,.521,.522,.083,.706,51.3,.114
225,1992,NBA,1,4,DAL,Jim Jackson,22.259,G,,Ohio State University,1993,2006,885,14.3,4.7,3.2,0.8,0.2,.428,.445,.365,.825,35.8,.059
226,2003,NBA,2,51,NJN,Kyle Korver,22.106,F,,Creighton University,2004,2015,884,10.0,3.1,1.8,0.7,0.3,.442,.456,.432,.881,57.5,.119
227,1980,NBA,2,24,GSW,Larry Smith,22.149,F-C,,Alcorn State University,1981,1993,883,6.7,9.2,1.1,0.8,0.5,.531,.532,.000,.531,46.0,.096
228,1988,NBA,1,1,LAC,Danny Manning,22.048,F-C,,University of Kansas,1989,2003,883,14.0,5.2,2.3,1.1,0.9,.511,.517,.206,.729,55.1,.109
229,1988,NBA,3,53,POR,Anthony Mason,22.202,F,,Tennessee State University,1990,2003,882,10.9,8.3,3.4,0.7,0.3,.509,.510,.167,.709,88.3,.138
230,1980,NBA,3,58,NYK,Kurt Rambis,22.111,F,,Santa Clara University,1982,1995,880,5.2,5.6,1.1,0.9,0.5,.534,.536,.000,.689,38.3,.113
231,1993,NBA,2,37,LAL,Nick Van Exel,22.221,G,,University of Cincinnati,1994,2006,880,14.4,2.9,6.6,0.8,0.1,.405,.433,.357,.794,55.9,.093
232,1995,NBA,1,7,TOR,Damon Stoudamire,22.303,G,,University of Arizona,1996,2008,878,13.4,3.5,6.1,1.1,0.1,.406,.430,.357,.833,55.4,.091
