
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
301,2003,NBA,1,3,DEN,Carmelo Anthony,19.032,F,,Syracuse University,2004,2015,830,25.2,6.6,3.1,1.1,0.5,.455,.476,.345,.811,86.0,.136
302,2003,NBA,1,14,SEA,Luke Ridnour,22.138,G,,University of Oregon,2004,2015,830,9.3,2.3,4.5,1.0,0.2,.431,.458,.349,.862,36.0,.080
303,1962,NBA,,,CIN,Jerry Lucas,22.001,F-C,,Ohio State University,1964,1974,829,17.0,15.6,3.3,0.0,0.0,.499,.499,,.783,98.4,.147
304,1974,NBA,1,11,GSW,Jamaal Wilkes,21.031,F-G,,University of California Los Angeles,1975,1986,828,17.7,6.2,2.5,1.3,0.3,.499,.501,.135,.759,71.3,.125
305,1992,NBA,1,15,LAL,Anthony Peeler,23.217,G,,University of Missouri,1993,2005,827,9.7,2.6,2.4,0.9,0.2,.427,.449,.384,.799,30.7,.072
306,1992,NBA,1,17,SEA,Doug Christie,22.052,G-F,,Pepperdine University,1993,2007,827,11.2,4.1,3.6,1.9,0.5,.426,.456,.354,.821,55.7,.102
307,1999,NBA,1,13,SEA,Corey Maggette,20.235,F,,Duke University,2000,2013,827,16.0,4.9,2.1,0.7,0.2,.453,.478,.324,.822,62.2,.128
308,1967,NBA,1,5,NYK,Walt Frazier,22.040,G,,Southern Illinois University,1968,1980,825,18.9,5.9,6.1,0.8,0.1,.490,.490,.000,.786,113.5,.176
309,1975,NBA,2,20,GSW,Gus Williams,22.236,G,,University of Southern California,1976,1987,825,17.1,2.7,5.6,2.0,0.4,.461,.469,.238,.756,67.9,.127
310,1993,NBA,1,6,WSB,Calbert Cheaney,22.354,G-F,,Indiana University,1994,2006,825,9.5,3.2,1.7,0.8,0.2,.466,.483,.298,.691,23.1,.050
311,1997,NBA,1,7,NJN,Tim Thomas,20.124,F,,Villanova University,1998,2010,824,11.5,4.1,1.5,0.7,0.4,.437,.470,.369,.758,35.2,.079
312,2000,NBA,1,23,UTA,DeShawn Stevenson,19.091,G,,,2001,2013,824,7.2,2.2,1.6,0.5,0.2,.406,.433,.340,.698,12.1,.032
313,1955,NBA,2,8,ROC,Jack Twyman,21.342,F-G,,University of Cincinnati,1956,1966,823,19.2,6.6,2.3,,,.450,.450,,.778,75.0,.138
314,1972,NBA,1,10,BOS,Paul Westphal,21.137,G,,University of Southern California,1973,1984,823,15.6,1.9,4.4,1.2,0.3,.504,.508,.275,.820,67.7,.155
315,1979,NBA,1,2,CHI,Dave Greenwood,22.034,F-C,,University of California Los Angeles,1980,1991,823,10.2,7.9,2.0,0.7,0.9,.477,.479,.138,.765,46.4,.095
316,1995,NBA,1,13,SAC,Corliss Williamson,22.211,F,,University of Arkansas,1996,2007,822,11.1,3.9,1.2,0.6,0.3,.490,.492,.136,.714,34.7,.089
317,1975,NBA,1,16,PHO,Ricky Sobers,22.139,G,,University of Nevada Las Vegas,1976,1986,821,13.3,2.6,4.3,1.3,0.2,.459,.467,.291,.843,32.0,.067
318,1992,NBA,1,21,BOS,Jon Barry,23.340,G,,Georgia Institute of Technology,1993,2006,821,5.7,1.8,2.2,0.9,0.1,.434,.470,.392,.848,37.2,.129
319,1982,NBA,2,27,MIL,Fred Roberts,22.324,F-C,,Brigham Young University,1984,1997,818,7.3,2.8,1.2,0.5,0.3,.502,.508,.325,.796,26.2,.086
320,1950,NBA,1,5,CHS,Larry Foust,22.310,C-F,,La Salle University,1951,1962,817,13.7,9.8,1.7,,,.405,.405,,.741,74.3,.163
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
321,1966,NBA,1,1,NYK,Cazzie Russell,22.343,F-G,,University of Michigan,1967,1978,817,15.1,3.8,2.2,0.3,0.0,.464,.464,,.827,51.7,.112
322,2001,NBA,1,20,CLE,Brendan Haywood,22.218,C,,University of North Carolina,2002,2015,816,6.8,6.0,0.5,0.4,1.4,.528,.528,.000,.587,43.8,.113
323,2003,NBA,1,12,SEA,Nick Collison,23.248,F,,University of Kansas,2005,2015,816,6.3,5.5,1.1,0.5,0.6,.534,.542,.214,.727,43.2,.117
324,2003,NBA,1,18,NOH,David West,23.306,F,,Xavier University,2004,2015,815,15.5,7.2,2.3,0.8,0.8,.489,.494,.250,.820,74.3,.138
325,2003,NBA,2,42,ORL,Zaza Pachulia,19.141,C,,,2004,2015,815,7.0,5.6,1.2,0.7,0.4,.460,.463,.000,.744,36.3,.102
326,1961,NBA,2,21,CHP,Don Kojis,22.077,F,,Marquette University,1964,1975,814,12.2,5.6,1.4,0.1,0.0,.446,.446,,.720,35.8,.089
327,1975,NBA,1,7,NOJ,Rich Kelley,22.072,C-F,,Stanford University,1976,1986,814,7.6,7.0,2.6,0.9,0.9,.488,.489,.000,.783,42.5,.115
