
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2501,1986,NBA,3,52,CHI,Ricky Wilson,22.341,G,,George Mason University,1988,1988,24,5.2,1.1,2.9,1.0,0.1,.391,.393,.385,.725,0.3,.032
2502,1988,NBA,2,43,DEN,Todd Mitchell,22.343,F,,Purdue University,1989,1989,24,5.1,2.1,0.9,0.7,0.1,.443,.443,,.578,-0.1,-0.008
2503,1948,BAA,,,PHW,Roy Pugh,26.213,C-F,,Southern Methodist University,1949,1949,23,1.4,,0.4,,,.255,.255,,.316,-0.2,
2504,1951,NBA,3,24,SYR,Bato Govedarica,23.013,G,,DePaul University,1954,1954,23,3.3,0.8,1.0,,,.316,.316,,.676,0.2,.044
2505,1972,NBA,3,35,CHI,Frank Russell,23.364,G,,University of Detroit Mercy,1973,1973,23,3.2,0.7,0.7,,,.377,.377,,.889,0.1,.030
2506,1979,NBA,2,37,PHI,Bernard Toone,23.351,F,,Marquette University,1980,1980,23,2.4,1.5,0.5,0.2,0.2,.359,.386,.143,.800,-0.1,-0.036
2507,1982,NBA,3,51,KCK,Jim Johnstone,22.287,C-F,,Wake Forest University,1983,1983,23,1.3,2.0,0.5,0.1,0.3,.367,.367,,.450,-0.1,-0.020
2508,1984,NBA,4,86,UTA,Jim Rowinski,23.172,F-C,,Purdue University,1989,1990,23,2.5,1.5,0.2,0.0,0.1,.417,.417,,.844,0.3,.113
2509,1992,NBA,2,47,BOS,Darren Morningstar,23.069,C,,University of Pittsburgh,1994,1994,23,4.2,3.5,0.7,0.6,0.1,.476,.476,,.600,0.4,.048
2510,1993,NBA,2,31,SAC,Evers Burns,22.316,F,,University of Maryland,1994,1994,23,2.4,1.3,0.4,0.3,0.1,.400,.400,,.522,0.1,.020
2511,1997,NBA,2,36,PHI,James Collins,24.238,G,,Florida State University,1998,1998,23,2.6,0.6,0.1,0.3,0.1,.382,.343,.450,.571,0.0,.008
2512,2001,NBA,2,56,PHI,Alvin Jones,23.297,F,,Georgia Institute of Technology,2002,2002,23,1.1,1.6,0.1,0.1,0.4,.400,.400,,.500,0.1,.034
2513,2005,NBA,1,20,DEN,Julius Hodge,22.228,G,,North Carolina State University,2006,2007,23,1.2,0.7,0.8,0.3,0.0,.440,.440,,.500,0.0,.003
2514,2005,NBA,2,51,UTA,Robert Whaley,23.079,C,,Walsh University,2006,2006,23,2.1,1.9,0.7,0.3,0.3,.404,.404,,.500,0.0,.004
2515,1948,BAA,,,CHS,Hook Dillon,24.129,F,,University of North Carolina,1950,1950,22,1.6,,0.2,,,.182,.182,,.727,-0.4,
2516,1968,NBA,4,37,SDR,Harry Barnes,23.320,F,,Northeastern University,1969,1969,22,2.0,1.2,0.2,,,.281,.281,,.538,-0.4,-0.154
2517,1976,NBA,1,15,CLE,Chuckie Williams,22.165,G,,Kansas State University,1977,1977,22,1.7,0.2,0.3,0.0,0.0,.298,.298,,.750,-0.2,-0.137
2518,1978,NBA,4,67,HOU,Jackie Robinson,23.026,F,,University of Nevada Las Vegas,1979,1982,22,3.8,1.2,0.6,0.4,0.2,.463,.470,.000,.700,0.3,.089
2519,1980,NBA,5,103,DAL,Darrell Allums,22.277,F,,University of California Los Angeles,1981,1981,22,2.7,3.0,1.1,0.2,0.4,.343,.348,.000,.591,-0.3,-0.054
2520,1982,NBA,6,138,BOS,John Schweitz,22.076,G,,University of Richmond,1985,1987,22,2.6,1.0,0.8,0.0,0.0,.333,.352,.000,.700,-0.5,-0.207
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2521,1985,NBA,4,75,SEA,Alex Stivrins,23.207,F,,University of Colorado,1986,1993,22,2.0,1.0,0.2,0.1,0.1,.465,.488,.000,.500,-0.1,-0.043
2522,1986,NBA,3,50,CLE,Kevin Henderson,22.092,G,,California State University Fullerton,1987,1988,22,3.0,1.1,1.5,0.4,0.0,.393,.400,.000,.607,-0.2,-0.038
2523,1986,NBA,3,58,WSB,Dave Henderson,22.336,G,,Duke University,1988,1988,22,5.7,1.6,1.5,0.5,0.2,.405,.409,.000,.681,-0.4,-0.058
2524,1993,NBA,1,27,PHO,Malcolm Mackey,23.360,F-C,,Georgia Institute of Technology,1994,1994,22,1.5,1.1,0.0,0.0,0.1,.378,.400,.000,.500,0.1,.036
2525,1993,NBA,2,46,HOU,Richard Petruska,24.162,C-F,,University of California Los Angeles,1994,1994,22,2.4,1.4,0.0,0.1,0.1,.435,.419,.467,.750,0.0,-0.014
2526,1998,NBA,2,57,UTA,Torraye Braggs,22.045,F,,Xavier University,2004,2005,22,2.1,2.3,0.3,0.2,0.1,.475,.475,,.667,0.3,.071
2527,2001,NBA,2,31,ORL,Omar Cook,19.155,G,,St. John's University,2004,2005,22,1.7,0.6,2.1,0.7,0.0,.333,.370,.000,.500,-0.1,-0.021
2528,2006,NBA,2,51,LAL,Cheikh Samb,22.254,C,,,2008,2009,22,1.0,1.4,0.0,0.2,0.5,.250,.273,.000,.444,-0.1,-0.056
2529,1948,BAA,,,INJ,Andy Kostecka,27.096,F,,Georgetown University,1949,1949,21,6.4,,0.7,,,.418,.418,,.614,1.7,
2530,1967,NBA,3,25,STL,Bob Verga,22.243,G,,Duke University,1974,1974,21,5.0,0.9,0.8,0.6,0.0,.452,.452,,.625,0.1,.032
2531,1977,NBA,2,28,POR,Kim Anderson,22.035,F,,University of Missouri,1979,1979,21,3.0,2.1,0.7,0.2,0.2,.312,.312,,.536,-0.4,-0.078
2532,1978,NBA,7,146,MIL,Kim Anderson,23.034,F,,University of Missouri,1979,1979,21,3.0,2.1,0.7,0.2,0.2,.312,.312,,.536,-0.4,-0.078
2533,1984,NBA,1,22,PHI,Tom Sewell,22.106,G,,Lamar University,1985,1985,21,1.0,0.2,0.3,0.1,0.0,.250,.265,.000,.500,-0.4,-0.201
2534,1984,NBA,3,61,DAL,Jeff Cross,23.297,F,,University of Maine,1986,1986,21,1.2,1.4,0.0,0.1,0.1,.250,.250,,.560,-0.1,-0.038
2535,1986,NBA,3,51,GSW,Mike Williams,23.313,F,,Bradley University,1990,1990,21,0.7,1.1,0.1,0.1,0.3,.333,.353,.000,.500,0.0,.012
2536,1988,NBA,2,44,ATL,Anthony Taylor,23.216,G,,University of Oregon,1989,1989,21,6.9,1.6,2.0,1.0,0.2,.397,.403,.000,.750,0.2,.029
2537,1988,NBA,3,59,MIA,Nate Johnston,22.198,F,,University of Tampa,1990,1990,21,2.2,1.1,0.0,0.1,0.4,.375,.386,.250,.692,0.1,.050
2538,1990,NBA,2,50,PHO,Milos Babic,22.221,C-F,,Tennessee Technological University,1991,1992,21,1.8,1.0,0.5,0.1,0.0,.375,.375,,.650,-0.1,-0.028
2539,1992,NBA,2,38,ATL,Elmer Bennett,22.137,G,,University of Notre Dame,1995,1997,21,2.3,0.5,1.0,0.4,0.0,.340,.361,.273,.722,-0.3,-0.095
2540,1947,BAA,,,BLB,Elmer Gainer,29.228,F-C,,DePaul University,1948,1950,20,1.5,,0.5,,,.227,.227,,.643,-0.3,
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2541,1952,NBA,,,SYR,Jim Brasco,21.088,G,,New York University,1953,1953,20,3.9,1.2,1.1,,,.266,.266,,.794,-0.2,-0.036
2542,1953,NBA,,,MLH,Bill Bolger,22.252,F,,Georgetown University,1954,1954,20,2.8,1.8,0.6,,,.407,.407,,.615,0.2,.039
2543,1953,NBA,,,BLB,Connie Rea,18.092,G-F,,Centenary College of Louisiana,1954,1954,20,1.2,1.6,0.8,,,.209,.209,,.313,-0.6,-0.184
2544,1962,NBA,7,59,SFW,Howie Montgomery,22.221,F,,University of Texas-Pan American,1963,1963,20,7.2,3.5,1.1,,,.425,.425,,.609,0.1,.018
2545,1971,NBA,8,125,SEA,Charlie Lowery,21.142,G,,University of Puget Sound,1972,1972,20,2.3,1.0,0.7,,,.447,.447,,.611,0.2,.083
2546,1976,NBA,2,30,PHO,Al Fleming,22.070,F,,University of Arizona,1978,1978,20,2.0,1.5,0.4,0.0,0.3,.484,.484,,.588,0.0,.018
2547,1977,NBA,2,34,HOU,Larry Moffett,23.223,F,,University of Nevada Las Vegas,1978,1978,20,0.8,1.1,0.4,0.1,0.1,.294,.294,,.600,-0.1,-0.042
2548,1985,NBA,3,63,DAL,Harold Keeling,22.279,G,,Santa Clara University,1986,1986,20,2.2,0.3,0.5,0.4,0.0,.436,.436,,.714,0.1,.041
2549,1988,NBA,3,51,LAC,Rob Lock,22.043,F,,University of Kentucky,1989,1989,20,1.5,1.6,0.2,0.2,0.2,.281,.281,,.800,-0.2,-0.083
2550,1989,NBA,2,29,CHH,Dyron Nix,22.142,F,,University of Tennessee,1990,1990,20,2.0,1.3,0.3,0.2,0.1,.359,.359,,.688,0.0,-0.015
2551,1997,NBA,2,45,WAS,God Shammgod,21.062,G,,Providence College,1998,1998,20,3.1,0.4,1.8,0.4,0.1,.328,.339,.000,.767,-0.1,-0.049
2552,2005,NBA,2,58,TOR,Uros Slokar,22.051,F,,,2007,2007,20,1.9,0.7,0.1,0.1,0.1,.538,.542,.500,.692,0.1,.042
2553,1954,NBA,6,47,MLH,Bob Carney,22.269,G,,Bradley University,1955,1955,19,3.6,2.4,0.8,,,.375,.375,,.525,0.3,.059
2554,1955,NBA,1,6,FTW,Johnny Horan,22.145,F,,University of Dayton,1956,1956,19,1.8,0.5,0.1,,,.286,.286,,.909,-0.1,-0.075
2555,1955,NBA,,,ROC,Bob Armstrong,22.305,C-F,,Michigan State University,1957,1957,19,1.5,2.1,0.2,,,.297,.297,,.500,-0.1,-0.063
2556,1966,NBA,12,98,NYK,Dave Deutsch,21.003,G,,University of Rochester,1967,1967,19,1.1,1.1,0.8,,,.167,.167,,.450,-0.5,-0.240
2557,1967,NBA,9,100,PHI,Ron Filipek,23.093,F,,Tennessee Technological University,1968,1968,19,2.3,1.3,0.4,,,.383,.383,,.500,0.0,-0.009
2558,1969,NBA,1,5,CHI,Larry Cannon,22.001,G,,La Salle University,1974,1974,19,6.2,1.9,2.7,0.4,0.2,.386,.386,,.679,-0.2,-0.029
2559,1969,NBA,11,147,SDR,Justus Thigpen,22.243,G,,Weber State University,1973,1974,19,2.5,0.5,0.4,0.0,0.0,.400,.400,,,-0.1,-0.061
2560,1987,NBA,2,36,WSB,Duane Washington,23.300,G,,Middle Tennessee State University,1988,1993,19,2.8,1.3,2.1,0.7,0.0,.383,.372,.500,.800,0.4,.092
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2561,1997,NBA,2,32,DEN,James Cotton,22.199,G,,California State University Long Beach,1998,1999,19,2.6,0.8,0.0,0.2,0.1,.359,.438,.000,.778,0.0,.008
2562,2000,NBA,2,50,UTA,Kaniel Dickens,22.348,F,,University of Idaho,2004,2008,19,1.2,0.6,0.1,0.1,0.1,.400,.455,.333,.750,0.1,.055
2563,2003,NBA,1,26,MIN,Ndudi Ebi,19.012,F,,,2004,2005,19,2.1,1.0,0.2,0.1,0.3,.486,.500,.000,.462,0.1,.051
2564,2010,NBA,2,54,LAC,Willie Warren,21.250,G,,University of Oklahoma,2011,2011,19,1.9,0.6,1.4,0.3,0.0,.371,.400,.333,.750,0.2,.065
2565,1954,NBA,5,43,ROC,Bo Erias,22.273,F,,Niagara University,1958,1958,18,8.2,4.6,1.4,,,.347,.347,,.638,-0.1,-0.018
2566,1970,NBA,7,110,POR,Claude English,23.093,F,,University of Rhode Island,1971,1971,18,1.5,1.1,0.3,,,.262,.262,,.714,-0.3,-0.215
2567,1971,NBA,9,150,CHI,Jackie Dinkins,21.071,F,,Voorhees College,1972,1972,18,2.5,1.1,0.4,,,.415,.415,,.550,0.1,.073
2568,1983,NBA,3,62,POR,Tom Piotrowski,23.259,C,,La Salle University,1984,1984,18,1.7,0.9,0.3,0.1,0.2,.462,.462,,1.000,0.1,.070
2569,1987,NBA,1,17,POR,Ronnie Murphy,23.333,F,,Jacksonville University,1988,1988,18,2.0,0.6,0.3,0.3,0.1,.286,.289,.250,.636,-0.2,-0.130
2570,2007,NBA,2,53,POR,Demetris Nichols,23.302,F,,Syracuse University,2008,2009,18,1.2,0.4,0.1,0.0,0.2,.281,.353,.200,.500,-0.2,-0.203
2571,1948,BAA,1,1,PRO,Andy Tonkovich,26.197,G,,Marshall University,1949,1949,17,2.6,,0.6,,,.268,.268,,.667,-0.4,
2572,1950,NBA,9,,TRI,Nate DeLong,24.116,C,,University of Wisconsin-River Falls,1952,1952,17,3.8,1.8,0.8,,,.476,.476,,.686,0.8,.309
2573,1951,NBA,2,14,SYR,Don Savage,23.021,F-G,,LeMoyne College,1952,1957,17,3.2,1.8,0.8,,,.242,.242,,.686,-0.1,-0.029
2574,1971,NBA,6,97,PHI,Jake Jones,22.329,G,,Assumption College,1972,1972,17,4.5,1.5,0.7,,,.389,.389,,.645,0.0,-0.009
2575,1976,NBA,4,52,CHI,Keith Starr,22.092,G-F,,University of Pittsburgh,1977,1977,17,0.8,0.6,0.4,0.1,0.0,.250,.250,,1.000,-0.2,-0.111
2576,1979,NBA,3,63,SAS,Sylvester Norris,22.132,C,,Jackson State University,1980,1980,17,2.4,2.5,0.4,0.2,0.7,.419,.419,,.667,-0.2,-0.055
2577,1997,NBA,2,41,DEN,Jason Lawson,23.302,C,,Villanova University,1998,1998,17,1.5,1.6,0.3,0.2,0.2,.600,.600,,.800,0.5,.280
2578,1998,NBA,1,18,HOU,Mirsad Turkcan,22.022,F,,,2000,2000,17,1.9,1.9,0.3,0.2,0.1,.368,.438,.000,.625,0.0,-0.019
2579,2000,NBA,2,35,WAS,Mike Smith,24.080,F,,University of Louisiana at Monroe,2001,2001,17,3.0,1.3,0.6,0.3,0.2,.322,.390,.167,.625,-0.1,-0.033
2580,2005,NBA,2,42,GSW,Chris Taft,20.115,F,,University of Pittsburgh,2006,2006,17,2.8,2.1,0.1,0.1,0.4,.605,.605,,.167,0.5,.155
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2581,2007,NBA,2,52,POR,Taurean Green,21.217,G,,University of Florida,2008,2008,17,1.6,0.6,0.6,0.1,0.0,.280,.357,.182,.917,-0.1,-0.066
2582,2010,NBA,1,21,OKC,Craig Brackins,23.264,F,,Iowa State University,2011,2012,17,1.8,1.1,0.5,0.1,0.1,.265,.286,.214,.500,-0.2,-0.089
2583,1952,NBA,,,BLB,Bob Priddy,22.039,F,,New Mexico State University,1953,1953,16,2.3,2.3,0.4,,,.368,.368,,.571,0.0,.006
2584,1958,NBA,1,4,NYK,Pete Brennan,22.216,F,,University of North Carolina,1959,1959,16,2.5,1.9,0.4,,,.302,.302,,.560,-0.1,-0.030
2585,1978,NBA,5,101,GSW,Bubba Wilson,23.312,G,,Western Carolina University,1980,1980,16,1.1,1.0,0.8,0.1,0.0,.280,.280,,.500,-0.2,-0.064
2586,1985,NBA,3,49,GSW,Brad Wright,23.090,F,,University of California Los Angeles,1987,1988,16,3.4,3.4,0.1,0.2,0.4,.412,.420,.000,.429,-0.1,-0.045
2587,1989,NBA,2,32,NJN,Stanley Brundy,22.232,F,,DePaul University,1990,1990,16,2.3,1.6,0.2,0.4,0.3,.500,.500,,.389,0.2,.057
2588,1997,NBA,1,20,MIN,Paul Grant,23.176,C,,University of Wisconsin,1999,2004,16,1.8,1.1,0.2,0.1,0.1,.448,.448,,.375,-0.1,-0.043
2589,1999,NBA,2,30,LAL,John Celestand,22.121,G,,Villanova University,2000,2000,16,2.3,0.7,1.3,0.4,0.0,.333,.361,.222,.833,-0.1,-0.038
2590,2001,NBA,2,48,MIA,Ken Johnson,23.152,F-C,,Ohio State University,2003,2003,16,2.0,2.0,0.0,0.1,0.8,.405,.405,,.333,0.0,-0.002
2591,2004,NBA,2,55,HOU,Luis Flores,23.080,G,,Manhattan College,2005,2005,16,2.2,0.2,0.7,0.1,0.0,.483,.474,.500,1.000,0.0,-0.020
2592,2005,NBA,2,54,NYK,Dijon Thompson,22.131,G-F,,University of California Los Angeles,2006,2007,16,2.8,1.2,0.2,0.2,0.1,.425,.481,.308,.875,0.2,.102
2593,2007,NBA,2,46,GSW,Stephane Lasme,25.199,F,,University of Massachusetts Amherst,2008,2008,16,5.2,3.3,0.2,0.8,1.4,.451,.451,,.594,0.3,.041
2594,1950,NBA,2,,TRI,Ed Gayda,23.355,G-F,,Washington State University,1951,1951,15,3.7,2.6,0.9,,,.413,.413,,.750,0.6,
2595,1950,NBA,5,,WSC,Claude Overton,22.136,G,,East Central University,1953,1953,15,3.9,1.7,1.0,,,.253,.253,,.667,-0.4,-0.115
2596,1976,NBA,3,37,CHI,Lars Hansen,22.273,C,,University of Washington,1979,1979,15,5.1,3.9,0.9,0.1,0.1,.509,.509,,.581,0.6,.149
2597,1977,NBA,6,111,NJN,Mark Crow,23.237,F,,Duke University,1978,1978,15,5.6,1.8,0.5,0.3,0.1,.438,.438,,.700,0.2,.051
2598,1977,NBA,7,151,LAL,Lars Hansen,23.275,C,,University of Washington,1979,1979,15,5.1,3.9,0.9,0.1,0.1,.509,.509,,.581,0.6,.149
2599,1980,NBA,5,93,DET,Tony Fuller,22.285,G,,Pepperdine University,1981,1981,15,4.0,2.8,1.9,0.7,0.1,.364,.369,.000,.750,-0.1,-0.021
2600,1983,NBA,3,59,NJN,Bruce Kuczenski,22.150,F,,University of Connecticut,1984,1984,15,1.9,1.5,0.5,0.1,0.1,.270,.270,,.667,-0.4,-0.152
