
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1701,1952,NBA,,,MLH,Eddie Miller,21.318,C-F,,Syracuse University,1953,1954,142,10.2,8.5,1.5,,,.374,.374,,.692,5.1,.066
1702,1987,NBA,1,21,ATL,Dallas Comegys,23.314,F,,DePaul University,1988,1989,142,6.0,3.2,0.7,0.5,0.9,.457,.459,.000,.682,1.1,.024
1703,1990,NBA,1,26,DET,Lance Blanks,24.297,G,,University of Texas at Austin,1991,1993,142,2.0,0.8,0.8,0.3,0.1,.436,.508,.253,.667,0.7,.031
1704,1997,NBA,1,26,MIA,Charles Smith,22.313,G,,University of New Mexico,1998,2006,142,5.1,1.4,0.9,0.6,0.5,.409,.473,.288,.606,1.5,.036
1705,1999,NBA,1,14,MIN,William Avery,20.331,G,,Duke University,2000,2002,142,2.7,0.7,1.4,0.2,0.0,.330,.376,.255,.714,-0.9,-0.034
1706,1999,NBA,1,17,ATL,Cal Bowdler,22.096,F,,Old Dominion University,2000,2002,142,3.0,1.9,0.2,0.3,0.3,.404,.411,.182,.768,1.8,.061
1707,1955,NBA,2,12,MNL,Chuck Mencel,22.362,G,,University of Minnesota,1956,1957,141,7.0,2.5,2.4,,,.341,.341,,.765,1.9,.033
1708,1977,NBA,2,42,PHI,Bob Elliott,22.302,C-F,,University of Arizona,1979,1981,141,7.0,3.6,1.4,0.5,0.2,.494,.496,.333,.649,3.0,.063
1709,1989,NBA,1,13,BOS,Michael Smith,24.045,F,,Brigham Young University,1990,1995,141,5.0,1.5,1.0,0.1,0.0,.474,.509,.150,.835,1.4,.049
1710,1949,BAA,1,8,WSC,Wah Wah Jones,23.256,F,,University of Kentucky,1950,1952,140,10.2,2.9,3.1,,,.355,.355,,.757,8.8,.319
1711,1967,NBA,2,13,BAL,Jimmy Jones,22.127,G,,Grambling State University,1975,1977,140,6.4,1.9,2.0,0.8,0.1,.505,.505,,.738,6.2,.115
