
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2601,1987,NBA,2,30,POR,Nikita Wilson,23.123,F,,Louisiana State University,1988,1988,15,1.3,0.7,0.2,0.0,0.0,.304,.304,,.833,-0.1,-0.099
2602,1993,NBA,1,18,UTA,Luther Wright,22.287,C,,Seton Hall University,1994,1994,15,1.3,0.7,0.0,0.1,0.1,.348,.364,.000,.750,-0.1,-0.064
2603,1996,NBA,1,21,NYK,Dontae' Jones,21.030,F,,Mississippi State University,1998,1998,15,2.9,0.6,0.3,0.1,0.2,.333,.382,.261,,-0.3,-0.175
2604,1997,NBA,2,35,PHI,Kebu Stewart,24.194,F,,California State University Bakersfield,1998,1998,15,2.7,2.1,0.1,0.3,0.1,.462,.462,,.640,0.2,.098
2605,1999,NBA,1,12,TOR,Aleksandar Radojevic,23.331,C,,Barton County Community College,2000,2005,15,1.7,2.4,0.5,0.1,0.2,.308,.308,,.625,-0.4,-0.130
2606,1999,NBA,1,29,SAS,Leon Smith,19.244,C,,,2002,2004,15,2.2,2.2,0.2,0.3,0.1,.393,.393,,.647,0.2,.112
2607,1949,BAA,4,,FTW,Jerry Nagel,21.312,G,,Loyola University of Chicago,1950,1950,14,0.9,,1.3,,,.214,.214,,.250,-0.1,
2608,1950,NBA,2,,PHW,Ed Dahler,24.090,F,,Duquesne University,1952,1952,14,2.5,1.6,0.4,,,.368,.368,,1.000,0.1,.036
2609,1960,NBA,2,12,DET,Ron Johnson,22.271,F,,University of Minnesota,1961,1961,14,2.6,2.1,0.1,,,.302,.302,,.647,-0.1,-0.054
2610,1969,NBA,19,215,BAL,Brian Heaney,23.222,G,,Acadia University,1970,1970,14,2.0,0.3,0.4,,,.542,.542,,.500,0.2,.106
2611,1978,NBA,4,80,MIL,Otis Howard,22.221,F,,Austin Peay State University,1979,1979,14,4.2,2.9,0.4,0.1,0.1,.429,.429,,.478,0.2,.064
2612,1982,NBA,2,28,CLE,Dave Magley,23.223,F,,University of Kansas,1983,1983,14,0.9,0.7,0.1,0.1,0.0,.250,.267,.000,.500,-0.1,-0.066
2613,1984,NBA,1,23,LAL,Earl Jones,23.163,C,,University of the District of Columbia,1985,1986,14,0.9,0.7,0.3,0.0,0.1,.385,.385,,.750,-0.1,-0.090
2614,1987,NBA,2,25,NYK,Ron Moore,25.163,C,,West Virginia State University,1988,1988,14,1.7,0.6,0.1,0.4,0.0,.310,.310,,.750,-0.1,-0.074
2615,1993,NBA,2,48,POR,Kevin Thompson,22.149,C-F,,North Carolina State University,1994,1994,14,0.9,0.9,0.2,0.0,0.1,.429,.462,.000,.500,0.0,-0.016
2616,1996,NBA,2,41,SAC,Jason Sasser,22.170,F,,Texas Tech University,1997,1999,14,2.1,1.1,0.3,0.4,0.0,.412,.419,.333,.500,0.0,-0.014
2617,2004,NBA,2,35,SEA,Andre Emmett,22.307,F,,Texas Tech University,2005,2012,14,1.4,0.6,0.1,0.1,0.1,.462,.500,.000,.615,0.1,.040
2618,2006,NBA,2,60,DET,Will Blalock,23.299,G,,Iowa State University,2007,2007,14,1.8,1.1,1.2,0.4,0.0,.300,.320,.200,1.000,-0.1,-0.032
2619,1947,BAA,1,2,TRH,Glen Selbo,21.099,G-F,,University of Wisconsin,1950,1950,13,3.2,,1.8,,,.196,.196,,.759,-0.2,
2620,1948,BAA,,,BLB,Dan Kraus,25.093,G,,Georgetown University,1949,1949,13,1.6,,0.5,,,.143,.143,,.458,-0.3,
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2621,1959,NBA,2,13,STL,Cal Ramsey,22.266,F,,New York University,1960,1961,13,7.9,5.6,0.9,,,.383,.383,,.568,0.1,.013
2622,1959,NBA,3,18,MNL,Bobby Smith,22.228,G,,West Virginia University,1960,1962,13,2.8,2.5,1.1,,,.236,.236,,.688,-0.3,-0.097
2623,1965,NBA,10,75,NYK,Wayne Molis,22.025,F,,Lewis University,1967,1967,13,3.5,1.7,0.2,,,.373,.373,,.538,-0.2,-0.099
2624,1971,NBA,3,50,NYK,Ken Mayfield,23.327,G,,Tuskegee University,1976,1976,13,2.8,0.6,0.3,0.0,0.0,.370,.370,,1.000,-0.2,-0.134
2625,1977,NBA,5,104,GSW,Ray Epps,21.299,F,,Norfolk State University,1979,1979,13,2.0,0.4,0.2,0.1,0.0,.435,.435,,.750,0.1,.057
2626,1978,NBA,4,81,WSB,Lawrence Boston,22.027,F,,University of Maryland,1980,1980,13,4.3,3.0,0.2,0.3,0.2,.462,.462,,.615,0.2,.075
2627,1986,NBA,5,99,SEA,Dominic Pressley,22.023,G,,Boston College,1989,1989,13,1.8,1.2,2.0,0.3,0.0,.290,.310,.000,.556,-0.2,-0.069
2628,1991,NBA,2,43,GSW,Lamont Strothers,23.052,G,,Christopher Newport University,1992,1993,13,4.6,1.2,1.1,0.7,0.1,.329,.379,.133,.714,-0.5,-0.142
2629,1995,NBA,2,37,LAL,Frankie King,23.027,G,,Western Carolina University,1996,1997,13,2.1,1.2,0.5,0.5,0.0,.357,.360,.333,.750,0.0,.025
2630,1996,NBA,2,53,MIL,Jeff Nordgaard,23.129,F,,University of Wisconsin-Green Bay,1998,1998,13,1.4,1.1,0.2,0.2,0.0,.278,.278,,.889,0.0,.043
2631,2003,NBA,2,58,DET,Andreas Glyniadakis,22.314,C,,,2007,2007,13,1.3,0.6,0.1,0.0,0.0,.471,.471,,.500,-0.2,-0.143
2632,2007,NBA,2,33,SAS,Marcus Williams,21.227,F,,University of Arizona,2008,2009,13,1.1,0.9,0.2,0.1,0.1,.318,.318,,,-0.1,-0.084
2633,1950,NBA,5,,MNL,Ed Beach,21.095,F,,West Virginia University,1951,1951,12,1.8,2.1,0.3,,,.211,.211,,.667,-0.3,
2634,1951,NBA,1,4,FTW,Zeke Sinicola,22.095,G,,Niagara University,1952,1954,12,1.1,0.2,0.3,,,.250,.250,,.375,-0.2,-0.223
2635,1951,NBA,1,6,NYK,Ed Smith,22.299,F,,Harvard University,1954,1954,12,2.9,2.7,0.8,,,.286,.286,,.538,-0.3,-0.105
2636,1952,NBA,,,SYR,Ken McBride,,G-F,,University of Maryland Eastern Shore,1955,1955,12,9.8,2.6,1.2,,,.327,.327,,.724,-0.4,-0.084
2637,1961,NBA,10,91,CHP,Larry Comley,22.228,G,,Kansas State University,1964,1964,12,2.1,1.6,1.0,,,.216,.216,,.563,-0.3,-0.167
2638,1977,NBA,5,103,SAS,Scott Sims,22.059,G,,University of Missouri,1978,1978,12,2.5,1.1,1.7,0.3,0.0,.385,.385,,.667,-0.2,-0.088
2639,1978,NBA,2,34,NYK,Greg Bunch,22.030,F,,California State University Fullerton,1979,1979,12,2.3,1.4,0.3,0.3,0.3,.346,.346,,.833,0.1,.046
2640,1979,NBA,1,17,HOU,Lee Johnson,22.014,F,,East Texas State University,1981,1981,12,1.4,1.8,0.1,0.0,0.4,.280,.280,,.600,-0.2,-0.095
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2641,1982,NBA,10,221,PHO,Dale Wilkinson,22.108,F,,Idaho State University,1985,1985,12,1.2,0.3,0.2,0.0,0.0,.250,.267,.000,.857,-0.1,-0.124
2642,1988,NBA,2,26,POR,Rolando Ferreira,24.041,C,,University of Houston,1989,1989,12,0.8,1.1,0.1,0.0,0.1,.056,.056,,.875,-0.2,-0.352
2643,1951,NBA,1,5,SYR,John McConathy,21.021,F,,Northwestern State University,1952,1952,11,1.3,1.8,0.7,,,.138,.138,,.429,-0.5,-0.214
2644,1952,NBA,,,PHW,Tom Brennan,22.269,F,,Villanova University,1955,1955,11,0.9,0.5,0.2,,,.455,.455,,,0.1,.048
2645,1953,NBA,,,MLH,Gene Dyker,23.072,F,,DePaul University,1954,1954,11,1.5,1.5,0.5,,,.231,.231,,.500,-0.3,-0.138
2646,1956,NBA,,,MNL,Jerry Bird,21.093,F,,University of Kentucky,1959,1959,11,2.3,1.1,0.4,,,.375,.375,,1.000,0.0,-0.043
2647,1958,NBA,8,60,PHW,Tom Brennan,28.266,F,,Villanova University,1955,1955,11,0.9,0.5,0.2,,,.455,.455,,,0.1,.048
2648,1962,NBA,2,16,BOS,Jack Foley,23.347,F,,College of the Holy Cross,1963,1963,11,4.8,1.5,0.5,,,.392,.392,,.867,0.1,.057
2649,1962,NBA,4,28,STL,Jerry Grote,21.093,G,,Loyola Marymount University,1965,1965,11,1.3,0.4,0.4,,,.545,.545,,1.000,0.1,.175
2650,1962,NBA,5,39,SYR,John Windsor,22.362,F,,Stanford University,1964,1964,11,2.5,2.4,0.2,,,.370,.370,,.875,0.1,.091
2651,1967,NBA,1,9,CIN,Mel Daniels,23.292,C,,University of New Mexico,1977,1977,11,3.5,3.1,0.5,0.3,1.0,.371,.371,,.565,0.0,-0.002
2652,1968,NBA,10,131,ATL,Dwight Waller,23.248,F,,Tennessee State University,1969,1969,11,0.6,0.9,0.1,,,.222,.222,,.429,-0.1,-0.134
2653,1969,NBA,6,73,MIL,John Arthurs,22.241,G,,Tulane University,1970,1970,11,3.2,1.3,1.5,,,.343,.343,,.733,0.0,-0.004
2654,1974,NBA,4,63,BUF,Bernie Harris,24.189,F,,Virginia Commonwealth University,1975,1975,11,0.5,0.7,0.1,0.0,0.1,.182,.182,,.500,-0.1,-0.190
2655,1978,NBA,4,87,PHI,Brett Vroman,22.172,C,,University of Nevada Las Vegas,1981,1981,11,3.1,2.3,0.8,0.5,0.5,.370,.385,.000,.737,0.1,.048
