
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1801,1973,NBA,4,57,CLE,Luke Witte,23.193,C,,Ohio State University,1974,1976,118,3.2,3.0,0.5,0.1,0.4,.402,.402,,.685,1.2,.051
1802,1975,NBA,2,32,CHI,John Laskowski,22.361,G,,Indiana University,1976,1977,118,7.1,2.4,0.8,0.7,0.1,.398,.398,,.760,2.0,.046
1803,1982,NBA,3,56,ATL,Joe Kopicki,22.022,F,,University of Detroit Mercy,1983,1985,118,3.7,2.7,0.7,0.3,0.1,.493,.502,.273,.812,3.5,.142
1804,1990,NBA,2,32,PHI,Brian Oliver,22.031,G,,Georgia Institute of Technology,1991,1998,118,3.3,1.0,1.0,0.4,0.1,.388,.397,.227,.705,-0.5,-0.020
1805,1995,NBA,1,25,ORL,David Vaughn,22.102,F,,University of Memphis,1996,1999,118,2.9,3.1,0.3,0.3,0.4,.423,.425,.000,.638,0.6,.026
1806,1948,BAA,,,ROC,Johnny Macknowski,25.130,G-F,,Seton Hall University,1950,1951,117,7.0,0.9,1.1,,,.317,.317,,.727,2.7,
1807,1949,BAA,1,6,BLB,Ron Livingstone,23.169,C,,University of Wyoming,1950,1951,117,6.3,2.5,1.9,,,.286,.286,,.692,2.4,
1808,1995,NBA,2,49,MIN,Jerome Allen,22.156,G,,University of Pennsylvania,1996,1997,117,2.9,1.1,1.7,0.4,0.1,.350,.370,.317,.630,0.2,.006
1809,1989,NBA,1,24,PHO,Anthony Cook,22.106,F-C,,University of Arizona,1991,1996,116,3.6,3.7,0.3,0.4,0.8,.439,.446,.000,.524,1.0,.033
1810,1948,BAA,,,NYK,Ed Peterson,24.323,C,,Cornell University,1950,1951,115,7.0,2.5,0.9,,,.384,.384,,.627,6.6,
1811,1968,NBA,5,57,SFW,Jim Eakins,22.017,C,,Brigham Young University,1977,1978,115,5.5,3.8,1.3,0.3,0.6,.462,.462,,.844,4.5,.123
1812,1974,NBA,2,27,CHI,Leon Benbow,24.315,G,,Jacksonville University,1975,1976,115,5.5,1.9,1.6,0.6,0.1,.394,.394,,.759,1.7,.044
1813,1990,NBA,1,14,SAC,Travis Mays,22.013,G,,University of Texas at Austin,1991,1993,115,11.1,2.0,2.8,0.9,0.1,.410,.428,.362,.749,2.4,.039
1814,2001,NBA,2,32,MEM,Will Solomon,23.348,G,,Clemson University,2002,2009,115,5.1,1.1,2.0,0.5,0.1,.378,.439,.298,.692,0.0,.000
1815,1959,NBA,2,9,PHW,Joe Ruklick,21.245,F-C,,Northwestern University,1960,1962,114,3.5,2.5,0.4,,,.366,.366,,.613,0.0,-0.001
1816,1960,NBA,2,9,CIN,Jay Arnette,21.119,G,,University of Texas at Austin,1964,1966,114,3.7,1.0,1.2,,,.365,.365,,.760,0.1,.006
1817,1980,NBA,3,50,CHI,James Wilkes,22.076,F,,University of California Los Angeles,1981,1983,114,4.8,2.4,0.9,0.5,0.3,.463,.466,.000,.723,2.0,.063
1818,1988,NBA,1,25,LAL,David Rivers,23.165,G,,University of Notre Dame,1989,1992,114,3.4,1.3,2.5,0.5,0.1,.398,.409,.083,.794,-0.3,-0.010
1819,1994,NBA,2,37,SEA,Dontonio Wingfield,20.011,F,,University of Cincinnati,1995,1998,114,3.7,2.4,0.7,0.3,0.1,.389,.437,.309,.721,1.8,.074
1820,1996,NBA,2,31,PHI,Mark Hendrickson,22.009,F,,Washington State University,1997,2000,114,3.3,2.8,0.6,0.4,0.1,.416,.431,.167,.803,2.1,.067
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1821,1996,NBA,2,49,ORL,Amal McCaskill,23.247,F-C,,Marquette University,1997,2004,114,1.8,1.9,0.3,0.2,0.3,.377,.382,.000,.609,0.5,.024
