
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2301,1985,NBA,2,33,PHI,Greg Stokes,22.323,F-C,,University of Iowa,1986,1990,42,3.1,1.5,0.4,0.3,0.3,.445,.449,.000,.696,0.3,.041
2302,1986,NBA,2,45,MIL,Keith Smith,22.105,G,,Loyola Marymount University,1987,1987,42,3.3,0.8,1.0,0.6,0.1,.380,.383,.333,.750,0.0,-0.003
2303,1989,NBA,2,41,WSB,Doug Roth,22.313,C,,University of Tennessee,1990,1990,42,1.9,2.9,0.5,0.2,0.3,.430,.435,.000,.500,0.4,.052
2304,1991,NBA,1,20,HOU,John Turner,24.214,F,,Phillips University,1992,1992,42,2.8,1.9,0.3,0.1,0.1,.439,.439,,.525,-0.1,-0.021
2305,1998,NBA,2,49,ATL,Cory Carr,23.207,G,,Texas Tech University,1999,1999,42,4.1,1.2,1.6,0.5,0.2,.329,.355,.167,.750,-1.2,-0.089
2306,2000,NBA,2,51,MIN,Igor Rakocevic,22.097,G,,,2003,2003,42,1.9,0.4,0.8,0.1,0.0,.379,.370,.417,.806,0.1,.022
2307,2004,NBA,2,53,MIA,Matt Freije,23.271,F,,Vanderbilt University,2005,2007,42,3.2,2.0,0.6,0.4,0.1,.293,.343,.224,.714,-0.6,-0.047
2308,1957,NBA,1,5,NYK,Brendan McCann,22.292,G,,St. Bonaventure University,1958,1960,41,1.8,1.2,1.6,,,.204,.204,,.700,-0.6,-0.085
2309,1980,NBA,1,22,CLE,Chad Kinch,22.025,G,,University of North Carolina at Charlotte,1981,1981,41,2.9,0.8,1.1,0.3,0.1,.369,.369,,.778,-0.5,-0.071
2310,1987,NBA,4,88,DET,Dave Popson,23.041,F-C,,University of North Carolina,1989,1992,41,1.9,1.1,0.3,0.1,0.1,.405,.410,.000,.750,-0.1,-0.033
2311,1994,NBA,2,45,GSW,Dwayne Morton,23.331,F,,University of Louisville,1995,1995,41,4.1,1.4,0.4,0.3,0.4,.388,.394,.360,.682,0.2,.025
2312,2003,NBA,2,37,ATL,Travis Hansen,25.078,G,,Brigham Young University,2004,2004,41,3.0,1.7,0.5,0.2,0.2,.354,.370,.300,.815,0.2,.019
2313,2010,NBA,2,58,LAL,Derrick Caracter,22.056,F,,University of Texas at El Paso,2011,2011,41,2.0,1.0,0.2,0.1,0.2,.485,.485,,.739,0.3,.057
2314,1953,NBA,,,NYK,Joe Smyth,24.343,F,,Niagara University,1954,1954,40,3.3,2.5,1.2,,,.348,.348,,.538,0.1,.006
2315,1968,NBA,4,42,DET,Rich Niemann,22.343,C,,Saint Louis University,1969,1970,40,2.8,2.7,0.5,,,.414,.414,,.778,0.3,.042
2316,1976,NBA,7,111,NOJ,Andy Walker,21.081,G,,Niagara University,1977,1977,40,4.5,1.9,0.8,0.5,0.2,.462,.462,,.766,0.7,.081
2317,1976,NBA,7,117,PHI,Phil Walker,20.085,G,,Millersville University of Pennsylvania,1978,1978,40,4.5,1.3,1.4,0.4,0.1,.354,.354,,.667,-0.4,-0.045
2318,1977,NBA,2,39,WSB,Phil Walker,21.087,G,,Millersville University of Pennsylvania,1978,1978,40,4.5,1.3,1.4,0.4,0.1,.354,.354,,.667,-0.4,-0.045
2319,1993,NBA,2,34,GSW,Darnell Mee,22.145,G,,Western Kentucky University,1994,1995,40,1.9,0.9,0.5,0.4,0.3,.312,.348,.222,.444,-0.1,-0.020
2320,1996,NBA,2,43,PHO,Ben Davis,24.188,F,,University of Arizona,1997,2000,40,1.4,1.3,0.1,0.2,0.1,.356,.356,,.462,0.1,.040
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2321,1998,NBA,2,46,MIN,Andrae Patterson,23.230,F,,Indiana University,1999,2000,40,3.0,1.7,0.4,0.5,0.2,.455,.479,.000,.778,0.7,.114
2322,1947,BAA,,,WSC,Jack Tingle,23.188,F,,University of Kentucky,1948,1949,39,2.3,,0.2,,,.259,.259,,.515,0.4,
2323,1948,BAA,,,BOS,Marshall Hawkins,24.286,F,,University of Tennessee,1950,1950,39,3.9,,1.3,,,.282,.282,,.689,-0.1,
2324,1951,NBA,1,8,ROC,Sam Ranzino,24.314,G,,North Carolina State University,1952,1952,39,2.2,1.0,0.6,,,.333,.333,,.703,0.2,.038
2325,1956,NBA,4,,BOS,Dan Swartz,21.134,F,,Morehead State University,1963,1963,39,4.5,2.3,0.5,,,.380,.380,,.847,1.0,.143
2326,1962,NBA,12,90,CHZ,Mel Nowell,22.095,G,,Ohio State University,1963,1963,39,5.9,1.7,2.2,,,.388,.388,,.727,-0.1,-0.006
2327,1968,NBA,11,136,SEA,Jim Marsh,22.045,F,,University of Southern California,1972,1972,39,3.1,2.2,0.8,,,.333,.333,,.695,-0.3,-0.036
2328,1970,NBA,6,95,PHO,Joe Thomas,22.019,F,,Marquette University,1971,1971,39,1.4,1.1,0.4,,,.267,.267,,.450,-0.6,-0.149
2329,1977,NBA,6,117,IND,Tom Scheffler,23.232,C,,Purdue University,1985,1985,39,1.3,1.9,0.3,0.2,0.3,.412,.412,,.500,0.2,.037
2330,1978,NBA,7,149,PHO,Steve Malovic,22.328,F,,San Diego State University,1980,1980,39,2.1,2.2,0.7,0.2,0.2,.463,.463,,.667,0.3,.027
2331,1981,NBA,4,86,NYK,Alex Bradley,22.228,F,,Villanova University,1982,1982,39,3.5,1.7,0.3,0.3,0.1,.524,.529,.000,.604,0.4,.053
2332,1986,NBA,4,74,CHI,Scott Meents,22.170,F,,University of Illinois at Urbana-Champaign,1990,1991,39,1.8,1.0,0.4,0.3,0.2,.361,.352,1.000,.704,0.1,.017
2333,1992,NBA,2,33,CHI,Corey Williams,22.067,G,,Oklahoma State University,1993,1994,39,2.4,0.9,0.7,0.2,0.1,.367,.372,.250,.826,0.2,.037
2334,1997,NBA,2,34,DAL,Bubba Wells,23.340,F,,Austin Peay State University,1998,1998,39,3.3,1.7,0.9,0.4,0.1,.414,.427,.167,.721,0.1,.013
2335,2001,NBA,2,36,PHI,Damone Brown,22.005,F,,Syracuse University,2002,2005,39,2.8,1.3,0.5,0.1,0.2,.336,.342,.286,.667,-0.7,-0.100
2336,2010,NBA,1,24,ATL,Damion James,23.266,G-F,,University of Texas at Austin,2011,2014,39,3.8,3.4,0.7,0.6,0.5,.415,.433,.000,.667,0.0,-0.001
2337,1957,NBA,6,48,BOS,Maury King,22.042,G,,University of Kansas,1960,1963,38,5.9,2.8,3.8,,,.398,.398,,.800,0.0,.000
2338,1970,NBA,6,87,SFW,Vic Bartolome,21.180,C,,Oregon State University,1972,1972,38,0.9,1.6,0.1,,,.254,.254,,.800,-0.4,-0.114
2339,1970,NBA,8,133,ATL,Herb White,22.286,G,,University of Georgia,1971,1971,38,2.4,1.3,1.2,,,.405,.405,,.564,0.1,.013
2340,1974,NBA,10,175,DET,Bill Ligon,22.004,G,,Vanderbilt University,1975,1975,38,3.3,0.7,0.7,0.2,0.2,.385,.385,,.640,-0.2,-0.043
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2341,1985,NBA,2,29,SAS,Mike Brittain,22.003,C,,University of South Carolina,1986,1987,38,1.7,1.4,0.2,0.1,0.3,.500,.500,,.524,-0.1,-0.011
2342,1988,NBA,2,31,PHI,Everette Stephens,22.256,G,,Purdue University,1989,1991,38,1.9,0.6,1.0,0.2,0.1,.333,.354,.200,.792,-0.4,-0.083
2343,1991,NBA,2,30,ATL,Rodney Monroe,23.076,G-F,,North Carolina State University,1992,1992,38,3.4,0.9,0.7,0.3,0.1,.368,.402,.222,.826,-0.2,-0.035
2344,2007,NBA,1,25,UTA,Morris Almond,22.151,G,,Rice University,2008,2012,38,3.1,1.2,0.3,0.3,0.1,.381,.404,.292,.743,0.0,.005
2345,2008,NBA,1,30,BOS,J.R. Giddens,23.139,G,,University of New Mexico,2009,2010,38,1.9,1.4,0.3,0.3,0.1,.476,.566,.000,.565,0.1,.027
2346,1947,BAA,,,CHS,Ben Schadler,23.119,F,,Northwestern University,1948,1948,37,1.5,,0.2,,,.198,.198,,.769,-0.5,
2347,1949,BAA,3,,BOS,Joe Mullaney,23.130,G,,College of the Holy Cross,1950,1950,37,0.8,,1.4,,,.129,.129,,.800,-0.6,
2348,1952,NBA,,,NYK,Bert Cook,23.006,G-F,,Utah State University,1955,1955,37,3.2,1.9,0.9,,,.316,.316,,.680,0.0,-0.006
2349,1960,NBA,2,14,STL,Frank Radovich,22.045,F,,Indiana University,1962,1962,37,2.4,1.4,0.1,,,.398,.398,,.500,0.0,.006
2350,1961,NBA,1,5,LAL,Wayne Yates,23.146,C,,University of Memphis,1962,1962,37,1.9,2.5,0.4,,,.295,.295,,.455,-0.5,-0.085
2351,2008,NBA,2,42,SAC,Sean Singletary,23.299,G,,University of Virginia,2009,2009,37,2.4,0.9,0.8,0.3,0.0,.365,.350,.400,.857,0.0,.006
2352,2010,NBA,2,41,MIA,Jarvis Varnado,22.120,F,,Mississippi State University,2013,2014,37,2.9,1.9,0.4,0.3,0.8,.582,.582,,.518,0.7,.089
2353,1961,NBA,4,33,NYK,George Blaney,21.141,G,,College of the Holy Cross,1962,1962,36,3.3,1.0,1.3,,,.380,.380,,.529,-0.1,-0.014
2354,1966,NBA,8,69,NYK,Mike Silliman,22.011,F,,United States Military Academy,1971,1971,36,2.5,1.7,0.6,,,.456,.456,,.487,0.3,.037
2355,1971,NBA,5,76,GSW,Odis Allison,22.183,F,,University of Nevada Las Vegas,1972,1972,36,1.9,1.3,0.3,,,.218,.218,,.541,-0.6,-0.181
2356,1972,NBA,1,13,LAL,Travis Grant,22.105,F,,Kentucky State University,1973,1974,36,3.6,1.5,0.2,0.0,0.0,.433,.433,,.828,0.4,.124
2357,1977,NBA,4,71,PHO,Greg Griffin,25.283,F,,Idaho State University,1978,1978,36,4.0,2.9,0.7,0.4,0.0,.361,.361,,.639,-0.1,-0.011
2358,1978,NBA,8,157,DET,Earl Evans,23.216,F,,University of Nevada Las Vegas,1980,1980,36,4.4,2.1,1.0,0.4,0.0,.450,.459,.389,.571,0.1,.015
2359,1985,NBA,2,41,ATL,Lorenzo Charles,22.211,F,,North Carolina State University,1986,1986,36,3.4,1.1,0.2,0.1,0.2,.557,.557,,.667,0.5,.086
2360,1988,NBA,3,73,IND,Michael Anderson,22.103,G,,Drexel University,1989,1989,36,5.7,2.5,4.3,1.2,0.1,.417,.429,.143,.695,0.2,.010
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2361,1989,NBA,2,51,PHO,Mike Morrison,22.321,G,,Loyola College in Maryland,1990,1990,36,2.0,0.6,0.3,0.1,0.0,.338,.344,.286,.800,-0.3,-0.106
2362,1995,NBA,2,32,WSB,Terrence Rencher,22.134,G,,University of Texas at Austin,1996,1996,36,2.9,1.2,1.5,0.4,0.1,.330,.338,.310,.674,-0.2,-0.021
2363,2004,NBA,2,33,LAC,Lionel Chalmers,24.232,G,,Xavier University,2005,2005,36,3.1,0.9,1.4,0.4,0.0,.336,.395,.245,.625,-0.2,-0.025
2364,1950,NBA,2,,FTW,Jim Riffey,26.139,F,,Tulane University,1951,1951,35,4.3,1.7,0.5,,,.351,.351,,.769,0.2,
2365,1970,NBA,5,70,SFW,Levi Fontaine,21.147,G,,University of Maryland Eastern Shore,1971,1971,35,3.8,0.4,0.6,,,.366,.366,,.757,-0.3,-0.069
2366,1973,NBA,11,166,PHI,Rod Freeman,22.176,F,,Vanderbilt University,1974,1974,35,3.0,1.5,0.4,0.3,0.0,.379,.379,,.683,0.0,.000
2367,1977,NBA,8,168,PHI,John Olive,22.107,F,,Villanova University,1979,1980,35,1.3,0.6,0.1,0.1,0.0,.310,.310,,.783,-0.2,-0.058
