
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1101,2009,NBA,1,12,CHA,Gerald Henderson,22.204,G,,Duke University,2010,2015,391,12.0,3.4,2.1,0.7,0.4,.443,.459,.309,.794,14.2,.063
1102,1983,NBA,1,23,IND,Mitchell Wiggins,24.279,G,,Florida State University,1984,1992,389,10.0,3.2,1.6,1.0,0.1,.460,.466,.192,.755,15.2,.090
1103,2009,NBA,2,43,MIA,Marcus Thornton,22.026,G,,Louisiana State University,2010,2015,389,12.7,2.9,1.4,0.9,0.1,.429,.474,.362,.828,17.8,.089
1104,1973,NBA,1,7,KCO,Ron Behagen,22.106,F-C,,University of Minnesota,1974,1980,388,10.3,7.0,1.6,0.7,0.4,.425,.425,,.754,13.0,.068
1105,1981,NBA,4,76,GSW,Lewis Lloyd,22.113,G-F,,Drake University,1982,1990,388,13.2,3.1,2.9,0.9,0.3,.524,.528,.213,.771,19.8,.101
1106,2010,NBA,1,2,PHI,Evan Turner,22.245,G,,Ohio State University,2011,2015,388,10.8,5.2,3.6,0.8,0.2,.427,.445,.315,.767,10.7,.046
1107,1997,NBA,2,37,GSW,Marc Jackson,22.166,C,,Temple University,2001,2007,387,8.4,4.3,0.8,0.4,0.3,.446,.448,.226,.814,13.0,.082
1108,1984,NBA,2,29,IND,Stuart Gray,21.029,C-F,,University of California Los Angeles,1985,1991,386,2.3,2.6,0.4,0.2,0.3,.446,.450,.000,.663,3.3,.046
1109,1983,NBA,1,13,KCK,Ennis Whatley,21.326,G,,University of Alabama,1984,1997,385,5.6,1.8,4.6,1.0,0.1,.468,.475,.097,.755,9.6,.065
1110,1949,BAA,1,10,ROC,Pep Saul,25.040,G-F,,Seton Hall University,1950,1955,384,5.6,1.8,1.6,,,.360,.360,,.739,9.8,.076
1111,1999,NBA,2,40,DAL,Gordan Giricek,22.015,G-F,,,2003,2008,384,9.6,2.5,1.5,0.6,0.1,.442,.465,.368,.823,8.0,.044
1112,2009,NBA,1,13,IND,Tyler Hansbrough,24.240,F,,University of North Carolina,2010,2015,384,7.2,4.5,0.5,0.5,0.2,.439,.442,.053,.746,19.2,.134
1113,1993,NBA,1,20,CHH,Scott Burrell,22.175,G-F,,University of Connecticut,1994,2001,383,6.9,3.5,1.4,0.9,0.5,.418,.448,.373,.723,16.4,.104
1114,2008,NBA,1,18,WAS,JaVale McGee,20.164,C,,University of Nevada Reno,2009,2015,382,8.4,5.5,0.4,0.4,1.8,.540,.541,.200,.587,18.6,.118
1115,1993,NBA,1,21,POR,James Robinson,23.309,G,,University of Alabama,1994,2001,381,7.6,1.7,1.9,0.5,0.2,.394,.430,.348,.666,5.8,.040
1116,1996,NBA,1,18,NYK,John Wallace,22.143,F,,Syracuse University,1997,2004,381,7.6,2.8,0.7,0.4,0.6,.462,.465,.300,.740,6.4,.050
1117,1968,NBA,3,30,NYK,Don May,22.158,F,,University of Dayton,1969,1975,379,8.8,3.5,1.0,0.1,0.0,.453,.453,,.798,11.4,.082
1118,1968,NBA,11,147,PHO,Ron Boone,22.277,G-F,,Idaho State University,1977,1981,379,13.9,2.8,3.4,1.1,0.1,.454,.456,.337,.854,11.5,.051
1119,1971,NBA,1,5,ATL,George Trapp,23.266,F-C,,California State University Long Beach,1972,1977,379,8.8,3.9,1.0,0.3,0.2,.444,.444,,.752,8.4,.059
1120,1986,NBA,2,39,PHO,Rafael Addison,22.335,F-G,,Syracuse University,1987,1997,379,5.8,2.1,0.9,0.4,0.2,.449,.472,.282,.772,4.9,.041
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1121,2010,NBA,1,7,DET,Greg Monroe,20.025,F-C,,Georgetown University,2011,2015,378,14.3,9.2,2.3,1.2,0.6,.505,.506,.000,.693,32.2,.131
1122,1986,NBA,6,120,CHI,Pete Myers,23.281,G-F,,University of Arkansas at Little Rock,1987,1998,377,4.8,1.8,2.1,0.7,0.2,.421,.442,.219,.668,5.8,.046
1123,2005,NBA,1,16,TOR,Joey Graham,23.023,F,,Oklahoma State University,2006,2011,377,5.9,2.8,0.5,0.4,0.1,.483,.503,.300,.815,7.8,.061
1124,2009,NBA,1,28,MIN,Wayne Ellington,22.245,G,,University of North Carolina,2010,2015,377,7.0,2.1,1.1,0.4,0.1,.416,.438,.382,.847,6.6,.044
1125,2010,NBA,1,8,LAC,Al-Farouq Aminu,20.281,F,,Wake Forest University,2011,2015,377,6.4,5.3,1.1,1.0,0.6,.437,.471,.286,.726,11.5,.066
1126,1985,NBA,2,40,DAL,Mark Acres,23.221,F-C,,Oral Roberts University,1988,1993,375,3.6,4.1,0.5,0.4,0.3,.506,.505,.538,.665,9.3,.075
1127,1986,NBA,2,41,DEN,Otis Smith,22.144,G-F,,Jacksonville University,1987,1992,375,10.5,3.8,1.8,1.0,0.5,.455,.467,.251,.762,12.3,.076
1128,2002,NBA,1,12,LAC,Melvin Ely,24.061,C,,California State University Fresno,2003,2014,375,5.3,3.2,0.7,0.3,0.6,.460,.461,.000,.625,4.0,.032
