
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1201,1976,NBA,3,40,MIL,Lloyd Walton,23.203,G,,Marquette University,1977,1981,341,4.2,1.1,3.6,0.8,0.1,.454,.455,.250,.711,5.2,.047
1202,1987,NBA,4,79,CHI,Jack Haley,23.152,C-F,,University of California Los Angeles,1989,1998,341,3.5,2.7,0.2,0.2,0.1,.425,.426,.000,.655,2.9,.042
1203,2000,NBA,2,49,MIL,Jason Hart,22.066,G,,Syracuse University,2001,2010,341,4.8,1.7,2.3,0.7,0.1,.417,.433,.315,.788,8.6,.078
1204,2009,NBA,1,16,CHI,James Johnson,22.131,F,,Wake Forest University,2010,2015,341,6.8,3.3,1.5,0.8,1.0,.477,.516,.258,.703,10.6,.080
1205,2009,NBA,2,44,DET,Chase Budinger,21.039,F,,University of Arizona,2010,2015,341,8.6,3.2,1.2,0.5,0.2,.429,.482,.358,.810,12.5,.085
1206,1972,NBA,1,3,CLE,Dwight Davis,22.170,F,,University of Houston,1973,1977,340,8.6,5.9,1.6,0.4,0.4,.423,.423,,.730,11.4,.068
1207,1980,NBA,1,13,GSW,Rickey Brown,22.300,C-F,,Mississippi State University,1981,1985,340,4.4,3.5,0.4,0.3,0.3,.464,.466,.000,.667,4.7,.051
1208,2008,NBA,1,1,CHI,Derrick Rose,20.270,G,,University of Memphis,2009,2015,340,20.4,3.7,6.5,0.8,0.4,.452,.483,.304,.815,31.0,.123
1209,1969,NBA,2,27,LAL,Dick Garrett,22.072,G,,Southern Illinois University,1970,1974,339,10.3,3.0,2.5,0.0,0.0,.423,.423,,.863,6.0,.033
1210,1973,NBA,1,6,HOU,Ed Ratleff,23.032,F-G,,California State University Long Beach,1974,1978,338,8.3,4.0,2.7,1.3,0.4,.454,.454,,.803,13.8,.078
1211,1990,NBA,1,10,ATL,Rumeal Robinson,24.232,G,,University of Michigan,1991,1997,336,7.6,1.8,3.5,0.9,0.2,.432,.447,.344,.611,5.2,.041
1212,1993,NBA,1,16,NJN,Rex Walters,23.116,G,,University of Kansas,1994,2000,335,4.6,1.2,1.7,0.4,0.1,.441,.495,.361,.809,6.3,.066
1213,1949,BAA,3,,FTW,Fred Schaus,24.270,F,,West Virginia University,1950,1954,334,12.2,4.8,2.9,,,.352,.352,,.823,31.4,.227
1214,1987,NBA,1,3,NJN,Dennis Hopson,22.066,G-F,,Ohio State University,1988,1992,334,10.9,2.8,1.6,1.0,0.5,.431,.443,.271,.765,7.1,.046
1215,1998,NBA,2,43,WAS,Jahidi White,22.131,F-C,,Georgetown University,1999,2005,334,5.9,5.8,0.2,0.4,1.1,.510,.510,.000,.534,10.4,.085
1216,2000,NBA,1,20,PHI,Speedy Claxton,22.057,G,,Hofstra University,2002,2009,334,9.3,2.5,4.3,1.5,0.1,.409,.428,.193,.762,14.2,.080
1217,1971,NBA,3,49,CHI,Dick Gibbs,22.104,F-G,,University of Texas at El Paso,1972,1976,333,5.2,1.9,0.8,0.2,0.1,.402,.402,,.799,2.6,.029
1218,2010,NBA,1,14,HOU,Patrick Patterson,21.107,F,,University of Kentucky,2011,2015,333,8.3,4.8,1.2,0.6,0.6,.478,.511,.370,.738,18.0,.111
1219,1980,NBA,2,25,GSW,Jeff Ruland,21.182,C-F,,Iona College,1982,1993,332,17.4,10.2,3.0,0.8,0.8,.564,.566,.158,.718,34.3,.149
1220,2009,NBA,2,39,DET,Jonas Jerebko,22.121,F,,,2010,2015,332,7.2,4.3,0.8,0.7,0.2,.465,.509,.344,.764,14.6,.107
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1221,1972,NBA,2,23,SEA,Brian Taylor,21.311,G,,Princeton University,1977,1982,330,12.3,2.4,4.5,1.8,0.2,.487,.503,.376,.803,24.7,.116
1222,1980,NBA,2,41,DEN,Jawann Oldham,23.347,C,,Seattle University,1981,1991,329,4.4,4.1,0.5,0.3,1.7,.479,.480,.000,.607,4.3,.039
