
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
701,2000,NBA,1,9,HOU,Joel Przybilla,21.267,C,,University of Minnesota,2001,2013,592,3.9,6.2,0.4,0.3,1.4,.552,.553,.000,.557,23.0,.094
702,2007,NBA,1,12,PHI,Thaddeus Young,19.011,F,,Georgia Institute of Technology,2008,2015,592,13.8,5.5,1.5,1.4,0.4,.495,.516,.323,.693,38.6,.103
703,1962,NBA,1,4,SYR,Len Chappell,21.059,F-C,,Wake Forest University,1963,1971,591,9.5,5.3,0.7,,,.452,.452,,.691,19.0,.086
704,1978,NBA,1,21,DEN,Mike Evans,23.057,G,,Kansas State University,1980,1988,591,7.7,1.4,2.6,0.7,0.1,.452,.485,.307,.807,9.3,.045
705,1998,NBA,1,11,DET,Bonzi Wells,22.274,G-F,,Ball State University,1999,2008,591,12.1,4.6,2.1,1.3,0.3,.460,.477,.327,.697,29.4,.093
706,1966,NBA,1,6,CIN,Walt Wesley,21.111,C,,University of Kansas,1967,1976,590,8.5,5.5,0.7,0.0,0.0,.434,.434,,.630,9.5,.044
707,1971,NBA,1,11,DET,Curtis Rowe,22.275,F,,University of California Los Angeles,1972,1979,590,11.6,7.2,1.6,0.3,0.3,.482,.482,,.701,34.1,.090
708,2004,NBA,1,2,CHA,Emeka Okafor,22.275,C-F,,University of Connecticut,2005,2013,590,12.3,9.9,0.9,0.7,1.7,.512,.512,.000,.584,44.3,.114
709,1995,NBA,2,34,GSW,Andrew DeClercq,22.152,F-C,,University of Florida,1996,2005,587,4.8,4.2,0.6,0.7,0.5,.507,.507,.000,.621,19.3,.094
710,1996,NBA,1,26,DET,Jerome Williams,23.053,F,,Georgetown University,1997,2005,587,6.6,6.4,0.8,1.1,0.2,.502,.506,.038,.645,37.9,.143
711,1998,NBA,1,12,ORL,Michael Doleac,21.014,C,,University of Utah,1999,2008,587,4.9,3.3,0.6,0.3,0.4,.439,.440,.125,.791,12.7,.070
712,1947,BAA,,,TRH,Red Rocha,24.292,C-F,,Oregon State University,1948,1957,586,10.9,4.7,2.0,,,.370,.370,,.759,47.9,.219
713,1967,NBA,6,63,SFW,Dale Schlueter,21.177,C,,Colorado State University,1969,1978,586,5.3,5.2,1.6,0.1,0.2,.497,.497,,.678,20.8,.104
714,1977,NBA,3,66,PHO,Mike Bratz,22.242,G,,Stanford University,1978,1986,586,7.0,1.8,3.2,0.9,0.1,.407,.421,.305,.830,11.1,.050
