
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2201,1948,BAA,,,FTW,Bobby Cook,25.046,G-F,,University of Wisconsin,1950,1950,51,11.5,,3.1,,,.358,.358,,.790,1.9,
2202,1948,BAA,,,NYK,Mel McGaha,22.232,G,,University of Arkansas,1949,1949,51,3.5,,1.0,,,.318,.318,,.591,1.5,
2203,1951,NBA,2,17,ROC,Ray Ragelis,22.141,F,,Northwestern University,1952,1952,51,1.3,1.5,0.6,,,.260,.260,,.621,-0.4,-0.059
2204,1975,NBA,4,57,ATL,Monte Towe,22.249,G,,North Carolina State University,1977,1977,51,2.5,0.7,1.7,0.3,0.0,.406,.406,,.720,0.1,.013
2205,1980,NBA,8,169,DAL,Clarence Kea,21.134,F,,Lamar University,1981,1982,51,3.9,2.5,0.4,0.2,0.1,.485,.488,.000,.692,1.0,.107
2206,1988,NBA,2,27,SAS,Shelton Jones,22.089,F,,St. John's University,1989,1989,51,4.8,2.2,0.8,0.4,0.3,.445,.447,.000,.725,0.3,.022
2207,1995,NBA,1,19,DET,Randolph Childress,23.285,G,,Wake Forest University,1996,1997,51,2.4,0.5,1.0,0.3,0.0,.328,.396,.273,.800,-0.2,-0.026
2208,2000,NBA,2,55,GSW,Chris Porter,22.056,F,,Auburn University,2001,2001,51,8.6,3.7,1.2,0.9,0.1,.389,.393,.000,.667,0.2,.008
2209,2005,NBA,1,29,MIA,Wayne Simien,22.117,F,,University of Kansas,2006,2007,51,3.3,1.9,0.2,0.3,0.0,.469,.469,,.854,0.9,.083
2210,2007,NBA,1,29,PHO,Alando Tucker,23.143,F,,University of Wisconsin,2008,2010,51,4.1,1.0,0.3,0.1,0.0,.423,.453,.294,.783,0.4,.045
2211,2008,NBA,2,55,POR,Mike Taylor,22.162,G,,Iowa State University,2009,2009,51,5.7,1.7,2.1,0.7,0.0,.412,.427,.325,.691,-0.4,-0.028
2212,2009,NBA,1,30,CLE,Christian Eyenga,20.008,F,,,2011,2012,51,6.3,2.7,0.8,0.7,0.6,.411,.464,.277,.611,-0.4,-0.020
2213,2010,NBA,1,29,ORL,Daniel Orton,20.327,F,,University of Kentucky,2012,2014,51,2.8,2.5,0.5,0.4,0.5,.485,.490,.000,.597,1.0,.093
2214,1947,BAA,,,PIT,Fritz Nagy,24.185,G-F,,University of Akron,1949,1949,50,5.1,,1.4,,,.347,.347,,.670,2.1,
2215,1948,BAA,,,MNL,Earl Gardner,25.241,F,,DePauw University,1949,1949,50,1.8,,0.4,,,.376,.376,,.464,0.7,
2216,1974,NBA,2,30,WSB,Dennis DuVal,22.063,G,,Syracuse University,1975,1976,50,1.9,0.6,0.7,0.4,0.1,.361,.361,,.667,0.0,.001
2217,1985,NBA,4,73,NYK,Fred Cofield,23.171,G,,Eastern Michigan University,1986,1987,50,3.4,1.0,1.7,0.4,0.1,.395,.413,.188,.600,-0.5,-0.044
2218,1989,NBA,2,45,MIA,Scott Haffner,23.151,G,,University of Evansville,1990,1991,50,4.3,1.1,1.8,0.3,0.1,.403,.433,.130,.667,-0.1,-0.012
2219,1992,NBA,2,50,GSW,Matt Fish,23.224,C,,University of North Carolina at Wilmington,1995,1997,50,3.5,2.2,0.5,0.4,0.3,.500,.504,.000,.625,0.6,.058
2220,2000,NBA,2,34,CHI,Khalid El-Amin,21.070,G,,University of Connecticut,2001,2001,50,6.3,1.6,2.9,1.0,0.0,.370,.383,.333,.778,0.6,.030
