
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1301,1981,NBA,1,22,PHI,Franklin Edwards,22.133,G,,Cleveland State University,1982,1988,296,6.1,1.0,2.6,0.8,0.1,.449,.457,.030,.795,3.9,.043
1302,1991,NBA,1,6,DAL,Doug Smith,22.287,F,,University of Missouri,1992,1996,296,8.0,4.2,1.4,0.8,0.5,.425,.430,.083,.773,3.0,.024
1303,2007,NBA,1,14,LAC,Al Thornton,24.209,F,,Florida State University,2008,2011,296,11.9,4.2,1.2,0.6,0.5,.452,.467,.293,.747,6.1,.035
1304,1988,NBA,2,46,DAL,Morlon Wiley,22.283,G,,California State University Long Beach,1989,1995,295,3.7,1.2,2.4,0.8,0.1,.412,.444,.354,.707,2.7,.034
1305,1966,NBA,9,78,NYK,Bill Turner,22.088,F,,University of Akron,1968,1973,294,5.4,3.5,0.6,,,.407,.407,,.728,4.8,.057
1306,1967,NBA,3,27,SFW,Bill Turner,23.080,F,,University of Akron,1968,1973,294,5.4,3.5,0.6,,,.407,.407,,.728,4.8,.057
1307,1999,NBA,1,20,ATL,Dion Glover,21.256,G,,Georgia Institute of Technology,2000,2005,294,8.2,3.1,1.5,0.8,0.2,.411,.436,.317,.756,5.8,.045
1308,2009,NBA,1,15,DET,Austin Daye,21.025,F,,Gonzaga University,2010,2015,293,5.2,2.6,0.7,0.4,0.4,.402,.433,.351,.778,4.5,.053
1309,1955,NBA,3,16,ROC,Ed Fleming,22.267,G-F,,Niagara University,1956,1960,292,8.6,5.2,1.9,,,.359,.359,,.731,9.8,.076
1310,1977,NBA,3,52,SEA,Joe Hassett,22.278,G,,Providence College,1978,1983,292,5.9,1.1,1.3,0.4,0.1,.421,.465,.336,.861,6.4,.084
1311,2006,NBA,1,12,NOK,Hilton Armstrong,22.234,F-C,,University of Connecticut,2007,2014,292,3.0,2.6,0.3,0.3,0.5,.501,.503,.286,.582,3.9,.055
1312,2010,NBA,1,10,IND,Paul George,20.058,F,,California State University Fresno,2011,2015,292,15.2,6.0,2.9,1.6,0.5,.428,.468,.361,.827,28.2,.147
1313,1950,NBA,5,,TRI,Cal Christensen,23.297,F-C,,University of Toledo,1951,1955,291,5.2,5.5,1.6,,,.330,.330,,.606,8.2,.098
1314,1980,NBA,7,141,GSW,Lorenzo Romar,22.215,G,,University of Washington,1981,1985,291,5.9,1.3,3.5,0.8,0.1,.464,.479,.211,.749,8.0,.074
1315,1981,NBA,1,15,POR,Jeff Lamp,22.098,F-G,,University of Virginia,1982,1989,291,5.1,1.5,0.9,0.4,0.0,.470,.481,.222,.841,5.2,.072
1316,1982,NBA,2,45,PHI,Russ Schoene,22.079,F-C,,University of Tennessee at Chattanooga,1983,1989,290,5.1,2.5,0.6,0.4,0.2,.435,.450,.335,.751,4.5,.061
1317,1986,NBA,3,60,POR,Drazen Petrovic,22.243,G,,,1990,1993,290,15.4,2.3,2.4,0.9,0.1,.506,.520,.437,.841,21.5,.134
1318,2000,NBA,1,4,CHI,Marcus Fizer,22.328,F,,Iowa State University,2001,2006,289,9.6,4.6,1.2,0.5,0.3,.435,.446,.191,.691,2.7,.022
1319,1960,NBA,4,27,LAL,Ben Warley,24.225,F-G,,Tennessee State University,1963,1967,288,6.1,5.3,0.7,,,.413,.413,,.724,8.0,.083
1320,1961,NBA,1,6,SYR,Ben Warley,25.210,F-G,,Tennessee State University,1963,1967,288,6.1,5.3,0.7,,,.413,.413,,.724,8.0,.083
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1321,1973,NBA,6,96,ATL,John Williamson,21.171,G,,New Mexico State University,1977,1981,288,20.1,2.5,2.8,1.1,0.2,.449,.451,.293,.833,13.4,.070
1322,1971,NBA,1,8,GSW,Darnell Hillman,22.217,F-C,,San Jose State University,1977,1980,287,8.6,6.6,1.4,0.8,1.0,.466,.466,,.592,9.9,.072
1323,2002,NBA,1,22,PHO,Casey Jacobsen,21.104,G-F,,Stanford University,2003,2008,287,5.2,1.8,1.1,0.4,0.1,.393,.433,.352,.769,6.2,.056
1324,1972,NBA,7,113,MIL,Mickey Davis,22.304,F-G,,Duquesne University,1973,1977,286,5.2,2.8,1.0,0.3,0.1,.458,.458,,.842,8.9,.115
1325,1991,NBA,1,17,GSW,Victor Alexander,22.304,C-F,,Iowa State University,1992,2002,286,8.9,4.8,0.9,0.5,0.6,.518,.525,.286,.634,8.8,.073
1326,2006,NBA,1,27,PHO,Sergio Rodriguez,20.021,G,,,2007,2010,285,4.3,1.3,2.9,0.6,0.0,.418,.464,.316,.748,3.6,.046
1327,1977,NBA,2,32,NYK,Toby Knight,22.044,F,,University of Notre Dame,1978,1982,283,12.9,5.1,1.2,0.9,0.7,.519,.519,.000,.740,15.7,.103
1328,1984,NBA,4,87,NYK,Bob Thornton,22.350,F-C,,University of California Irvine,1986,1996,283,3.0,2.5,0.3,0.3,0.1,.444,.447,.222,.558,1.3,.018
1329,1981,NBA,4,85,POR,Pete Verhoeven,22.120,F,,California State University Fresno,1982,1987,282,3.5,2.3,0.5,0.5,0.2,.505,.506,.250,.689,5.2,.078
1330,2010,NBA,1,19,BOS,Avery Bradley,20.215,G,,University of Texas at Austin,2011,2015,282,10.5,2.5,1.5,0.9,0.2,.435,.462,.360,.781,6.6,.043
1331,1953,NBA,1,2,MLH,Bob Houbregs,21.048,C-F,,University of Washington,1954,1958,281,9.3,5.5,1.8,,,.404,.404,,.721,14.3,.102
1332,1975,NBA,1,2,LAL,Dave Meyers,22.043,F-C,,University of California Los Angeles,1976,1980,281,11.2,6.3,2.3,1.0,0.5,.461,.461,.200,.676,13.4,.086
1333,1989,NBA,1,8,DAL,Randy White,22.241,F,,Louisiana Tech University,1990,1994,281,7.4,4.9,0.6,0.7,0.5,.401,.417,.193,.707,1.9,.017
1334,2006,NBA,2,33,ATL,Solomon Jones,22.352,F,,University of South Florida,2007,2014,281,3.0,2.3,0.4,0.2,0.5,.467,.472,.111,.717,5.0,.078
1335,1967,NBA,8,80,BAL,Ed Manning,23.127,F,,Jackson State University,1968,1971,280,5.1,4.5,0.7,,,.423,.423,,.702,4.2,.050
1336,1972,NBA,2,26,POR,Dave Twardzik,22.208,G,,Old Dominion University,1977,1980,280,9.5,2.2,3.4,1.4,0.1,.552,.552,.571,.823,21.8,.151
1337,1975,NBA,3,50,POR,Gus Gerard,22.311,F-G,,University of Virginia,1977,1981,280,5.7,2.6,0.8,0.5,0.5,.436,.437,.143,.649,5.3,.072
1338,1986,NBA,1,7,DAL,Roy Tarpley,22.206,C-F,,University of Michigan,1987,1995,280,12.6,10.0,1.0,1.1,1.2,.483,.487,.176,.744,19.8,.127
1339,1986,NBA,6,124,LAC,Tim Kempton,22.149,F-C,,University of Notre Dame,1987,1998,280,4.5,2.8,1.1,0.4,0.2,.481,.482,.000,.677,3.3,.042
1340,2009,NBA,2,55,POR,Patrick Mills,21.323,G,,Saint Mary's College of California,2010,2015,280,7.2,1.3,1.6,0.6,0.1,.439,.483,.391,.843,10.1,.119
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1341,1961,NBA,7,60,NYK,Donnie Butcher,25.054,G,,Pikeville College,1962,1966,279,6.1,2.9,2.1,,,.397,.397,,.629,4.5,.042
1342,1968,NBA,2,15,SDR,John Trapp,23.251,F,,University of Nevada Las Vegas,1969,1973,279,7.4,4.5,1.0,,,.420,.420,,.725,6.2,.061
1343,2010,NBA,1,26,OKC,Quincy Pondexter,22.111,G-F,,University of Washington,2011,2015,279,5.3,2.0,0.8,0.4,0.2,.424,.472,.365,.732,9.1,.087
1344,1954,NBA,4,34,ROC,Art Spoelstra,22.230,C,,Western Kentucky University,1955,1958,278,7.2,4.6,1.0,,,.391,.391,,.693,8.6,.079
1345,1982,NBA,1,22,PHI,Mark McNamara,23.027,C-F,,University of California,1983,1991,278,3.5,3.0,0.3,0.1,0.1,.512,.512,,.548,2.8,.049
1346,1997,NBA,2,48,WAS,Predrag Drobnjak,22.247,C,,,2002,2005,278,7.9,3.5,0.8,0.5,0.4,.425,.433,.340,.799,5.6,.048
1347,1994,NBA,1,12,MIA,Khalid Reeves,22.354,G,,University of Arizona,1995,2000,277,7.8,2.1,3.2,0.8,0.1,.416,.446,.363,.744,8.4,.069
1348,1994,NBA,1,25,LAC,Greg Minor,23.290,G-F,,University of Louisville,1995,1999,277,6.9,2.7,1.4,0.6,0.2,.478,.495,.226,.767,8.2,.077
1349,1975,NBA,5,75,ATL,Wilbur Holland,24.208,G,,University of New Orleans,1976,1979,276,13.6,3.1,3.3,1.7,0.2,.452,.452,,.799,14.0,.082
1350,1990,NBA,2,31,PHO,Negele Knight,23.119,G,,University of Dayton,1991,1999,276,6.2,1.3,2.8,0.4,0.1,.436,.447,.263,.730,4.2,.044
1351,1986,NBA,2,43,HOU,Dave Feitl,24.015,C,,University of Texas at El Paso,1987,1992,275,4.3,3.0,0.5,0.2,0.2,.433,.436,.000,.751,1.4,.022
1352,1979,NBA,2,24,PHO,Johnny High,22.066,G,,University of Nevada Reno,1980,1984,274,5.1,2.3,1.9,1.2,0.3,.435,.446,.105,.619,4.7,.050
1353,1984,NBA,1,10,PHI,Leon Wood,22.092,G,,California State University Fullerton,1985,1991,274,6.4,1.2,3.2,0.5,0.0,.392,.427,.326,.792,6.7,.071
1354,1989,NBA,2,52,PHO,Greg Grant,23.308,G,,Trenton State University,1990,1996,274,2.8,0.9,2.7,0.6,0.0,.383,.405,.281,.710,1.6,.023
1355,1950,NBA,3,,BOS,Bob Donham,24.202,G-F,,Ohio State University,1951,1954,273,6.7,3.9,2.6,,,.480,.480,,.507,18.0,.177
1356,1956,NBA,,,SYR,Bob Hopkins,22.184,C-F,,Grambling State University,1957,1960,273,8.2,5.6,0.7,,,.394,.394,,.761,9.5,.089
1357,1960,NBA,5,36,DET,Willie Jones,24.292,G,,Northwestern University,1961,1965,272,7.4,2.8,2.0,,,.393,.393,,.682,0.8,.009
1358,1978,NBA,2,30,BOS,Jeff Judkins,22.083,G-F,,University of Utah,1979,1983,272,5.4,1.6,1.0,0.5,0.1,.478,.488,.315,.812,6.3,.088
1359,2007,NBA,1,6,MIL,Yi Jianlian,20.249,F,,,2008,2012,272,7.9,4.9,0.7,0.5,0.7,.404,.413,.333,.780,3.1,.025
1360,1949,BAA,1,9,CHS,Jack Kerris,24.056,F-C,,Loyola University of Chicago,1950,1953,271,7.6,4.7,2.5,,,.363,.363,,.662,17.8,.240
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1361,1959,NBA,2,11,SYR,Gene Tormholen,22.328,C-F,,University of Tennessee,1963,1970,271,4.4,4.1,0.9,,,.411,.411,,.579,2.3,.034
1362,1972,NBA,1,1,POR,LaRue Martin,22.017,C,,Loyola University of Chicago,1973,1976,271,5.3,4.6,0.7,0.2,0.4,.416,.416,,.685,1.9,.024
1363,2010,NBA,2,40,IND,Lance Stephenson,20.297,G,,University of Cincinnati,2011,2015,271,8.9,4.5,3.3,0.7,0.1,.444,.496,.297,.669,11.5,.077
1364,1998,NBA,1,27,SEA,Vladimir Stepania,22.052,C,,,1999,2004,270,4.1,4.4,0.3,0.4,0.5,.425,.429,.133,.536,5.2,.067
1365,2010,NBA,1,6,GSW,Ekpe Udoh,23.041,F,,Baylor University,2011,2015,270,4.0,3.2,0.7,0.5,1.2,.429,.431,.000,.720,5.7,.060
1366,1993,NBA,1,7,SAC,Bobby Hurley,22.008,G,,Duke University,1994,1998,269,3.8,1.1,3.3,0.4,0.0,.353,.377,.272,.769,-1.2,-0.014
1367,1957,NBA,1,4,STL,Win Wilfong,24.036,G-F,,University of Memphis,1958,1961,268,6.8,3.4,2.1,,,.361,.361,,.744,2.7,.027
1368,1949,BAA,3,,CHS,Dike Eddleman,26.091,F-G,,University of Illinois at Urbana-Champaign,1950,1953,267,12.1,3.4,2.1,,,.352,.352,,.630,7.3,.101
1369,1990,NBA,2,42,DEN,Marcus Liberty,22.248,F,,University of Illinois at Urbana-Champaign,1991,1994,267,7.3,3.5,0.9,0.7,0.3,.417,.426,.340,.664,4.0,.042
1370,2009,NBA,1,20,UTA,Eric Maynor,22.020,G,,Virginia Commonwealth University,2010,2014,267,4.3,1.3,2.8,0.4,0.1,.392,.409,.350,.721,3.3,.041
1371,1994,NBA,2,52,PHO,Anthony Goldwire,23.302,G,,University of Houston,1996,2006,266,6.3,1.3,2.8,0.6,0.0,.407,.419,.386,.792,6.4,.062
1372,1958,NBA,9,64,CIN,Larry Staverman,22.198,F,,Thomas More College,1959,1964,265,4.7,3.8,0.9,,,.465,.465,,.785,6.9,.097
1373,1950,NBA,1,8,INO,Bob Lavoy,24.306,F-C,,Western Kentucky University,1951,1954,264,8.2,6.2,1.5,,,.384,.384,,.707,15.9,.140
1374,1972,NBA,3,38,KCO,Ron Riley,21.156,F,,University of Southern California,1973,1976,264,5.8,5.2,1.2,0.4,0.3,.419,.419,,.691,2.5,.024
1375,1987,NBA,1,14,GSW,Tellis Frank,22.062,F-C,,Western Kentucky University,1988,1994,264,6.5,3.9,1.0,0.6,0.4,.439,.440,.000,.741,4.0,.041
1376,1958,NBA,6,42,DET,Shellie McMillon,22.047,F,,Bradley University,1959,1962,263,9.1,6.0,0.9,,,.434,.434,,.634,8.1,.078
1377,1972,NBA,5,78,CHI,Rowland Garrett,22.274,F,,Florida State University,1973,1977,263,5.1,2.3,0.4,0.3,0.1,.441,.441,,.772,5.4,.089
1378,1978,NBA,1,19,PHO,Marty Byrnes,22.045,F,,Syracuse University,1979,1983,263,5.7,2.2,1.6,0.4,0.1,.463,.468,.326,.736,4.2,.048
1379,1976,NBA,2,21,LAL,Earl Tatum,23.323,G-F,,Marquette University,1977,1980,262,9.6,2.6,1.9,1.2,0.4,.459,.460,.333,.746,7.8,.071
1380,1999,NBA,1,5,TOR,Jonathan Bender,18.155,F,,,2000,2010,262,5.5,2.2,0.6,0.2,0.6,.417,.442,.340,.763,3.8,.047
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1381,1981,NBA,1,18,NJN,Ray Tolbert,23.278,F,,Indiana University,1982,1989,261,3.6,2.3,0.5,0.3,0.4,.495,.499,.000,.544,2.9,.051
1382,2009,NBA,1,14,PHO,Earl Clark,21.165,F,,University of Louisville,2010,2015,261,4.4,3.0,0.5,0.3,0.5,.403,.424,.328,.664,2.9,.038
1383,2009,NBA,2,52,IND,A.J. Price,23.267,G,,University of Connecticut,2010,2015,261,5.8,1.4,2.2,0.5,0.0,.380,.439,.316,.742,4.7,.058
1384,1982,NBA,1,8,IND,Clark Kellogg,21.002,F,,Ohio State University,1983,1987,260,18.9,9.5,2.9,1.5,0.4,.497,.500,.338,.757,20.9,.118
1385,1983,NBA,2,46,SAS,Kevin Williams,22.295,G,,St. John's University,1984,1989,260,4.9,1.4,1.2,0.6,0.1,.435,.443,.077,.805,2.6,.042
1386,1990,NBA,2,46,IND,Kenny Williams,21.023,F,,Elizabeth City State University,1991,1994,260,4.8,2.7,0.6,0.3,0.6,.511,.518,.000,.680,7.4,.122
1387,1997,NBA,2,44,CLE,Cedric Henderson,22.112,F,,University of Memphis,1998,2002,260,7.3,2.9,1.6,0.9,0.4,.436,.443,.140,.715,3.3,.026
1388,1998,NBA,2,33,SEA,Jelani McCoy,21.205,C,,University of California Los Angeles,1999,2008,260,4.6,3.5,0.5,0.3,0.7,.539,.539,,.490,5.1,.064
1389,1979,NBA,1,16,PHI,Jim Spanarkel,22.002,G-F,,Duke University,1980,1984,259,9.7,2.5,2.2,1.0,0.1,.470,.476,.250,.855,12.3,.112
1390,2008,NBA,2,31,MIN,Nikola Pekovic,22.180,C-F,,,2011,2015,259,12.9,6.9,0.7,0.5,0.6,.521,.521,,.759,18.8,.137
1391,1967,NBA,1,6,SEA,Al Tucker,24.074,F,,Oklahoma Baptist University,1968,1971,257,9.5,5.0,0.9,,,.453,.453,,.702,7.2,.065
1392,1981,NBA,2,33,GSW,Sam Williams,22.100,F,,Arizona State University,1982,1985,257,6.3,4.5,0.6,0.8,1.2,.500,.502,.000,.653,9.0,.095
1393,2010,NBA,1,27,NJN,Jordan Crawford,22.249,G,,Xavier University,2011,2014,257,12.2,2.6,3.2,0.7,0.1,.405,.453,.306,.828,5.2,.039
1394,1990,NBA,1,25,POR,Alaa Abdelnaby,22.008,F-C,,Duke University,1991,1995,256,5.7,3.3,0.3,0.3,0.3,.502,.503,.000,.701,4.8,.072
1395,2006,NBA,1,23,NJN,Josh Boone,22.224,F-C,,University of Connecticut,2007,2010,256,5.2,4.9,0.5,0.4,0.7,.544,.544,,.445,9.1,.097
1396,1967,NBA,4,39,SFW,Bobby Lewis,22.049,G,,University of North Carolina,1968,1971,255,5.8,2.1,2.2,,,.381,.381,,.712,1.1,.012
1397,2006,NBA,2,35,TOR,P.J. Tucker,21.059,F,,University of Texas at Austin,2007,2015,255,7.9,5.5,1.5,1.1,0.3,.445,.485,.357,.748,14.0,.098
1398,2010,NBA,2,39,NYK,Landry Fields,22.002,F,,Stanford University,2011,2015,255,6.8,4.3,1.6,0.8,0.2,.473,.520,.332,.666,10.5,.084
1399,1948,BAA,1,6,BLB,Walt Budko,23.290,F-C,,Columbia University,1949,1952,253,8.1,2.7,1.9,,,.342,.342,,.757,13.7,.585
1400,1984,NBA,7,156,NYK,Ken Bannister,24.085,F-C,,Saint Augustine's College,1985,1991,253,5.9,3.5,0.4,0.4,0.3,.488,.489,.000,.492,0.6,.007
