
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1,1976,NBA,1,8,GSW,Robert Parish,23.288,C,,Centenary College of Louisiana,1977,1997,1611,14.5,9.1,1.4,0.8,1.5,.537,.537,.000,.721,147.0,.154
2,1969,NBA,1,1,MIL,Kareem Abdul-Jabbar,22.362,C,,University of California Los Angeles,1970,1989,1560,24.6,11.2,3.6,0.7,2.0,.559,.560,.056,.721,273.4,.228
3,1984,NBA,1,16,UTA,John Stockton,22.091,G,,Gonzaga University,1985,2003,1504,13.1,2.7,10.5,2.2,0.2,.515,.541,.384,.826,207.7,.209
4,1985,NBA,1,13,UTA,Karl Malone,22.335,F,,Louisiana Tech University,1986,2004,1476,25.0,10.1,3.6,1.4,0.8,.516,.519,.274,.742,234.6,.205
5,1984,NBA,1,11,ATL,Kevin Willis,22.292,F-C,,Michigan State University,1985,2007,1424,12.1,8.4,0.9,0.7,0.5,.487,.491,.211,.713,81.8,.102
6,1995,NBA,1,5,MIN,Kevin Garnett,19.044,F,,,1996,2015,1424,18.2,10.2,3.8,1.3,1.4,.497,.504,.276,.790,190.4,.183
7,1994,NBA,1,2,DAL,Jason Kidd,21.103,G,,University of California,1995,2013,1391,12.6,6.3,8.7,1.9,0.3,.400,.429,.349,.785,138.6,.133
8,1987,NBA,1,11,IND,Reggie Miller,22.307,G-F,,University of California Los Angeles,1988,2005,1389,18.2,3.0,3.0,1.1,0.2,.471,.516,.395,.888,174.4,.176
9,1989,NBA,2,36,POR,Clifford Robinson,23.199,F-C,,University of Connecticut,1990,2007,1380,14.2,4.6,2.2,1.0,1.0,.438,.459,.356,.689,89.7,.101
10,1990,NBA,1,2,SEA,Gary Payton,22.344,G,,Oregon State University,1991,2007,1335,16.3,3.9,6.7,1.8,0.2,.466,.501,.317,.729,145.5,.148
11,1997,NBA,1,1,SAS,Tim Duncan,21.066,F-C,,Wake Forest University,1998,2015,1331,19.5,11.0,3.1,0.7,2.2,.506,.509,.181,.696,201.2,.211
12,1981,NBA,1,3,NJN,Buck Williams,21.098,F-C,,University of Maryland,1982,1998,1307,12.8,10.0,1.3,0.8,0.8,.549,.550,.167,.664,120.1,.136
13,1968,NBA,1,1,SDR,Elvin Hayes,23.205,F-C,,University of Houston,1969,1984,1303,21.0,12.5,1.8,0.7,1.4,.452,.453,.147,.670,120.8,.116
14,1996,NBA,1,5,MIN,Ray Allen,21.347,G,,University of Connecticut,1997,2014,1300,18.9,4.1,3.4,1.1,0.2,.452,.485,.400,.894,145.1,.150
15,1987,NBA,1,18,NYK,Mark Jackson,22.087,G,,St. John's University,1988,2004,1296,9.6,3.8,8.0,1.2,0.1,.447,.477,.332,.770,91.8,.113
16,1996,NBA,1,24,LAL,Derek Fisher,22.327,G,,University of Arkansas at Little Rock,1997,2014,1287,8.3,2.1,3.0,1.1,0.1,.399,.413,.374,.817,62.3,.091
17,1984,NBA,1,4,DAL,Sam Perkins,23.011,F-C,,University of North Carolina,1985,2001,1286,11.9,6.0,1.5,0.9,0.7,.459,.482,.362,.811,105.4,.138
18,1985,NBA,1,9,CLE,Charles Oakley,22.188,F-C,,Virginia Union University,1986,2004,1282,9.7,9.5,2.5,1.1,0.3,.471,.477,.253,.761,89.7,.107
19,1996,NBA,1,13,CHH,Kobe Bryant,18.312,G,,,1997,2015,1280,25.4,5.3,4.8,1.5,0.5,.451,.481,.334,.837,173.1,.178
20,1985,NBA,1,23,LAL,A.C. Green,22.263,F-C,,Oregon State University,1986,2001,1278,9.6,7.4,1.1,0.8,0.4,.494,.507,.254,.734,99.5,.131
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
